,Longitude,Latitude,Soil Mapping Unit,Continent,Country,Region Lv1,Grape_Variety
0,-63.35833333333304,-40.766666666666666,12245,Americas,Argentina,Río Negro Province,Malbec
1,-63.35833333333304,-40.77499999999999,12245,Americas,Argentina,Río Negro Province,Malbec
2,-67.64166666666637,-39.06666666666665,12325,Americas,Argentina,Río Negro Province,Malbec
3,-67.64166666666637,-39.07499999999997,12325,Americas,Argentina,Río Negro Province,Malbec
4,-67.33333333333304,-39.03333333333332,12325,Americas,Argentina,Río Negro Province,Malbec
5,-67.33333333333304,-39.03333333333332,12325,Americas,Argentina,Río Negro Province,Cabernet Sauvignon 
6,-67.33333333333304,-39.03333333333332,12325,Americas,Argentina,Río Negro Province,Malbec
7,-67.33333333333304,-39.03333333333332,12325,Americas,Argentina,Río Negro Province,Pinot Noir
8,-67.33333333333304,-39.03333333333332,12325,Americas,Argentina,Río Negro Province,Pinot Noir
9,-68.25833333333304,-38.59999999999998,12325,Americas,Argentina,Río Negro Province,Bastardo
10,-68.25833333333304,-38.59999999999998,12325,Americas,Argentina,Río Negro Province,Malbec
11,-68.25833333333304,-38.59999999999998,12325,Americas,Argentina,Río Negro Province,Merlot
12,-68.25833333333304,-38.59999999999998,12325,Americas,Argentina,Río Negro Province,Pinot Noir
13,-68.30833333333304,-38.58333333333333,12325,Americas,Argentina,Neuquén Province,Pinot Noir
14,-68.38333333333304,-38.55833333333332,12325,Americas,Argentina,Neuquén Province,Malbec
15,-68.38333333333304,-38.55833333333332,12325,Americas,Argentina,Neuquén Province,Pinot Noir
16,-68.40833333333305,-38.55,12325,Americas,Argentina,Neuquén Province,Merlot
17,-72.68333333333304,-38.24166666666666,7001,Americas,Chile,Southern Chile,Pinot Noir
18,-57.73333333333305,-38.13333333333331,12302,Americas,Argentina,Buenos Aires Province,Sauvignon Blanc
19,-57.73333333333305,-38.13333333333331,12302,Americas,Argentina,Buenos Aires Province,Pinot Grigio
20,-72.95833333333304,-38.05833333333332,13457,Americas,Chile,Southern Chile,Pinot Noir
21,-58.08333333333304,-37.85833333333332,12249,Americas,Argentina,Buenos Aires Province,Pinot Noir
22,-72.5499999999997,-36.58333333333333,13468,Americas,Chile,Southern Chile,Cinsault
23,-72.5499999999997,-36.58333333333333,13468,Americas,Chile,Southern Chile,Pais (Mission)
24,-72.6749999999997,-36.58333333333333,13468,Americas,Chile,Southern Chile,Pais (Mission)
25,-72.66666666666637,-36.58333333333333,13468,Americas,Chile,Southern Chile,Pais (Mission)
26,-72.6749999999997,-36.58333333333333,13468,Americas,Chile,Southern Chile,Cinsault
27,-72.66666666666637,-36.58333333333333,13468,Americas,Chile,Southern Chile,Cinsault
28,-72.3749999999997,-36.54166666666666,13468,Americas,Chile,Southern Chile,Petit Verdot
29,-72.36666666666638,-36.54166666666666,13468,Americas,Chile,Southern Chile,Petit Verdot
30,-72.29166666666637,-35.95833333333333,13468,Americas,Chile,Southern Chile,Pinot Noir
31,-71.85833333333304,-35.849999999999994,13451,Americas,Chile,Central Valley,Carignan
32,-71.85833333333304,-35.849999999999994,13451,Americas,Chile,Central Valley,Carinena 
33,-71.85833333333304,-35.849999999999994,13451,Americas,Chile,Central Valley,Garnacha
34,-71.85833333333304,-35.849999999999994,13451,Americas,Chile,Central Valley,Grenache 
35,-71.85833333333304,-35.849999999999994,13451,Americas,Chile,Central Valley,Syrah
36,-72.25833333333304,-35.69999999999999,13468,Americas,Chile,Aconcagua,Pinot Noir
37,-71.27499999999971,-35.69999999999999,13451,Americas,Chile,Central Valley,merlot
38,-71.26666666666637,-35.69999999999999,13413,Americas,Chile,Central Valley,merlot
39,-71.27499999999971,-35.69999999999999,13451,Americas,Chile,Central Valley,cabernet franc
40,-71.26666666666637,-35.69999999999999,13413,Americas,Chile,Central Valley,cabernet franc
41,-71.27499999999971,-35.69999999999999,13451,Americas,Chile,Central Valley,cabernet sauvignon
42,-71.26666666666637,-35.69999999999999,13413,Americas,Chile,Central Valley,cabernet sauvignon
43,-71.27499999999971,-35.69999999999999,13451,Americas,Chile,Central Valley,Pinot Noir
44,-71.26666666666637,-35.69999999999999,13413,Americas,Chile,Central Valley,Pinot Noir
45,-71.99166666666638,-35.56666666666665,13451,Americas,Chile,Central Valley,Cabernet Sauvignon
46,-71.99166666666638,-35.57499999999999,13451,Americas,Chile,Central Valley,Cabernet Sauvignon
47,-71.99166666666638,-35.56666666666665,13451,Americas,Chile,Central Valley,Malbec
48,-71.99166666666638,-35.57499999999999,13451,Americas,Chile,Central Valley,Malbec
49,-71.99166666666638,-35.56666666666665,13451,Americas,Chile,Central Valley,Carmenere
50,-71.99166666666638,-35.57499999999999,13451,Americas,Chile,Central Valley,Carmenere
51,-71.99166666666638,-35.56666666666665,13451,Americas,Chile,Central Valley,Syrah 
52,-71.99166666666638,-35.57499999999999,13451,Americas,Chile,Central Valley,Syrah 
53,-71.99166666666638,-35.56666666666665,13451,Americas,Chile,Central Valley,Merlot
54,-71.99166666666638,-35.57499999999999,13451,Americas,Chile,Central Valley,Merlot
55,-71.69166666666638,-35.53333333333332,13411,Americas,Chile,Central Valley,Malbec
56,-71.85833333333304,-35.44999999999999,13411,Americas,Chile,Central Valley,Malbec
57,-63.97499999999971,-35.29166666666666,12292,Americas,Argentina,Mendoza Province,Cabernet Franc 
58,-63.96666666666637,-35.29166666666666,12292,Americas,Argentina,Mendoza Province,Cabernet Franc 
59,-63.97499999999971,-35.29166666666666,12292,Americas,Argentina,Mendoza Province,Malbec
60,-63.96666666666637,-35.29166666666666,12292,Americas,Argentina,Mendoza Province,Malbec
61,-71.2999999999997,-35.091666666666654,13451,Americas,Chile,Southern Chile,Pinot Noir
62,-71.2499999999997,-34.98333333333332,7001,Americas,Chile,Central Valley,Pinot Noir
63,-55.241666666666376,-34.85833333333332,27594,Americas,Uruguay,Maldonado,Tannat
64,-55.241666666666376,-34.85833333333332,27594,Americas,Uruguay,Maldonado,Merlot
65,-56.28333333333305,-34.79166666666666,27603,Americas,Uruguay,Montevideo,Tannat
66,-56.28333333333305,-34.79166666666666,27603,Americas,Uruguay,Montevideo,Merlot 
67,-56.28333333333305,-34.79166666666666,27603,Americas,Uruguay,Montevideo,Tempranillo
68,-56.28333333333305,-34.79166666666666,27603,Americas,Uruguay,Maldonado,Tannat
69,-56.28333333333305,-34.79166666666666,27603,Americas,Uruguay,Maldonado,Merlot
70,-55.77499999999971,-34.73333333333332,27603,Americas,Uruguay,Canelones,Tannat
71,-55.76666666666638,-34.73333333333332,27603,Americas,Uruguay,Canelones,Tannat
72,-55.77499999999971,-34.73333333333332,27603,Americas,Uruguay,Canelones,Nebbiolo
73,-55.76666666666638,-34.73333333333332,27603,Americas,Uruguay,Canelones,Nebbiolo
74,-55.77499999999971,-34.73333333333332,27603,Americas,Uruguay,Canelones,Barbera
75,-55.76666666666638,-34.73333333333332,27603,Americas,Uruguay,Canelones,Barbera
76,-56.04166666666637,-34.716666666666654,27603,Americas,Uruguay,Canelones,Cabernet 
77,-56.04166666666637,-34.724999999999994,27603,Americas,Uruguay,Canelones,Cabernet 
78,-56.04166666666637,-34.716666666666654,27603,Americas,Uruguay,Canelones,Tannat
79,-56.04166666666637,-34.724999999999994,27603,Americas,Uruguay,Canelones,Tannat
80,-56.17499999999971,-34.70833333333333,27603,Americas,Uruguay,Canelones,Tannat
81,-56.16666666666637,-34.70833333333333,27603,Americas,Uruguay,Canelones,Tannat
82,-56.17499999999971,-34.70833333333333,27603,Americas,Uruguay,Canelones,Cabernet Sauvignon
83,-56.16666666666637,-34.70833333333333,27603,Americas,Uruguay,Canelones,Cabernet Sauvignon
84,-56.17499999999971,-34.70833333333333,27603,Americas,Uruguay,Canelones,Merlot 
85,-56.16666666666637,-34.70833333333333,27603,Americas,Uruguay,Canelones,Merlot 
86,-56.17499999999971,-34.70833333333333,27603,Americas,Uruguay,Canelones,Petit Verdot
87,-56.16666666666637,-34.70833333333333,27603,Americas,Uruguay,Canelones,Petit Verdot
88,-55.84999999999971,-34.70833333333333,27603,Americas,Uruguay,Canelones,Cabernet Franc
89,-56.18333333333304,-34.70833333333333,27603,Americas,Uruguay,San José,Tannat
90,-56.18333333333304,-34.70833333333333,27603,Americas,Uruguay,San José,Tempranillo
91,-56.18333333333304,-34.70833333333333,27603,Americas,Uruguay,San José,Pinot Noir
92,-71.89166666666637,-34.68333333333332,13468,Americas,Chile,Central Valley,Carignan
93,-71.04166666666637,-34.65833333333332,13451,Americas,Chile,Coquimbo,Syrah
94,19.791666666666917,-34.65833333333332,30414,Africa,South Africa,Elim,Syrah
95,-55.04166666666637,-34.65833333333332,27594,Americas,Uruguay,Maldonado,Pinot Noir
96,-56.25833333333304,-34.591666666666654,27603,Americas,Uruguay,San José,cabernet franc
97,-54.63333333333304,-34.56666666666665,27593,Americas,Uruguay,Maldonado,Tannat
98,-54.63333333333304,-34.57499999999999,27593,Americas,Uruguay,Maldonado,Tannat
99,-54.63333333333304,-34.56666666666665,27593,Americas,Uruguay,Maldonado,Cabernet Franc
100,-54.63333333333304,-34.57499999999999,27593,Americas,Uruguay,Maldonado,Cabernet Franc
101,-54.63333333333304,-34.56666666666665,27593,Americas,Uruguay,Maldonado,Petit Verdot 
102,-54.63333333333304,-34.57499999999999,27593,Americas,Uruguay,Maldonado,Petit Verdot 
103,-54.63333333333304,-34.56666666666665,27593,Americas,Uruguay,Maldonado,Marselan
104,-54.63333333333304,-34.57499999999999,27593,Americas,Uruguay,Maldonado,Marselan
105,-54.63333333333304,-34.56666666666665,27593,Americas,Uruguay,Maldonado,Pinot Noir
106,-54.63333333333304,-34.57499999999999,27593,Americas,Uruguay,Maldonado,Pinot Noir
107,-54.63333333333304,-34.56666666666665,27593,Americas,Uruguay,Maldonado,Cabernet Sauvignon
108,-54.63333333333304,-34.57499999999999,27593,Americas,Uruguay,Maldonado,Cabernet Sauvignon
109,-56.32499999999972,-34.54999999999998,27603,Americas,Uruguay,Canelones,Tannat
110,-56.31666666666638,-34.54999999999998,27603,Americas,Uruguay,Canelones,Tannat
111,-71.25833333333304,-34.53333333333332,13411,Americas,Chile,Central Valley,Cabernet Sauvignon
112,-71.22499999999971,-34.49166666666666,13411,Americas,Chile,Central Valley,Cabernet Sauvignon
113,-71.21666666666637,-34.49166666666666,13411,Americas,Chile,Central Valley,Cabernet Sauvignon
114,-71.22499999999971,-34.49166666666666,13411,Americas,Chile,Central Valley,Carmenere
115,-71.21666666666637,-34.49166666666666,13411,Americas,Chile,Central Valley,Carmenere
116,-71.22499999999971,-34.49166666666666,13411,Americas,Chile,Central Valley,Cabernet Franc
117,-71.21666666666637,-34.49166666666666,13411,Americas,Chile,Central Valley,Cabernet Franc
118,-71.22499999999971,-34.49166666666666,13411,Americas,Chile,Central Valley,Merlot 
119,-71.21666666666637,-34.49166666666666,13411,Americas,Chile,Central Valley,Merlot 
120,-71.22499999999971,-34.49166666666666,13411,Americas,Chile,Central Valley,Syrah
121,-71.21666666666637,-34.49166666666666,13411,Americas,Chile,Central Valley,Syrah
122,-71.22499999999971,-34.49166666666666,13411,Americas,Chile,Central Valley,Carmenere
123,-71.21666666666637,-34.49166666666666,13411,Americas,Chile,Central Valley,Carmenere
124,-71.22499999999971,-34.49166666666666,13411,Americas,Chile,Central Valley,Cabernet Sauvignon
125,-71.21666666666637,-34.49166666666666,13411,Americas,Chile,Central Valley,Cabernet Sauvignon
126,-71.22499999999971,-34.49166666666666,13411,Americas,Chile,Central Valley,Syrah 
127,-71.21666666666637,-34.49166666666666,13411,Americas,Chile,Central Valley,Syrah 
128,-71.22499999999971,-34.49166666666666,13411,Americas,Chile,Central Valley,Merlot
129,-71.21666666666637,-34.49166666666666,13411,Americas,Chile,Central Valley,Merlot
130,-71.34166666666637,-34.40833333333332,13411,Americas,Chile,Central Valley,Carmenere
131,-71.34166666666637,-34.40833333333332,13411,Americas,Chile,Central Valley,Syrah
132,-70.83333333333304,-34.40833333333332,13429,Americas,Chile,Central Valley,Cabernet Sauvignon
133,-70.83333333333304,-34.40833333333332,13429,Americas,Chile,Central Valley,Merlot
134,-70.83333333333304,-34.40833333333332,13429,Americas,Chile,Central Valley,Syrah
135,-71.24166666666638,-34.33333333333333,13411,Americas,Chile,Central Valley,Carmenere
136,-70.80833333333304,-34.31666666666666,13411,Americas,Chile,Central Valley,Carmenere
137,-70.80833333333304,-34.32499999999999,13429,Americas,Chile,Central Valley,Carmenere
138,-57.64999999999971,-34.30833333333332,27603,Americas,Uruguay,Colonia,Malbec
139,-70.6999999999997,-34.29999999999998,13411,Americas,Chile,Central Valley,Cabernet Sauvignon
140,19.075000000000244,-34.28333333333332,29743,Africa,South Africa,Elgin,Pinot Noir
141,19.0833333333336,-34.28333333333332,29743,Africa,South Africa,Elgin,Pinot Noir
142,19.058333333333596,-34.24166666666666,30386,Africa,South Africa,Elgin,Pinotage
143,-57.93333333333304,-34.216666666666654,27603,Americas,Uruguay,Colonia,Tannat
144,-57.93333333333304,-34.224999999999994,27603,Americas,Uruguay,Colonia,Tannat
145,18.99166666666693,-34.18333333333332,30382,Africa,South Africa,Elgin,Pinot Noir
146,18.99166666666693,-34.18333333333332,30382,Africa,South Africa,Elgin,Merlot
147,19.091666666666924,-34.16666666666666,30386,Africa,South Africa,Elgin,Pinot Noir
148,19.091666666666924,-34.17499999999998,30386,Africa,South Africa,Elgin,Pinot Noir
149,19.02500000000026,-34.14999999999999,30382,Africa,South Africa,Elgin,Syrah
150,19.033333333333587,-34.14999999999999,30382,Africa,South Africa,Elgin,Syrah
151,19.02500000000026,-34.14999999999999,30382,Africa,South Africa,Elgin,Syrah
152,19.033333333333587,-34.14999999999999,30382,Africa,South Africa,Elgin,Syrah
153,19.02500000000026,-34.14999999999999,30382,Africa,South Africa,Elgin,Syrah
154,19.033333333333587,-34.14999999999999,30382,Africa,South Africa,Elgin,Syrah
155,19.02500000000026,-34.14999999999999,30382,Africa,South Africa,Elgin,Syrah
156,19.033333333333587,-34.14999999999999,30382,Africa,South Africa,Elgin,Syrah
157,18.416666666666917,-34.06666666666666,30300,Africa,South Africa,Constantia,Nebbiolo
158,18.416666666666917,-34.07499999999999,30300,Africa,South Africa,Constantia,Nebbiolo
159,18.416666666666917,-34.06666666666666,30300,Africa,South Africa,Constantia,Pinot Noir
160,18.416666666666917,-34.07499999999999,30300,Africa,South Africa,Constantia,Pinot Noir
161,18.416666666666917,-34.06666666666666,30300,Africa,South Africa,Constantia,Nebbiolo
162,18.416666666666917,-34.07499999999999,30300,Africa,South Africa,Constantia,Nebbiolo
163,18.791666666666917,-34.03333333333332,30190,Africa,South Africa,Breede River Valley,Cinsault
164,18.416666666666917,-34.01666666666665,30300,Africa,South Africa,Constantia,Merlot
165,18.416666666666917,-34.02499999999999,30300,Africa,South Africa,Constantia,Merlot
166,18.416666666666917,-34.01666666666665,30300,Africa,South Africa,Constantia,Cabernet Sauvignon
167,18.416666666666917,-34.02499999999999,30300,Africa,South Africa,Constantia,Cabernet Sauvignon
168,18.416666666666917,-34.01666666666665,30300,Africa,South Africa,Constantia, Merlot
169,18.416666666666917,-34.02499999999999,30300,Africa,South Africa,Constantia, Merlot
170,18.408333333333587,-34.01666666666665,30300,Africa,South Africa,Constantia,Syrah
171,18.408333333333587,-34.02499999999999,30300,Africa,South Africa,Constantia,Syrah
172,18.416666666666917,-34.008333333333326,30357,Africa,South Africa,Constantia,Pinot Noir
173,18.408333333333587,-34.008333333333326,30300,Africa,South Africa,Constantia,Cabernet Sauvignon 
174,18.408333333333587,-34.008333333333326,30300,Africa,South Africa,Constantia,Merlot
175,18.408333333333587,-34.008333333333326,30300,Africa,South Africa,Constantia,Merlot
176,18.408333333333587,-34.008333333333326,30300,Africa,South Africa,Constantia,Cabernet Sauvignon
177,18.408333333333587,-34.008333333333326,30300,Africa,South Africa,Constantia,Cabernet Franc
178,18.408333333333587,-34.008333333333326,30300,Africa,South Africa,Constantia,Viognier
179,18.800000000000267,-34.008333333333326,30358,Africa,South Africa,Stellenbosch,Cabernet Sauvignon
180,18.408333333333587,-34.008333333333326,30300,Africa,South Africa,Constantia,Viognier
181,18.81666666666692,-34.008333333333326,30358,Africa,South Africa,Durbanville,Cabernet Sauvignon 
182,18.81666666666692,-34.008333333333326,30358,Africa,South Africa,Durbanville,Cabernet Franc
183,18.81666666666692,-34.008333333333326,30358,Africa,South Africa,Durbanville,Merlot
184,18.416666666666917,-34.008333333333326,30357,Africa,South Africa,Constantia,Syrah
185,18.891666666666936,-34.008333333333326,30356,Africa,South Africa,Stellenbosch,Syrah
186,18.858333333333576,-33.999999999999986,30358,Africa,South Africa,Stellenbosch,Cabernet 
187,18.858333333333576,-33.999999999999986,30358,Africa,South Africa,Stellenbosch,Syrah
188,-71.35833333333304,-33.999999999999986,13451,Americas,Chile,Aconcagua,Pinot Noir
189,18.86666666666693,-33.999999999999986,30358,Africa,South Africa,Stellenbosch,Mouvedre
190,18.86666666666693,-33.999999999999986,30358,Africa,South Africa,Stellenbosch,Merlot
191,18.86666666666693,-33.999999999999986,30358,Africa,South Africa,Stellenbosch,Malbec
192,18.86666666666693,-33.999999999999986,30358,Africa,South Africa,Stellenbosch,Sangiovese 
193,18.86666666666693,-33.999999999999986,30358,Africa,South Africa,Stellenbosch,Barbera
194,18.750000000000256,-33.966666666666654,30190,Africa,South Africa,Stellenbosch,Cabernet Franc
195,18.750000000000256,-33.974999999999994,30190,Africa,South Africa,Stellenbosch,Cabernet Franc
196,18.750000000000256,-33.966666666666654,30190,Africa,South Africa,Stellenbosch,Cabernet Sauvignon 
197,18.750000000000256,-33.974999999999994,30190,Africa,South Africa,Stellenbosch,Cabernet Sauvignon 
198,18.750000000000256,-33.966666666666654,30190,Africa,South Africa,Stellenbosch,Merlot
199,18.750000000000256,-33.974999999999994,30190,Africa,South Africa,Stellenbosch,Merlot
200,-58.29166666666637,-33.966666666666654,27603,Americas,Uruguay,Colonia,Syrah
201,-58.29166666666637,-33.974999999999994,27603,Americas,Uruguay,Colonia,Syrah
202,-58.29166666666637,-33.966666666666654,27603,Americas,Uruguay,Colonia,Tannat
203,-58.29166666666637,-33.974999999999994,27603,Americas,Uruguay,Colonia,Tannat
204,18.72500000000025,-33.95833333333333,30190,Africa,South Africa,Elgin,Pinot Noir
205,18.733333333333576,-33.95833333333333,30190,Africa,South Africa,Elgin,Pinot Noir
206,18.750000000000256,-33.95833333333333,30190,Africa,South Africa,Stellenbosch,Cabernet Sauvignon 
207,18.750000000000256,-33.95833333333333,30190,Africa,South Africa,Stellenbosch,Merlot
208,18.766666666666936,-33.95833333333333,30190,Africa,South Africa,Stellenbosch,Syrah
209,18.74166666666693,-33.95833333333333,30190,Africa,South Africa,Stellenbosch,Syrah
210,18.908333333333587,-33.94999999999999,29743,Africa,South Africa,Stellenbosch,Cabernet Sauvignon
211,18.72500000000025,-33.94999999999999,30190,Africa,South Africa,Elim,Syrah
212,18.733333333333576,-33.94999999999999,30190,Africa,South Africa,Elim,Syrah
213,19.108333333333576,-33.94166666666666,29743,Africa,South Africa,Swartland,Syrah
