,Longitude,Latitude,Soil Mapping Unit,Continent,Country,Region Lv1,Grape_Variety,SHARE_x,WRB4_x,KOPPEN,TEXTURE_USDA_x,REF_BULK_DENSITY,BULK_DENSITY,DRAINAGE_x,ROOT_DEPTH_x,AWC_x,ROOTS_x,IL_x,HWSD2_SMU_ID_y,SEQUENCE,SHARE_y,WRB4_y,ROOT_DEPTH_y,ROOTS_y,IL_y,SWR,DRAINAGE_y,AWC_y,COARSE,SAND,SILT,CLAY,TEXTURE_USDA_y,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,Top10_Grape
0,-63.35833333333304,-40.766666666666666,12245,Americas,Argentina,Río Negro Province,Malbec,60,FLeu,B,11.0,1.69,1.5,MW,1,142,,,12245,1,60,FLeu,1.0,,,,MW,142.0,3,55,27,18,11.0,M,1.5,1.69,0.78,7.5,0.93,9,14,63,22,22,94,0,4,2.0,0.7,2,
1,-63.35833333333304,-40.77499999999999,12245,Americas,Argentina,Río Negro Province,Malbec,60,FLeu,B,11.0,1.69,1.5,MW,1,142,,,12245,1,60,FLeu,1.0,,,,MW,142.0,3,55,27,18,11.0,M,1.5,1.69,0.78,7.5,0.93,9,14,63,22,22,94,0,4,2.0,0.7,2,
2,-67.64166666666637,-39.06666666666665,12325,Americas,Argentina,Río Negro Province,Malbec,50,RGeu,B,11.0,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1.0,,,,MW,106.0,18,66,20,14,11.0,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,
3,-67.64166666666637,-39.07499999999997,12325,Americas,Argentina,Río Negro Province,Malbec,50,RGeu,B,11.0,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1.0,,,,MW,106.0,18,66,20,14,11.0,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,
4,-67.33333333333304,-39.03333333333332,12325,Americas,Argentina,Río Negro Province,Malbec,50,RGeu,B,11.0,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1.0,,,,MW,106.0,18,66,20,14,11.0,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,
5,-67.33333333333304,-39.03333333333332,12325,Americas,Argentina,Río Negro Province,Cabernet Sauvignon ,50,RGeu,B,11.0,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1.0,,,,MW,106.0,18,66,20,14,11.0,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,
6,-67.33333333333304,-39.03333333333332,12325,Americas,Argentina,Río Negro Province,Malbec,50,RGeu,B,11.0,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1.0,,,,MW,106.0,18,66,20,14,11.0,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,
7,-67.33333333333304,-39.03333333333332,12325,Americas,Argentina,Río Negro Province,Pinot Noir,50,RGeu,B,11.0,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1.0,,,,MW,106.0,18,66,20,14,11.0,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,
8,-67.33333333333304,-39.03333333333332,12325,Americas,Argentina,Río Negro Province,Pinot Noir,50,RGeu,B,11.0,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1.0,,,,MW,106.0,18,66,20,14,11.0,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,
9,-68.25833333333304,-38.59999999999998,12325,Americas,Argentina,Río Negro Province,Bastardo,50,RGeu,B,11.0,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1.0,,,,MW,106.0,18,66,20,14,11.0,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,
