,Longitude,Latitude,Soil Mapping Unit,Country
0,-61.78,17.12,12001,"ST JOHNS COOLIDGE FIELD, AC"
1,-61.78,17.12,12001,"ST JOHNS COOLIDGE FIELD, AC"
2,-61.78,17.12,12001,"ST JOHNS COOLIDGE FIELD, AC"
3,-61.78,17.13,12001,"ST JOHNS, AC"
4,55.52,25.33,3043,"SHARJAH INTER. AIRP, AE"
5,55.52,25.33,3043,"SHARJAH INTER. AIRP, AE"
6,55.36,25.25,7001,"DUBAI INTERNATIONAL, AE"
7,54.65,24.43,7001,"ABU DHABI INTERNATIONAL, AE"
8,55.61,24.26,7001,"AL AIN INTERNATIONAL, AE"
9,69.02,35.32,33394,"NORTH SALANG, AF"
10,69.02,35.32,33394,"NORTH SALANG, AF"
11,62.23,34.21,35035,"HERAT, AF"
12,69.21,34.57,7001,"KABUL INTERNATIONAL, AF"
13,69.21,34.57,7001,"KABUL INTERNATIONAL, AF"
14,65.85,31.5,35398,"KANDAHAR AIRPORT, AF"
15,3.25,36.72,1345,"ALGER DAR EL BEIDA, AG"
16,3.25,36.72,1345,"ALGER DAR EL BEIDA, AG"
17,2.87,30.57,1821,"EL GOLEA, AG"
18,2.87,30.57,1821,"EL GOLEA, AG"
19,9.63,28.05,1796,"IN AMENAS, AG"
20,5.43,22.8,193,"TAMANRASSET, AG"
21,0.65,35.73,1344,"ORAN HOPITAL MILITAIRE, AG"
22,3.07,36.78,1078,"ALGIERS VILLE UNIVERSITE, AG"
23,3.03,36.8,1078,"ALGIERS BOUZAREAH, AG"
24,3.04,36.8,7001,"ALGIERS CAP CAXINE, AG"
25,4.05,36.72,7001,"TIZI OUZOU, AG"
26,4.05,36.72,7001,"TIZI OUZOU, AG"
27,4.2,36.63,1524,"FORT NATIONAL, AG"
28,6.62,36.37,7001,"CONSTANTINE, AG"
29,6.62,36.37,7001,"CONSTANTINE, AG"
30,6.62,36.37,1129,"CONSTANTINE, AG"
31,6.62,36.37,7001,"CONSTANTINE, AG"
32,1.34,36.17,7001,"ORLEANSVILLE CHLEF, AG"
33,1.34,36.17,7001,"ORLEANSVILLE CHLEF, AG"
34,5.4,36.18,7001,"SETIF, AG"
35,0.8,35.77,1078,"ORAN CAP FALCON, AG"
36,0.8,35.77,1078,"ORAN CAP FALCON, AG"
37,8.12,35.42,7001,"TEBESSA, AG"
38,8.12,35.42,7001,"TEBESSA, AG"
39,8.12,35.42,7001,"TEBESSA, AG"
40,8.12,35.42,7001,"TEBESSA, AG"
41,-1.85,35.1,7001,"NEMOURS GHAZAOUET, AG"
42,0.63,35.2,1125,"SIDI BEL ABBES, AG"
43,5.72,34.85,7001,"BISKRA, AG"
44,5.72,34.85,7001,"BISKRA, AG"
45,2.89,33.8,1834,"LAGHOUAT, AG"
46,1.0,33.68,1843,"GERYVILLE EL BAYADH, AG"
47,6.47,37.08,1401,"SKIKDA CAP BOUGAROUNI, AG"
48,5.1,36.78,1524,"BEJAIA CAP CARBON, AG"
49,5.87,36.8,1401,"JIJEL, AG"
50,5.88,36.82,1401,"JIJEL PORT, AG"
51,5.88,36.82,1401,"JIJEL PORT, AG"
52,5.88,36.82,7001,"JIJEL PORT, AG"
53,5.88,36.82,1401,"JIJEL PORT, AG"
54,7.81,36.82,7001,"ANNABA, AG"
55,7.81,36.82,1725,"ANNABA, AG"
56,8.45,36.9,262,"EL KALA, AG"
57,5.07,36.71,1591,"SOUMMAM, AG"
58,7.47,36.47,1129,"GUELMA, AG"
59,7.47,36.47,7001,"GUELMA, AG"
60,7.72,36.5,1129,"BOUCHEGOUF, AG"
61,7.72,36.5,1129,"BOUCHEGOUF, AG"
62,1.33,36.5,1117,"TENES, AG"
