,Longitude,Latitude,Soil Mapping Unit,Country
0,143.35,44.35,7001,"MOMBETSU, JA"
1,140.35,38.25,7001,"YAMAGATA, JA"
2,140.9,36.95,7001,"ONAHAMA, JA"
3,136.9,37.4,7001,"WAJIMA, JA"
4,137.05,36.8,7001,"FUSHIKI, JA"
5,138.25,37.1,7001,"TAKADA, JA"
6,137.25,36.15,7001,"TAKAYAMA, JA"
7,138.55,36.35,4419,"KARUIZAWA, JA"
8,140.1,35.6,4420,"CHIBA, JA"
9,133.25,34.45,7001,"FUKUYAMA, JA"
10,135.75,33.45,4279,"SHIONOMISAKI, JA"
11,130.55,31.55,4299,"KAGOSHIMA, JA"
12,134.1,33.85,4355,"TSURUGISAN, JA"
13,127.75,26.35,4280,"KADENA AFB OKINAWA, JA"
14,127.65,26.2,7001,"NAHA AFB OKINAWA, JA"
15,127.75,26.2,4280,"YONABARU RYUKYU ISLANDS, JA"
16,139.4,35.7,7001,"TACHIKAWA, JA"
17,139.35,35.75,4420,"FUSSA YOKOTA AB, JA"
18,141.65,42.8,4425,"CHITOSE HOKKAIDO, JA"
19,36.75,-1.3,17448,"NAIROBI DAGORETTI, KE"
20,75.0,42.7,27915,"ISIK ATA, KG"
21,75.6,42.6,27915,"YUBILEYNAYA, KG"
22,75.7,42.2,27917,"KOCKORKA, KG"
23,76.1,42.7,27918,"SABDAN, KG"
24,77.0,42.6,15996,"COLPON ATA, KG"
25,77.0,42.1,27917,"BOKONBAEVO, KG"
26,78.3,42.8,27918,"BALBAY, KG"
27,78.9,42.7,27918,"SAN TAS, KG"
28,78.0,42.4,27917,"KIZIL SUU, KG"
29,78.5,42.5,27918,"TEPLOKLUCHENKA, KG"
30,78.43,42.5,27917,"PRZHEVALSK, KG"
31,79.0,42.4,27913,"CHON ASHU, KG"
32,79.0,42.2,27913,"KO JLU, KG"
33,75.1,41.0,27912,"ORTO SIRT, KG"
34,75.8,41.2,27914,"AT BASY, KG"
35,76.3,41.9,27916,"KARA KUJUR, KG"
36,78.7,41.8,27913,"UC KOSKON, KG"
37,76.3,40.9,27913,"AK SAY, KG"
38,75.3,40.6,27913,"CATIR KUL, KG"
39,74.1,43.1,27956,"TULEK, KG"
40,74.4,43.1,27956,"JANY JER, KG"
41,71.6,42.7,27955,"KIZIL ADIR, KG"
42,72.7,42.5,27915,"ORTOK, KG"
43,72.9,42.2,27915,"IT AGAR, KG"
44,74.5,42.5,27916,"ALA ARCHA, KG"
45,73.0,42.2,27915,"ALA BEL, KG"
46,74.1,42.85,27956,"BELOVODSKOE, KG"
47,74.58,42.83,7001,"BISHKEK, KG"
48,74.58,42.83,27955,"BISHKEK, KG"
49,74.0,42.7,27955,"CHON ARIK, KG"
50,74.5,42.7,27915,"BAI TYK, KG"
51,74.1,42.3,27916,"CHON SHORGO, KG"
52,73.1,42.5,27915,"AK TAS, KG"
53,73.8,42.4,27915,"TUYA ASHU, KG"
54,71.35,41.9,27904,"CATKAL RIVER, KG"
55,71.7,41.6,27905,"PACA ATA, KG"
56,72.8,41.3,28071,"AK TERK, KG"
57,72.1,41.2,27906,"SHAMALDISAY, KG"
58,72.6,41.1,27905,"LENINDJOL, KG"
59,74.5,41.9,27914,"CAEK, KG"
60,74.5,41.6,27916,"AT OYNOK, KG"
61,74.5,42.6,27915,"AL PLAGER, KG"
62,73.23,41.1,27905,"DZHERGITAL, KG"
63,73.8,41.0,27912,"CAAR TAS, KG"
64,75.0,41.2,27914,"BAETOVO, KG"
65,70.9,40.0,27889,"BATKEN AMSG, KG"
66,72.6,40.3,27905,"NOOKAT, KG"
67,72.9,40.6,27907,"KARA SUU, KG"
68,71.9,40.2,27907,"50LET OKTYABRYA, KG"
69,73.3,40.8,27905,"UZGEN, KG"
70,74.9,40.8,27914,"ARPA, KG"
71,74.3,40.2,27912,"KIZIL JAR, KG"
72,69.5,39.8,27905,"ISFANA, KG"
73,70.6,39.9,27905,"TANGI VORUH, KG"
74,70.6,39.7,27887,"DJAPTIH, KG"
75,71.3,39.9,27912,"HAIDARAKAN, KG"
76,72.8,39.9,27912,"KICIK ALAY, KG"
77,72.2,39.6,27912,"DAROOT KORGON, KG"
78,127.4,36.3,4352,"TAEJON, KS"
