,index,Country,Region,Rating,Nratings,Label,Winery,Price,Wine_Variety
0,0,France,Côte-Rôtie,4.8,39,Les Grandes Places Côte-Rôtie 1999,Jean-Michel Gerin,"479,023",['Shiraz/Syrah']
1,1,France,Pauillac,4.7,3745,Pauillac (Grand Cru Classé) 2009,Château Pontet-Canet,"386,706","['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc', 'Petit Verdot']"
2,2,Chile,Apalta Valley,4.7,1101,Clos Apalta 2005,Clos Apalta,"127,752","['Carménère', 'Cabernet Sauvignon', 'Merlot', 'Petit Verdot']"
3,3,France,Saint-Émilion Grand Cru,4.7,120,Saint-Émilion Grand Cru (Grand Cru Classé) 2005,Château Pavie Decesse,"298,615","['Cabernet Franc', 'Merlot']"
4,4,Chile,Aconcagua Valley,4.6,1516,Aconcagua Valley 2007,Sena,"172,465",['Cabernet Franc']
5,5,France,Pauillac,4.6,1214,Pauillac (Grand Cru Classé) 1990,Château Pichon Baron,"447,922","['Merlot', 'Cabernet Sauvignon']"
6,6,United States,Napa Valley,4.6,1073,Dominus (Christian Moueix) 2014,Dominus,"367,043","['Cabernet Sauvignon', 'Cabernet Franc', 'Petit Verdot']"
7,7,Chile,Colchagua Valley,4.6,655,Altura 2008,Casa Silva,"221,436",['Carménère']
8,8,United States,Napa Valley,4.6,609,Insignia 2019,Joseph Phelps Vineyards,"391,772","['Cabernet Sauvignon', 'Petit Verdot', 'Malbec']"
9,9,France,Pauillac,4.6,503,Les Forts de Latour Pauillac 2003,Château Latour,"298,615",['Cabernet Sauvignon']
10,10,Italy,Toscana,4.6,445,Bibbona 2018,Biserno,"222,468","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
11,11,United States,Napa Valley,4.6,391,Premiere Napa Valley Cabernet Sauvignon 2006,B Cellars,"76,651",['Cabernet Sauvignon']
12,12,France,Pauillac,4.6,341,Les Forts de Latour Pauillac 1990,Château Latour,"321,011","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
13,13,France,Pauillac,4.6,318,Carruades de Lafite Pauillac 1990,Château Lafite Rothschild,"418,061","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
14,14,New Zealand,Auckland,4.6,214,Pope 2015,Puriri Hills,"160,192","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Carménère']"
15,15,France,Saint-Émilion Grand Cru,4.6,209,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2009,Château Valandraud,"373,269","['Cabernet Franc', 'Merlot']"
16,16,Chile,Aconcagua Valley,4.6,193,Aconcagua Valley 2003,Sena,"172,465","['Carménère', 'Cabernet Sauvignon', 'Malbec', 'Petit Verdot']"
17,17,Chile,Central Valley,4.6,156,Luis Pereira 2012,Santa Carolina,"204,403",['Cabernet Sauvignon']
18,18,France,Châteauneuf-du-Pape,4.6,153,Châteauneuf-du-Pape Deus Ex Machina 2010,Clos Saint Jean,"416,822","['Grenache', 'Mourvedre']"
19,19,France,Châteauneuf-du-Pape,4.6,136,Chateauneuf-du-Pape Réserve des Célestins 2011,Henri Bonneau,"410,595",['Grenache']
20,20,France,Châteauneuf-du-Pape,4.6,135,Châteauneuf-du-Pape Deus Ex Machina 2005,Clos Saint Jean,"491,475","['Grenache', 'Mourvedre']"
21,21,Spain,Rioja,4.6,133,Torre Muga 2000,Muga,"114,977","['Mazuelo', 'Graciano', 'Tempranillo']"
22,22,Spain,Rioja,4.6,119,Aro 2001,Muga,"234,212",['Tempranillo']
23,23,France,Châteauneuf-du-Pape,4.6,99,La Réserve Châteauneuf-du-Pape 2010,Clos du Caillou,"410,595",['Grenache']
24,24,New Zealand,Waiheke Island,4.6,92,Larose Red Blend 2019,Stonyridge Vineyard,"296,658","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
25,25,France,Saint-Estèphe,4.6,80,La Dame de Montrose Saint-Estèphe 1990,Château Montrose,"283,527","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
26,26,France,Gigondas,4.6,62,Gigondas Hominis Fides 2007,Château de Saint Cosme,"475,443",['Grenache']
27,27,France,Châteauneuf-du-Pape,4.6,61,Châteauneuf-du-Pape Deus Ex Machina 2017,Clos Saint Jean,"185,720","['Grenache', 'Mourvedre']"
28,28,France,Châteauneuf-du-Pape,4.6,38,Châteauneuf-du-Pape Cuvée Marie Beurrier 2010,Henri Bonneau,"266,203","['Shiraz/Syrah', 'Grenache', 'Mourvedre']"
29,29,France,Pomerol,4.5,13580,Pomerol 1967,Château La Fleur-Pétrus,"430,870","['Petit Verdot', 'Cabernet Franc', 'Merlot']"
30,30,France,Pomerol,4.5,10713,Pomerol 1966,Château l'Évangile,"321,919","['Cabernet Franc', 'Merlot']"
31,31,France,Pomerol,4.5,10713,Pomerol 1967,Château l'Évangile,"408,584","['Cabernet Franc', 'Merlot']"
32,32,France,Saumur-Champigny,4.5,4095,Saumur Champigny 1999,Clos Rougeard,"492,782",['Cabernet Franc']
33,33,United States,Napa Valley,4.5,1945,Napa Valley Cabernet Sauvignon 2016,Silver Oak,"314,848",['Cabernet Sauvignon']
34,34,France,Saint-Estèphe,4.5,1694,Cos d'Estournel 1995,Cos d'Estournel,"289,723","['Merlot', 'Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc']"
35,35,France,Pauillac,4.5,1389,Pauillac (Grand Cru Classé) 1996,Château Pichon Baron,"290,956","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
