,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
0,ACW00011604,1949-01,17.11667,-61.78333,10.1,"ST JOHNS COOLIDGE FIELD, AC",182.6,,182.6,",X",14.0,",X",9.0,",X",0.0,",X",0.0,",X",0.0,",X",0.0,",X",0.0,",X",0.0,",X",31.0,",X",0.0,",X",19490113.0,",,X",19490131.0,"+,,X",19490131.0,"+,,X",,,19490129.0,",,X",19490106.0,"+,,X",16.1,",X,13,",0.0,",,X,31,+",0.0,",,X,31,+",8.6,",,X,29,",28.9,",X,06,+",,,0.0,",X",46.2,",,,X",0.0,",,,X",24.22,",X",27.46,",,,X",20.98,",,,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ACW00011647,1957-09,17.13333,-61.78333,19.2,"ST JOHNS, AC",,,,,18.0,",X",7.0,",X",1.0,",X",0.0,",X",0.0,",X",,,,,,,,,,,,,19570930.0,"+,,X",19570930.0,"+,,X",,,19570924.0,",,X",,,,,0.0,",,X,30,+",0.0,",,X,30,+",52.1,",,X,24,",,,,,,,103.6,",,,X",0.0,",,,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AE000041196,1944-04,25.333,55.517,34.0,"SHARJAH INTER. AIRP, AE",,,184.1,"4,I",0.0,",I",0.0,",I",0.0,",I",,,,,0.0,"4,I",0.0,"4,I",0.0,",I",30.0,",I",13.0,",I",19440405.0,",4,I",,,,,,,19440430.0,"+,,I",19440408.0,",,I",13.5,"4,I,05,",,,,,0.0,",,I,30,+",39.1,",I,08,",,,0.0,",I",0.0,",,,I",,,25.37,"4,I",32.15,",,,I",18.6,"4,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AEM00041194,1983-01,25.255,55.364,10.4,"DUBAI INTERNATIONAL, AE",,,,,,,,,,,,,,,,,,,0.0,"3,S",19.0,"3,S",0.0,"3,S",,,,,,,,,,,19830102.0,",3,S",,,,,,,,,30.2,"3,S,02,",,,,,,,,,,,22.87,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AEM00041217,1983-06,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"5,S",25.0,"5,S",25.0,"5,S",19830602.0,",5,S",,,,,,,,,19830603.0,",5,S",21.2,"5,S,02,",,,,,,,44.2,"5,S,03,",,,,,,,,,32.7,"9,S",39.9,"5,,,S",25.5,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AEM00041218,1994-04,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,,,,,,,,,,,,,,,,,0.0,"2,S",28.0,"2,S",25.0,"2,S",,,,,,,,,,,19940430.0,"+,2,S",,,,,,,,,42.5,"2,S,30,+",,,,,,,,,,,37.01,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AF000040930,1979-10,35.317,69.017,3366.0,"NORTH SALANG, AF",,,,,,,,,,,,,,,0.0,"4,I",18.0,"4,I",,,,,,,19791017.0,"+,4,I",,,,,,,,,,,-4.0,"4,I,17,+",,,,,,,,,,,,,,,,,,,,,-0.89,"4,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AFM00040938,1979-07,34.21,62.228,977.2,"HERAT, AF",,,,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,19790701.0,",4,S",,,,,,,,,,,16.0,"4,S,01,",,,,,,,,,,,,,,,,,,,,,20.85,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AFM00040948,1977-10,34.566,69.212,1791.3,"KABUL INTERNATIONAL, AF",,,,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,19771031.0,"+,5,S",,,,,,,,,,,2.0,"5,S,31,+",,,,,,,,,,,,,,,,,,,,,5.77,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AFM00040990,2014-02,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,,,,,,,,,,,,,,,,,1.0,"5,S",1.0,"5,S",0.0,"5,S",,,,,,,,,,,20140224.0,",5,S",,,,,,,,,21.6,"5,S,24,",,,,,,,,,,,12.62,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AG000060390,1940-01,36.7167,3.25,24.0,"ALGER DAR EL BEIDA, AG",0.0,E,0.0,",E",13.0,"4,E",8.0,"4,E",1.0,"4,E",,,,,0.0,",G",0.0,",E",0.0,",G",1.0,",G",0.0,",G",19400119.0,",,E",,,,,,,19400109.0,",4,E",19400101.0,",,G",0.2,",E,19,",,,,,30.4,"4,,E,09,",22.4,",G,01,",,,231.6,",G",144.4,"4,,,E",,,10.86,",E",15.68,",,,G",6.04,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AG000060590,1892-01,30.5667,2.8667,397.0,"EL GOLEA, AG",,,,,0.0,",E",0.0,",E",0.0,",E",,,,,0.0,",",3.0,",E",,,,,,,18920116.0,",,E",,,,,,,18920131.0,"+,,E",,,-2.0,",E,16,",,,,,0.0,",,E,31,+",,,,,,,0.0,",,,E",,,,,,,3.42,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AG000060611,1958-10,28.05,9.6331,561.0,"IN AMENAS, AG",,,143.4,",G",0.0,",I",0.0,",I",0.0,",I",,,,,0.0,",G",0.0,",G",0.0,",G",31.0,",G",11.0,",G",19581024.0,",,G",,,,,,,19581031.0,"+,,I",19581004.0,"+,,G",7.6,",G,24,",,,,,0.0,",,I,31,+",38.3,",G,04,+",,,3.9,",G",0.0,",,,I",,,22.83,",G",30.93,",,,G",14.74,",,,G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AG000060680,1940-01,22.8,5.4331,1362.0,"TAMANRASSET, AG",0.0,G,0.0,",G",0.0,",I",0.0,",I",0.0,",I",,,,,0.0,",G",2.0,",G",0.0,",G",15.0,",G",0.0,",G",19400125.0,",,G",,,,,,,19400131.0,"+,,I",19400104.0,",,G",-0.4,",G,25,",,,,,0.0,",,I,31,+",24.2,",G,04,",,,187.2,",G",0.0,",,,I",,,12.29,",G",20.47,",,,G",4.12,",,,G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
