,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES
0,BR002749039,1979-01,-27.21,-49.63,350.0,"RIO DO SUL NOVO PCD, BR",9.0,",I",2.0,",I",0.0,",I",19790104.0,",,I",4.5,",,I,04,",16.2,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BR002749041,1983-01,-27.41,-49.83,850.0,"AGROLANDIA, BR",7.0,",I",4.0,",I",2.0,",I",19830120.0,",,I",26.8,",,I,20,",102.6,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BR002749045,1986-09,-27.2,-49.09,0.0,"BOTUVERA MONTANTE, BR",7.0,",I",7.0,",I",1.0,",I",19860920.0,",,I",29.5,",,I,20,",97.2,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BR002749046,1988-02,-27.33,-49.33,0.0,"SALSEIRO PCD, BR",12.0,",I",7.0,",I",1.0,",I",19880201.0,",,I",29.2,",,I,01,",81.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BR002750001,1969-11,-27.9,-50.75,980.0,"CAMPO BELO DO SUL, BR",9.0,",I",8.0,",I",4.0,",I",19691107.0,",,I",83.4,",,I,07,",228.2,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BR002750003,1958-06,-27.81,-50.33,820.0,"ENCRUZILHADA II, BR",7.0,",I",7.0,",I",0.0,",I",19580614.0,",,I",25.0,",,I,14,",117.6,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BR002750004,1969-11,-27.02,-50.92,1100.0,"FRAIBURGO I, BR",12.0,",I",11.0,",I",0.0,",I",19691129.0,",,I",18.6,",,I,29,",113.7,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BR002750007,1958-06,-27.92,-50.1,1196.0,"PAINEL, BR",6.0,",I",6.0,",I",3.0,",I",19580612.0,",,I",36.0,",,I,12,",134.7,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BR002750008,1959-05,-27.54,-50.86,720.0,"PASSO CARU, BR",7.0,",I",1.0,",I",0.0,",I",19590518.0,",,I",6.4,",,I,18,",12.3,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BR002750009,1958-07,-27.33,-50.75,829.0,"PASSO MAROMBAS, BR",6.0,",I",4.0,",I",1.0,",I",19580728.0,",,I",26.4,",,I,28,",59.0,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
