,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,AWND,AWND_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
0,CA007024625,1973-01,45.3167,-71.4667,445.0,"MAPLE LEAF SOUTH, QC CA",16.0,",C",8.0,",C",0.0,",C",5.0,",C",19730106.0,",,C",19730119.0,",,C",71.0,",,C,06,",16.0,",,C,19,",69.5,",,,C",360.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CA007024627,1960-06,45.4,-73.1333,38.0,"MARIEVILLE, QC CA",10.0,",C",8.0,",C",0.0,",C",0.0,",C",19600630.0,"+,,C",19600617.0,",,C",0.0,",,C,30,+",25.1,",,C,17,",86.1,",,,C",0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CA007024628,1965-04,45.3,-71.7333,259.0,"MARTINVILLE, QC CA",8.0,",C",6.0,",C",0.0,",C",2.0,",C",19650412.0,",,C",19650412.0,",,C",137.0,",,C,12,",13.7,",,C,12,",46.3,",,,C",183.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CA007024745,1994-08,45.5,-73.5833,73.0,"MCTAVISH, QC CA",9.0,"5,C",5.0,"5,C",1.0,"5,C",,,,,19940802.0,",5,C",,,26.8,"5,,C,02,",62.0,"5,,,C",,,,,,,,,,,,,0.0,"5,C",19.0,"5,C",0.0,"5,C",,,,,19940801.0,",5,C",,,,,28.5,"5,C,01,",,,,,,,23.13,"5,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CA007024800,1939-11,45.5833,-70.8667,415.0,"MEGANTIC A, QC CA",9.0,",C",1.0,",C",0.0,",C",0.0,",C",19391114.0,"+,,C",19391105.0,",,C",5.0,",,C,14,+",13.0,",,C,05,",19.9,",,,C",19.0,",,,C",,,0.0,",C",,,0.0,",C",29.0,",C",11.0,",C",0.0,",C",0.0,",C",19391126.0,",,C",,,19391110.0,",,C",-17.2,",C,26,",,,10.6,",C,10,",,,620.6,",C",-2.36,",C",1.72,",,,C",-6.43,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CA007024858,1973-01,45.3167,-73.95,31.0,"MELOCHEVILLE, QC CA",13.0,",C",5.0,",C",0.0,",C",2.0,",C",19730128.0,",,C",19730119.0,",,C",137.0,",,C,28,",18.0,",,C,19,",71.7,",,,C",262.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CA007024878,1973-01,45.3167,-73.7833,31.0,"MERCIER, QC CA",11.0,",C",6.0,",C",0.0,",C",4.0,",C",19730129.0,",,C",19730122.0,",,C",152.0,",,C,29,",19.8,",,C,22,",64.2,",,,C",278.0,",,,C",,,,,,,,,,,20.0,",C",0.0,",C",0.0,",C",,,,,19730119.0,",,C",,,,,7.8,",C,19,",,,,,,,-3.98,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CA007024920,1949-10,45.5833,-71.1167,482.0,"MILAN, QC CA",7.0,",C",7.0,",C",0.0,",C",0.0,",C",19491031.0,"+,,C",19491005.0,",,C",0.0,",,C,31,+",17.8,",,C,05,",74.2,",,,C",0.0,",,,C",,,3.9,",C",,,0.0,",C",14.0,",C",0.0,",C",4.0,",C",0.0,",C",19491025.0,",,C",,,19491011.0,",,C",-11.1,",C,25,",,,26.7,",C,11,",,,297.9,",C",8.85,",C",15.92,",,,C",1.78,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CA007025060,1965-05,45.25,-71.7833,255.0,"MOE S RIVER, QC CA",10.0,",C",6.0,",C",0.0,",C",0.0,",C",19650531.0,"+,,C",19650527.0,",,C",0.0,",,C,31,+",15.2,",,C,27,",41.2,",,,C",0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CA007025212,1978-09,45.45,-71.15,1111.0,"MONT MEGANTIC, QC CA",13.0,"1,C",6.0,"1,C",1.0,"1,C",0.0,",C",19780930.0,"+,,C",19780906.0,",1,C",0.0,",,C,30,+",33.0,"1,,C,06,",86.0,"1,,,C",0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
