,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES
0,JA000047435,1956-01,44.35,143.35,16.0,"MOMBETSU, JA",0.0,I,0.0,",I",17.0,",I",1.0,",I",0.0,",I",,,0.0,",I",31.0,",I",26.0,",I",0.0,",I",0.0,",I",19560117.0,",,I",,,19560102.0,",,I",19560101.0,",,I",-16.4,",I,17,",,,2.5,",,I,02,",1.3,",I,01,",,,772.5,",I",18.3,",,,I",-6.59,",I",-3.46,",,,I",-9.72,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JA000047440,1958-01,42.3,143.317,33.0,"HIROO, JA",0.0,I,0.0,",I",19.0,",I",10.0,",I",2.0,",I",,,0.0,",I",31.0,",I",16.0,",I",0.0,",I",0.0,",I",19580120.0,",,I",,,19580121.0,",,I",19580107.0,",,I",-15.9,",I,20,",,,87.6,",,I,21,",5.5,",I,07,",,,700.2,",I",204.9,",,,I",-4.25,",I",0.1,",,,I",-8.61,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,JA000047512,1964-01,39.067,141.717,41.0,"OFUNATO, JA",0.0,I,0.0,",I",6.0,",I",4.0,",I",0.0,",I",,,0.0,",I",27.0,",I",0.0,",I",0.0,",I",0.0,",I",19640130.0,",,I",,,19640131.0,",,I",19640113.0,",,I",-6.1,",I,30,",,,18.3,",,I,31,",15.7,",I,13,",,,525.8,",I",62.6,",,,I",1.37,",I",5.02,",,,I",-2.28,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,JA000047520,1958-01,38.75,140.317,102.0,"SHINJO, JA",0.0,I,0.0,"2,I",28.0,",I",22.0,",I",1.0,",I",,,0.0,"1,I",30.0,"1,I",10.0,"1,I",0.0,"1,I",0.0,"1,I",19580121.0,",1,I",,,19580116.0,",,I",19580110.0,",1,I",-12.7,"1,I,21,",,,33.5,",,I,16,",9.6,"1,I,10,",,,589.4,"1,I",274.1,",,,I",-1.94,"2,I",2.02,"1,,,I",-5.9,"1,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,JA000047570,1954-01,37.483,139.917,213.0,"WAKAMATSU, JA",0.0,I,0.0,",I",18.0,",I",11.0,",I",1.0,",I",,,0.0,",I",30.0,",I",6.0,",I",0.0,",I",0.0,",I",19540126.0,",,I",,,19540128.0,",,I",19540119.0,",,I",-8.7,",I,26,",,,33.6,",,I,28,",9.1,",I,19,",,,576.5,",I",96.6,",,,I",-0.26,",I",3.11,",,,I",-3.64,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,JA000047574,1951-01,40.65,139.933,67.0,"FUKAURA, JA",0.0,I,0.0,",I",25.0,",I",15.0,",I",0.0,",I",,,0.0,",I",29.0,",I",14.0,",I",0.0,",I",0.0,",I",19510114.0,",,I",,,19510112.0,",,I",19510119.0,",,I",-9.0,",I,14,",,,11.9,",,I,12,",5.9,",I,19,",,,638.3,",I",92.0,",,,I",-2.26,",I",-0.1,",,,I",-4.41,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,JA000047575,1956-01,40.817,140.767,3.0,"AOMORI, JA",0.0,I,0.0,"2,I",29.0,",I",16.0,",I",0.0,",I",,,0.0,"1,I",29.0,"1,I",15.0,"1,I",0.0,"1,I",0.0,"1,I",19560124.0,",1,I",,,19560113.0,",,I",19560128.0,",1,I",-12.6,"1,I,24,",,,19.9,",,I,13,",7.6,"1,I,28,",,,612.1,"1,I",140.1,",,,I",-2.67,"2,I",0.47,"1,,,I",-5.8,"1,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,JA000047576,1951-01,41.283,141.217,5.0,"MUTSU, JA",0.0,I,0.0,",I",26.0,",I",9.0,",I",0.0,",I",,,2.0,",I",31.0,",I",18.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510128.0,",,I",19510119.0,",,I",-18.7,",I,15,",,,11.2,",,I,28,",4.4,",I,19,",,,724.6,",I",78.7,",,,I",-5.04,",I",-0.93,",,,I",-9.15,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,JA000047581,1951-01,40.533,141.517,28.0,"HACHINOHE, JA",0.0,I,0.0,",I",7.0,",I",2.0,",I",0.0,",I",,,0.0,",I",31.0,",I",17.0,",I",0.0,",I",0.0,",I",19510107.0,",,I",,,19510123.0,",,I",19510119.0,",,I",-12.9,",I,07,",,,4.1,",,I,23,",7.3,",I,19,",,,677.3,",I",11.8,",,,I",-3.51,",I",0.07,",,,I",-7.1,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JA000047582,1951-01,39.717,140.1,7.0,"AKITA, JA",0.0,I,0.0,",I",25.0,",I",14.0,",I",0.0,",I",,,0.0,",I",31.0,",I",14.0,",I",0.0,",I",0.0,",I",19510122.0,",,I",,,19510116.0,",,I",19510128.0,",,I",-7.9,",I,22,",,,13.4,",,I,16,",5.7,",I,28,",,,643.3,",I",82.9,",,,I",-2.42,",I",0.59,",,,I",-5.43,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
