,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
0,US1COLR1205,2019-07,40.390383,-105.491471,2372.0,"ESTES PARK 2.0 NE, CO US",16.0,"1,N",5.0,"1,N",0.0,"1,N",,,,,20190716.0,",1,N",,,18.8,"1,,N,16,",62.1,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,US1COLR1212,2020-03,40.53499,-105.08975,1548.1,"FORT COLLINS 1.8 SW, CO US",7.0,"3,N",3.0,"3,N",1.0,"3,N",,,,,20200320.0,",3,N",,,30.5,"3,,N,20,",48.2,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,US1COLR1213,2020-08,40.50775,-104.96524,1475.8,"TIMNATH 1.8 SSE, CO US",5.0,"4,N",1.0,"4,N",0.0,"4,N",,,,,20200830.0,",4,N",,,5.3,"4,,N,30,",7.4,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,US1COLR1216,2022-10,40.81034,-105.21584,1826.4,"LIVERMORE 4.2 N, CO US",4.0,",N",2.0,",N",0.0,",N",0.0,"4,N",20221031.0,"+,4,N",20221002.0,",,N",0.0,"4,,N,31,+",6.6,",,N,02,",10.9,",,,N",0.0,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,US1COLR1217,2020-04,40.63571,-105.15986,1559.4,"LAPORTE 1.9 NW, CO US",9.0,",N",3.0,",N",1.0,",N",,,,,20200416.0,",,N",,,27.4,",,N,16,",43.5,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,US1COLR1222,2020-07,40.277813,-105.0922,1520.0,"BERTHOUD 2.0 SSW, CO US",9.0,",N",3.0,",N",0.0,",N",,,,,20200731.0,",,N",,,5.8,",,N,31,",16.4,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,US1COLR1228,2020-06,40.5385,-105.1112,1562.1,"FORT COLLINS 2.5 WSW, CO US",10.0,",N",4.0,",N",0.0,",N",,,,,20200609.0,",,N",,,12.4,",,N,09,",38.8,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,US1COLR1231,2020-06,40.29009,-105.13749,1562.4,"BERTHOUD 3.2 WSW, CO US",9.0,"2,N",3.0,"2,N",0.0,"2,N",,,,,20200609.0,",2,N",,,8.9,"2,,N,09,",30.3,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,US1COLR1232,2020-06,40.625575,-105.036365,1537.1,"FORT COLLINS 5.1 NNE, CO US",6.0,"4,N",4.0,"4,N",0.0,"4,N",,,,,20200609.0,",4,N",,,12.2,"4,,N,09,",39.6,"1,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,US1COLR1233,2020-08,40.55750283,-105.05611733,1519.4,"FORT COLLINS 0.7 ENE, CO US",6.0,",N",2.0,",N",0.0,",N",,,,,20200802.0,",,N",,,5.6,",,N,02,",11.2,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,US1COLR1234,2020-06,40.544525,-105.051424,1517.3,"FORT COLLINS 1.2 SE, CO US",8.0,",N",5.0,",N",0.0,",N",,,,,20200609.0,",,N",,,13.5,",,N,09,",47.1,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,US1COLR1235,2020-07,40.368294,-105.081234,1534.7,"CAMPION 1.8 NNE, CO US",9.0,",N",0.0,",N",0.0,",N",,,,,20200729.0,"+,,N",,,1.3,",,N,29,+",7.8,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,US1COLR1236,2020-08,40.474665,-104.975413,1505.1,"WINDSOR 3.7 WSW, CO US",4.0,",N",0.0,",N",0.0,",N",,,,,20200802.0,",,N",,,1.0,",,N,02,",2.6,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
