,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
0,US1MANF0054,2019-11,42.259033,-71.030317,30.5,"QUINCY 1.2 W, MA US",12.0,"4,N",10.0,"4,N",1.0,"4,N",,,0.0,"5,N",,,20191113.0,",5,N",20191125.0,",4,N",,,0.0,"5,T,N,13,",43.2,"4,,N,25,",107.7,"1,a,,N",0.0,"5,T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,US1MANF0058,2020-04,42.0083,-71.3385,63.7,"PLAINVILLE 0.6 NNW, MA US",15.0,",N",11.0,",N",1.0,",N",1.0,",N",1.0,",N",20200418.0,",,N",20200418.0,",,N",20200414.0,",,N",51.0,",,N,18,",48.0,",,N,18,",38.9,",,N,14,",134.5,",,,N",48.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,US1MANF0062,2020-09,42.074391,-71.408504,92.7,"FRANKLIN 1.4 SW, MA US",6.0,",N",3.0,",N",0.0,",N",,,,,,,,,20200930.0,",,N",,,,,13.0,",,N,30,",29.6,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,US1MANF0063,2021-01,42.1176097,-71.3379017,61.6,"NORFOLK 1.1 W, MA US",9.0,",N",5.0,",N",0.0,",N",,,,,,,,,20210116.0,",,N",,,,,20.3,",,N,16,",61.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,US1MANF0064,2021-03,42.138006,-71.440061,60.4,"MEDWAY 2.1 W, MA US",5.0,"1,N",3.0,"1,N",0.0,"1,N",,,0.0,"1,N",,,20210315.0,",1,N",20210329.0,",1,N",,,0.0,"1,T,N,15,",19.8,"1,,N,29,",40.6,"1,,,N",0.0,"1,T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,US1MANF0065,2021-03,42.262403,-71.080002,11.0,"MILTON 1.3 N, MA US",4.0,"5,N",2.0,"5,N",0.0,"5,N",,,,,,,,,20210319.0,",5,N",,,,,23.4,"5,,N,19,",48.9,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,US1MANF0067,2021-04,42.043125,-71.489419,110.3,"BELLINGHAM 3.6 SSW, MA US",9.0,"1,N",7.0,"1,N",1.0,"1,N",,,,,,,,,20210416.0,",1,N",,,,,31.2,"1,,N,16,",99.8,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,US1MANF0068,2021-04,42.24,-71.0,20.1,"QUINCY 1.5 SSE, MA US",10.0,"2,N",7.0,"2,N",2.0,"2,N",,,,,,,,,20210417.0,",2,N",,,,,40.6,"2,,N,17,",123.5,",a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,US1MANF0073,2021-06,42.06284,-71.18885,61.9,"FOXBOROUGH 3.1 E, MA US",10.0,",N",7.0,",N",0.0,",N",,,,,,,,,20210615.0,",,N",,,,,19.8,",,N,15,",62.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,US1MANF0075,2022-04,42.186657,-70.984391,55.5,"BRAINTREE 1.5 SE, MA US",12.0,",N",7.0,",N",0.0,",N",,,,,,,,,20220419.0,",,N",,,,,21.6,",,N,19,",72.7,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
