,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES
0,US1NYOR0004,2013-09,41.268357,-74.415952,189.3,"WARWICK 3.2 WNW, NY US",5.0,",N",5.0,",N",0.0,",N",0.0,"5,N",20130930.0,"+,5,N",20130903.0,",,N",0.0,"5,,N,30,+",18.0,",,N,03,",56.5,",,,N",0.0,"5,,,N",,,,,,,,,,
1,US1NYOR0006,2009-10,41.30144501,-74.1669693,253.0,"MONROE 1.7 SE, NY US",13.0,",N",8.0,",N",1.0,",N",,,,,20091025.0,",,N",,,35.6,",,N,25,",115.0,",,,N",,,,,,,,,,,,
2,US1NYOR0015,2014-10,41.374007,-74.684483,142.3,"PORT JERVIS 0.4 SE, NY US",15.0,",N",7.0,",N",1.0,",N",,,,,20141016.0,",,N",,,35.1,",,N,16,",82.1,",,,N",,,,,,,,,,,,
3,US1NYOR0017,2017-07,41.587962,-74.357663,126.8,"PINE BUSH 3.4 WSW, NY US",13.0,"1,N",10.0,"1,N",1.0,"1,N",,,,,20170724.0,",1,N",,,34.3,"1,,N,24,",126.9,"1,,,N",,,,,,,,,,,,
4,US1NYOR0018,2017-09,41.54269,-74.188349,137.8,"WALDEN 1.2 S, NY US",8.0,",N",4.0,",N",0.0,",N",,,,,20170907.0,",,N",,,23.4,",,N,07,",64.2,",,,N",,,,,,,,,,,,
5,US1NYOR0019,2018-01,41.189,-74.3265,195.1,"GREENWOOD LAKE 3.0 SW, NY US",9.0,"3,N",6.0,"3,N",1.0,"3,N",,,,,20180113.0,",3,N",,,47.2,"3,,N,13,",90.9,"3,,,N",,,,,,,,,,,,
6,US1NYOR0020,2019-05,41.60904,-74.1269,155.8,"WALLKILL 2.0 E, NY US",22.0,",N",13.0,",N",2.0,",N",,,,,20190530.0,",,N",,,27.4,",,N,30,",161.5,",,,N",,,,,,,,,,,,
7,US1NYOR0021,2019-09,41.3599,-74.6409,416.1,"PORT JERVIS 2.9 ESE, NY US",7.0,",N",2.0,",N",0.0,",N",,,,,20190903.0,",,N",,,16.3,",,N,03,",31.0,",,,N",,,,,,,,,,,,
8,US1NYOR0023,2023-06,41.26129,-74.42932,147.5,"WARWICK 3.9 W, NY US",12.0,",N",9.0,",N",1.0,",N",,,,,20230627.0,",,N",,,90.2,",,N,27,",175.6,",,,N",,,,,,,,,,,,
9,US1NYOS0001,2004-03,43.59643,-76.03732,191.4,"LACONA 3.6 SSE, NY US",,,,,,,4.0,",N",20040323.0,"+,,N",,,61.0,",,N,23,+",,,,,323.0,",,,N",,,,,,,,,,
