"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00023738","1914-01","-35.39","138.4652","216.0","MYPONGA, AS","","","1",",a","0",",a","0",",a","","","","","","","","","","","","","19140125",",,a","","","","","0.8",",,a,25,","","","","","","","0.8",",,,a","","","","","",""
"ASN00023738","1914-02","-35.39","138.4652","216.0","MYPONGA, AS","","","2",",a","1",",a","0",",a","","","","","","","","","","","","","19140227",",,a","","","","","3.0",",,a,27,","","","","","","","4.0",",,,a","","","","","",""
"ASN00023738","1914-03","-35.39","138.4652","216.0","MYPONGA, AS","","","5",",a","1",",a","0",",a","","","","","","","","","","","","","19140312",",,a","","","","","7.4",",,a,12,","","","","","","","11.0",",,,a","","","","","",""
"ASN00023738","1914-04","-35.39","138.4652","216.0","MYPONGA, AS","","","9","2,a","8","2,a","0","2,a","","","","","","","","","","","","","19140421",",2,a","","","","","20.8","2,,a,21,","","","","","","","91.2",",a,,a","","","","","",""
"ASN00023738","1914-05","-35.39","138.4652","216.0","MYPONGA, AS","","","6","2,a","4","2,a","0","2,a","","","","","","","","","","","","","19140512",",2,a","","","","","18.5","2,,a,12,","","","","","","","62.4",",a,,a","","","","","",""
"ASN00023738","1914-06","-35.39","138.4652","216.0","MYPONGA, AS","","","1","2,a","0","2,a","0","2,a","","","","","","","","","","","","","19140612",",2,a","","","","","2.0","2,,a,12,","","","","","","","9.1",",a,,a","","","","","",""
"ASN00023738","1914-07","-35.39","138.4652","216.0","MYPONGA, AS","","","12","2,a","8","2,a","0","2,a","","","","","","","","","","","","","19140728",",2,a","","","","","8.9","2,,a,28,","","","","","","","49.7",",a,,a","","","","","",""
"ASN00023738","1914-08","-35.39","138.4652","216.0","MYPONGA, AS","","","4","2,a","0","2,a","0","2,a","","","","","","","","","","","","","19140822",",2,a","","","","","1.8","2,,a,22,","","","","","","","11.0",",a,,a","","","","","",""
"ASN00023738","1914-09","-35.39","138.4652","216.0","MYPONGA, AS","","","9",",a","3",",a","0",",a","","","","","","","","","","","","","19140902",",,a","","","","","12.7",",,a,02,","","","","","","","24.6",",,,a","","","","","",""
"ASN00023738","1914-10","-35.39","138.4652","216.0","MYPONGA, AS","","","2",",a","2",",a","0",",a","","","","","","","","","","","","","19141030",",,a","","","","","3.6",",,a,30,","","","","","","","6.1",",,,a","","","","","",""
