"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00039069","1896-03","-23.6286","150.3867","248.0","WALTERHALL, AS","2",",a","2",",a","1",",a","","","","","","","","","","","","","18960327",",,a","","","","","34.0",",,a,27,","","","37.8",",,,a","","","","","",""
"ASN00039069","1896-04","-23.6286","150.3867","248.0","WALTERHALL, AS","3",",a","2",",a","0",",a","","","","","","","","","","","","","18960423",",,a","","","","","3.8",",,a,23,","","","8.4",",,,a","","","","","",""
"ASN00039069","1896-05","-23.6286","150.3867","248.0","WALTERHALL, AS","3",",a","1",",a","0",",a","","","","","","","","","","","","","18960520",",,a","","","","","3.6",",,a,20,","","","5.2",",,,a","","","","","",""
"ASN00039069","1896-06","-23.6286","150.3867","248.0","WALTERHALL, AS","6",",a","4",",a","0",",a","","","","","","","","","","","","","18960618",",,a","","","","","24.4",",,a,18,","","","41.2",",,,a","","","","","",""
"ASN00039069","1896-07","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","4",",a","0",",a","","","","","","","","","","","","","18960707",",,a","","","","","6.9",",,a,07,","","","21.6",",,,a","","","","","",""
"ASN00039069","1896-08","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","2",",a","0",",a","","","","","","","","","","","","","18960825",",,a","","","","","24.4",",,a,25,","","","33.1",",,,a","","","","","",""
"ASN00039069","1896-09","-23.6286","150.3867","248.0","WALTERHALL, AS","1",",a","1",",a","0",",a","","","","","","","","","","","","","18960907",",,a","","","","","16.0",",,a,07,","","","16.0",",,,a","","","","","",""
"ASN00039069","1896-10","-23.6286","150.3867","248.0","WALTERHALL, AS","1",",a","0",",a","0",",a","","","","","","","","","","","","","18961031",",,a","","","","","2.0",",,a,31,","","","2.0",",,,a","","","","","",""
"ASN00039069","1896-11","-23.6286","150.3867","248.0","WALTERHALL, AS","7",",a","3",",a","1",",a","","","","","","","","","","","","","18961101",",,a","","","","","29.2",",,a,01,","","","54.1",",,,a","","","","","",""
"ASN00039069","1896-12","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","4",",a","1",",a","","","","","","","","","","","","","18961221",",,a","","","","","28.2",",,a,21,","","","58.5",",,,a","","","","","",""
"ASN00039069","1897-01","-23.6286","150.3867","248.0","WALTERHALL, AS","10",",a","8",",a","2",",a","","","","","","","","","","","","","18970109",",,a","","","","","65.5",",,a,09,","","","148.8",",,,a","","","","","",""
"ASN00039069","1897-02","-23.6286","150.3867","248.0","WALTERHALL, AS","7",",a","6",",a","1",",a","","","","","","","","","","","","","18970224",",,a","","","","","41.4",",,a,24,","","","85.4",",,,a","","","","","",""
"ASN00039069","1897-03","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","2",",a","1",",a","","","","","","","","","","","","","18970308",",,a","","","","","26.4",",,a,08,","","","46.5",",,,a","","","","","",""
"ASN00039069","1897-04","-23.6286","150.3867","248.0","WALTERHALL, AS","0",",a","0",",a","0",",a","","","","","","","","","","","","","18970430","+,,a","","","","","0.0",",,a,30,+","","","0.0",",,,a","","","","","",""
"ASN00039069","1897-05","-23.6286","150.3867","248.0","WALTERHALL, AS","3",",a","2",",a","0",",a","","","","","","","","","","","","","18970511",",,a","","","","","3.8",",,a,11,","","","8.9",",,,a","","","","","",""
"ASN00039069","1897-06","-23.6286","150.3867","248.0","WALTERHALL, AS","7",",a","4",",a","0",",a","","","","","","","","","","","","","18970618",",,a","","","","","17.3",",,a,18,","","","45.5",",,,a","","","","","",""
"ASN00039069","1897-07","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","3",",a","1",",a","","","","","","","","","","","","","18970724",",,a","","","","","40.9",",,a,24,","","","52.1",",,,a","","","","","",""
"ASN00039069","1897-08","-23.6286","150.3867","248.0","WALTERHALL, AS","3",",a","3",",a","0",",a","","","","","","","","","","","","","18970805",",,a","","","","","14.7",",,a,05,","","","27.7",",,,a","","","","","",""
"ASN00039069","1897-09","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","4",",a","2",",a","","","","","","","","","","","","","18970924",",,a","","","","","35.6",",,a,24,","","","91.7",",,,a","","","","","",""
"ASN00039069","1897-10","-23.6286","150.3867","248.0","WALTERHALL, AS","6",",a","5",",a","3",",a","","","","","","","","","","","","","18971008",",,a","","","","","35.8",",,a,08,","","","112.2",",,,a","","","","","",""
"ASN00039069","1897-11","-23.6286","150.3867","248.0","WALTERHALL, AS","6",",a","2",",a","0",",a","","","","","","","","","","","","","18971111",",,a","","","","","8.4",",,a,11,","","","19.6",",,,a","","","","","",""
"ASN00039069","1897-12","-23.6286","150.3867","248.0","WALTERHALL, AS","11",",a","7",",a","2",",a","","","","","","","","","","","","","18971211",",,a","","","","","31.0",",,a,11,","","","115.2",",,,a","","","","","",""
"ASN00039069","1898-01","-23.6286","150.3867","248.0","WALTERHALL, AS","17",",a","10",",a","0",",a","","","","","","","","","","","","","18980107",",,a","","","","","23.6",",,a,07,","","","169.4",",,,a","","","","","",""
"ASN00039069","1898-02","-23.6286","150.3867","248.0","WALTERHALL, AS","19",",a","15",",a","4",",a","","","","","","","","","","","","","18980203",",,a","","","","","150.4",",,a,03,","","","352.0",",,,a","","","","","",""
"ASN00039069","1898-03","-23.6286","150.3867","248.0","WALTERHALL, AS","10",",a","7",",a","2",",a","","","","","","","","","","","","","18980305",",,a","","","","","39.6",",,a,05,","","","141.0",",,,a","","","","","",""
"ASN00039069","1898-04","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","2",",a","0",",a","","","","","","","","","","","","","18980404",",,a","","","","","9.4",",,a,04,","","","14.0",",,,a","","","","","",""
"ASN00039069","1898-05","-23.6286","150.3867","248.0","WALTERHALL, AS","3",",a","2",",a","0",",a","","","","","","","","","","","","","18980509",",,a","","","","","14.2",",,a,09,","","","20.3",",,,a","","","","","",""
"ASN00039069","1898-06","-23.6286","150.3867","248.0","WALTERHALL, AS","6",",a","4",",a","1",",a","","","","","","","","","","","","","18980628",",,a","","","","","26.4",",,a,28,","","","49.9",",,,a","","","","","",""
"ASN00039069","1898-07","-23.6286","150.3867","248.0","WALTERHALL, AS","1",",a","0",",a","0",",a","","","","","","","","","","","","","18980715",",,a","","","","","2.0",",,a,15,","","","2.0",",,,a","","","","","",""
"ASN00039069","1898-08","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","3",",a","0",",a","","","","","","","","","","","","","18980802",",,a","","","","","9.7",",,a,02,","","","23.7",",,,a","","","","","",""
"ASN00039069","1898-09","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","4",",a","1",",a","","","","","","","","","","","","","18980930",",,a","","","","","42.4",",,a,30,","","","64.5",",,,a","","","","","",""
"ASN00039069","1898-10","-23.6286","150.3867","248.0","WALTERHALL, AS","3",",a","2",",a","0",",a","","","","","","","","","","","","","18981001",",,a","","","","","22.9",",,a,01,","","","28.2",",,,a","","","","","",""
"ASN00039069","1898-11","-23.6286","150.3867","248.0","WALTERHALL, AS","5",",a","3",",a","0",",a","","","","","","","","","","","","","18981127",",,a","","","","","8.6",",,a,27,","","","19.8",",,,a","","","","","",""
"ASN00039069","1898-12","-23.6286","150.3867","248.0","WALTERHALL, AS","4",",a","4",",a","0",",a","","","","","","","","","","","","","18981220",",,a","","","","","10.4",",,a,20,","","","24.6",",,,a","","","","","",""
"ASN00039069","1899-01","-23.6286","150.3867","248.0","WALTERHALL, AS","20",",a","15",",a","5",",a","","","","","","","","","","","","","18990129",",,a","","","","","130.8",",,a,29,","","","400.4",",,,a","","","","","",""
"ASN00039069","1899-02","-23.6286","150.3867","248.0","WALTERHALL, AS","8",",a","7",",a","1",",a","","","","","","","","","","","","","18990207",",,a","","","","","135.1",",,a,07,","","","182.3",",,,a","","","","","",""
