"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"ASN00059051","1956-01","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","18",",a","15",",a","2",",a","","","","","","","19560128",",,a","","","52.3",",,a,28,","","","188.2",",,,a","",""
"ASN00059051","1956-02","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","21","2,a","16","2,a","7","2,a","","","","","","","19560218",",2,a","","","103.1","2,,a,18,","","","511.4",",a,,a","",""
"ASN00059051","1956-03","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","23","2,a","15","2,a","2","2,a","","","","","","","19560311",",2,a","","","58.4","2,,a,11,","","","198.9",",a,,a","",""
"ASN00059051","1956-04","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","12",",a","8",",a","1",",a","","","","","","","19560430",",,a","","","65.3",",,a,30,","","","171.1",",,,a","",""
"ASN00059051","1956-05","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","9",",a","5",",a","2",",a","","","","","","","19560502",",,a","","","128.8",",,a,02,","","","181.0",",,,a","",""
"ASN00059051","1956-06","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","6",",a","5",",a","2",",a","","","","","","","19560625",",,a","","","96.8",",,a,25,","","","175.0",",,,a","",""
"ASN00059051","1956-07","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","7",",a","4",",a","0",",a","","","","","","","19560721",",,a","","","8.1",",,a,21,","","","20.4",",,,a","",""
"ASN00059051","1956-08","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","4",",a","3",",a","0",",a","","","","","","","19560802",",,a","","","11.4",",,a,02,","","","30.2",",,,a","",""
"ASN00059051","1956-09","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","5","2,a","4","2,a","1","2,a","","","","","","","19560921",",2,a","","","35.3","2,,a,21,","","","81.6",",a,,a","",""
"ASN00059051","1956-10","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","12",",a","6",",a","0",",a","","","","","","","19561031",",,a","","","11.2",",,a,31,","","","45.1",",,,a","",""
"ASN00059051","1956-11","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","3",",a","0",",a","0",",a","","","","","","","19561126",",,a","","","1.8",",,a,26,","","","3.9",",,,a","",""
"ASN00059051","1956-12","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","88.2",",a,,a","",""
"ASN00059051","1957-01","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","65.9",",a,,a","",""
"ASN00059051","1957-02","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","239.7",",a,,a","",""
"ASN00059051","1957-03","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","147.7",",a,,a","",""
"ASN00059051","1957-04","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","59.2",",a,,a","",""
"ASN00059051","1957-05","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","0",",a","0",",a","0",",a","","","","","","","19570531","+,,a","","","0.0",",,a,31,+","","","0.0",",,,a","",""
"ASN00059051","1957-06","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","20.6",",a,,a","",""
"ASN00059051","1957-07","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","154.0",",a,,a","",""
"ASN00059051","1957-08","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","207.9",",a,,a","",""
"ASN00059051","1957-09","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","4",",a","1",",a","0",",a","","","","","","","19570911",",,a","","","2.5",",,a,11,","","","6.1",",,,a","",""
"ASN00059051","1957-10","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","5",",a","4",",a","1",",a","","","","","","","19571031",",,a","","","33.8",",,a,31,","","","59.8",",,,a","",""
"ASN00059051","1957-11","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","5",",a","3",",a","0",",a","","","","","","","19571106",",,a","","","13.5",",,a,06,","","","27.0",",,,a","",""
"ASN00059051","1957-12","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","","","","","","","","","","","","","","","","","","","","","60.5",",a,,a","",""
