"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00073102","1887-04","-34.95","148.6",,"NANANGROVE, AS","7","4,a","4","4,a","0","4,a","18870412",",4,a","13.5","4,,a,12,","34.1","4,,,a"
"ASN00073102","1887-05","-34.95","148.6",,"NANANGROVE, AS","6",",a","2",",a","0",",a","18870529",",,a","3.8",",,a,29,","10.2",",,,a"
"ASN00073102","1887-06","-34.95","148.6",,"NANANGROVE, AS","16",",a","12",",a","1",",a","18870621",",,a","30.7",",,a,21,","154.6",",,,a"
"ASN00073102","1887-07","-34.95","148.6",,"NANANGROVE, AS","13",",a","9",",a","0",",a","18870705",",,a","22.9",",,a,05,","81.5",",,,a"
"ASN00073102","1887-08","-34.95","148.6",,"NANANGROVE, AS","8",",a","7",",a","0",",a","18870801",",,a","21.1",",,a,01,","52.1",",,,a"
"ASN00073102","1887-09","-34.95","148.6",,"NANANGROVE, AS","10",",a","9",",a","0",",a","18870906",",,a","15.2",",,a,06,","61.9",",,,a"
"ASN00073102","1887-10","-34.95","148.6",,"NANANGROVE, AS","6",",a","5",",a","2",",a","18871028",",,a","56.6",",,a,28,","112.0",",,,a"
"ASN00073102","1887-11","-34.95","148.6",,"NANANGROVE, AS","9",",a","7",",a","1",",a","18871108",",,a","29.2",",,a,08,","76.0",",,,a"
"ASN00073102","1887-12","-34.95","148.6",,"NANANGROVE, AS","9",",a","7",",a","0",",a","18871201",",,a","20.3",",,a,01,","86.6",",,,a"
"ASN00073102","1888-01","-34.95","148.6",,"NANANGROVE, AS","2",",a","2",",a","1",",a","18880104",",,a","94.0",",,a,04,","102.9",",,,a"
"ASN00073102","1888-02","-34.95","148.6",,"NANANGROVE, AS","4",",a","4",",a","0",",a","18880214",",,a","21.3",",,a,14,","52.1",",,,a"
"ASN00073102","1888-03","-34.95","148.6",,"NANANGROVE, AS","3",",a","1",",a","0",",a","18880331",",,a","6.6",",,a,31,","8.9",",,,a"
"ASN00073102","1888-04","-34.95","148.6",,"NANANGROVE, AS","3",",a","1",",a","0",",a","18880408",",,a","10.2",",,a,08,","13.8",",,,a"
"ASN00073102","1888-05","-34.95","148.6",,"NANANGROVE, AS","6",",a","5",",a","1",",a","18880513",",,a","34.3",",,a,13,","56.3",",,,a"
"ASN00073102","1888-06","-34.95","148.6",,"NANANGROVE, AS","8",",a","7",",a","0",",a","18880610",",,a","19.8",",,a,10,","62.2",",,,a"
"ASN00073102","1888-07","-34.95","148.6",,"NANANGROVE, AS","9",",a","8",",a","0",",a","18880714",",,a","22.1",",,a,14,","73.8",",,,a"
"ASN00073102","1888-08","-34.95","148.6",,"NANANGROVE, AS","2",",a","2",",a","0",",a","18880802",",,a","5.1",",,a,02,","8.7",",,,a"
"ASN00073102","1888-09","-34.95","148.6",,"NANANGROVE, AS","7",",a","6",",a","1",",a","18880901",",,a","39.4",",,a,01,","85.7",",,,a"
"ASN00073102","1888-10","-34.95","148.6",,"NANANGROVE, AS","4",",a","4",",a","0",",a","18881008",",,a","12.7",",,a,08,","26.6",",,,a"
"ASN00073102","1888-11","-34.95","148.6",,"NANANGROVE, AS","4",",a","1",",a","0",",a","18881103",",,a","2.5",",,a,03,","7.9",",,,a"
"ASN00073102","1888-12","-34.95","148.6",,"NANANGROVE, AS","10",",a","8",",a","1",",a","18881217",",,a","43.2",",,a,17,","115.6",",,,a"
"ASN00073102","1889-01","-34.95","148.6",,"NANANGROVE, AS","4",",a","4",",a","0",",a","18890103",",,a","12.7",",,a,03,","28.0",",,,a"
"ASN00073102","1889-02","-34.95","148.6",,"NANANGROVE, AS","6",",a","3",",a","2",",a","18890205",",,a","28.7",",,a,05,","69.4",",,,a"
