"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00077007","1898-11","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","5",",a","2",",a","0",",a","","","","","","","","","","","","","18981121",",,a","","","","","5.8",",,a,21,","","","","","","","9.7",",,,a","","","","","",""
"ASN00077007","1898-12","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","2",",a","1",",a","0",",a","","","","","","","","","","","","","18981222",",,a","","","","","16.5",",,a,22,","","","","","","","17.0",",,,a","","","","","",""
"ASN00077007","1899-06","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","11",",a","9",",a","0",",a","","","","","","","","","","","","","18990621",",,a","","","","","23.4",",,a,21,","","","","","","","94.2",",,,a","","","","","",""
"ASN00077007","1899-07","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","4",",a","2",",a","0",",a","","","","","","","","","","","","","18990709",",,a","","","","","4.3",",,a,09,","","","","","","","8.6",",,,a","","","","","",""
"ASN00077007","1899-08","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","6",",a","2",",a","0",",a","","","","","","","","","","","","","18990803",",,a","","","","","6.1",",,a,03,","","","","","","","13.8",",,,a","","","","","",""
"ASN00077007","1899-09","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","4",",a","1",",a","0",",a","","","","","","","","","","","","","18990916",",,a","","","","","3.3",",,a,16,","","","","","","","7.1",",,,a","","","","","",""
"ASN00077007","1899-10","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","6",",a","3",",a","0",",a","","","","","","","","","","","","","18991014",",,a","","","","","5.8",",,a,14,","","","","","","","17.4",",,,a","","","","","",""
"ASN00077007","1899-11","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","5",",a","4",",a","0",",a","","","","","","","","","","","","","18991105",",,a","","","","","5.8",",,a,05,","","","","","","","17.5",",,,a","","","","","",""
"ASN00077007","1899-12","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","18991231","+,,a","","","","","0.0",",,a,31,+","","","","","","","0.0",",,,a","","","","","",""
"ASN00077007","1900-01","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","4",",a","2",",a","0",",a","","","","","","","","","","","","","19000129",",,a","","","","","4.8",",,a,29,","","","","","","","10.5",",,,a","","","","","",""
"ASN00077007","1900-02","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","2",",a","1",",a","0",",a","","","","","","","","","","","","","19000228",",,a","","","","","2.5",",,a,28,","","","","","","","2.8",",,,a","","","","","",""
"ASN00077007","1900-03","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","6",",a","5",",a","0",",a","","","","","","","","","","","","","19000319",",,a","","","","","17.0",",,a,19,","","","","","","","46.1",",,,a","","","","","",""
"ASN00077007","1900-04","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","12",",a","8",",a","0",",a","","","","","","","","","","","","","19000422",",,a","","","","","10.2",",,a,22,","","","","","","","43.1",",,,a","","","","","",""
"ASN00077007","1900-05","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","6",",a","2",",a","0",",a","","","","","","","","","","","","","19000516",",,a","","","","","18.5",",,a,16,","","","","","","","37.1",",,,a","","","","","",""
"ASN00077007","1900-06","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","13",",a","5",",a","0",",a","","","","","","","","","","","","","19000613",",,a","","","","","8.9",",,a,13,","","","","","","","37.5",",,,a","","","","","",""
"ASN00077007","1900-07","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","5",",a","3",",a","0",",a","","","","","","","","","","","","","19000704",",,a","","","","","6.6",",,a,04,","","","","","","","13.9",",,,a","","","","","",""
"ASN00077007","1900-08","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","16",",a","7",",a","0",",a","","","","","","","","","","","","","19000830",",,a","","","","","9.9",",,a,30,","","","","","","","53.9",",,,a","","","","","",""
"ASN00077007","1900-09","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","8",",a","5",",a","0",",a","","","","","","","","","","","","","19000906",",,a","","","","","8.9",",,a,06,","","","","","","","33.6",",,,a","","","","","",""
"ASN00077007","1900-10","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","4",",a","1",",a","0",",a","","","","","","","","","","","","","19001004",",,a","","","","","2.8",",,a,04,","","","","","","","6.2",",,,a","","","","","",""
"ASN00077007","1900-11","-35.9825","142.9156","102.0","BIRCHIP POST OFFICE, AS","","","","","3",",a","1",",a","0",",a","","","","","","","","","","","","","19001116",",,a","","","","","9.4",",,a,16,","","","","","","","12.7",",,,a","","","","","",""
