"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00087038","1926-02","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19260228","+,,a","","","","","0.0",",,a,28,+","","","","","0.0",",,,a","","","","","",""
"ASN00087038","1933-02","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","2",",a","0",",a","0",",a","","","","","","","","","","","","","19330221",",,a","","","","","2.3",",,a,21,","","","","","3.1",",,,a","","","","","",""
"ASN00087038","1933-03","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","3",",a","3",",a","0",",a","","","","","","","","","","","","","19330306",",,a","","","","","7.1",",,a,06,","","","","","16.3",",,,a","","","","","",""
"ASN00087038","1933-04","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","5",",a","1",",a","0",",a","","","","","","","","","","","","","19330411",",,a","","","","","3.0",",,a,11,","","","","","8.6",",,,a","","","","","",""
"ASN00087038","1933-05","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","8",",a","3",",a","0",",a","","","","","","","","","","","","","19330515",",,a","","","","","15.0",",,a,15,","","","","","28.2",",,,a","","","","","",""
"ASN00087038","1933-06","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","12",",a","2",",a","0",",a","","","","","","","","","","","","","19330609",",,a","","","","","5.8",",,a,09,","","","","","18.0",",,,a","","","","","",""
"ASN00087038","1933-07","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","10",",a","3",",a","1",",a","","","","","","","","","","","","","19330711",",,a","","","","","33.0",",,a,11,","","","","","67.7",",,,a","","","","","",""
"ASN00087038","1933-08","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","14",",a","5",",a","0",",a","","","","","","","","","","","","","19330802",",,a","","","","","7.1",",,a,02,","","","","","34.2",",,,a","","","","","",""
"ASN00087038","1933-09","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","10",",a","4",",a","0",",a","","","","","","","","","","","","","19330919",",,a","","","","","7.1",",,a,19,","","","","","24.7",",,,a","","","","","",""
"ASN00087038","1933-10","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","11",",a","2",",a","0",",a","","","","","","","","","","","","","19331005",",,a","","","","","9.7",",,a,05,","","","","","26.8",",,,a","","","","","",""
"ASN00087038","1933-11","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","10",",a","4",",a","0",",a","","","","","","","","","","","","","19331109",",,a","","","","","15.5",",,a,09,","","","","","35.0",",,,a","","","","","",""
"ASN00087038","1933-12","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","12",",a","10",",a","1",",a","","","","","","","","","","","","","19331215",",,a","","","","","31.2",",,a,15,","","","","","102.1",",,,a","","","","","",""
"ASN00087038","1934-01","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","7",",a","6",",a","0",",a","","","","","","","","","","","","","19340109",",,a","","","","","16.3",",,a,09,","","","","","55.4",",,,a","","","","","",""
"ASN00087038","1934-02","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","7",",a","3",",a","0",",a","","","","","","","","","","","","","19340212",",,a","","","","","8.4",",,a,12,","","","","","21.0",",,,a","","","","","",""
"ASN00087038","1934-05","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19340531","+,,a","","","","","0.0",",,a,31,+","","","","","0.0",",,,a","","","","","",""
"ASN00087038","1934-06","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","9",",a","3",",a","0",",a","","","","","","","","","","","","","19340609",",,a","","","","","7.6",",,a,09,","","","","","19.1",",,,a","","","","","",""
"ASN00087038","1934-07","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","13",",a","4",",a","0",",a","","","","","","","","","","","","","19340705",",,a","","","","","4.3",",,a,05,","","","","","21.9",",,,a","","","","","",""
"ASN00087038","1934-08","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","12",",a","4",",a","0",",a","","","","","","","","","","","","","19340815",",,a","","","","","15.7",",,a,15,","","","","","38.1",",,,a","","","","","",""
"ASN00087038","1934-09","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","8",",a","5",",a","0",",a","","","","","","","","","","","","","19340930",",,a","","","","","9.9",",,a,30,","","","","","28.6",",,,a","","","","","",""
"ASN00087038","1934-10","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","17",",a","11",",a","1",",a","","","","","","","","","","","","","19341025",",,a","","","","","29.2",",,a,25,","","","","","124.3",",,,a","","","","","",""
"ASN00087038","1934-11","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","15",",a","7",",a","1",",a","","","","","","","","","","","","","19341130",",,a","","","","","29.5",",,a,30,","","","","","82.0",",,,a","","","","","",""
"ASN00087038","1934-12","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","10",",a","4",",a","1",",a","","","","","","","","","","","","","19341201",",,a","","","","","39.9",",,a,01,","","","","","65.7",",,,a","","","","","",""
"ASN00087038","1935-01","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","7",",a","4",",a","0",",a","","","","","","","","","","","","","19350105",",,a","","","","","22.9",",,a,05,","","","","","61.1",",,,a","","","","","",""
"ASN00087038","1935-02","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","10",",a","4",",a","0",",a","","","","","","","","","","","","","19350208",",,a","","","","","11.9",",,a,08,","","","","","27.5",",,,a","","","","","",""
"ASN00087038","1935-03","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","10",",a","3",",a","0",",a","","","","","","","","","","","","","19350321",",,a","","","","","9.7",",,a,21,","","","","","25.7",",,,a","","","","","",""
"ASN00087038","1935-04","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","16",",a","12",",a","0",",a","","","","","","","","","","","","","19350429",",,a","","","","","23.6",",,a,29,","","","","","121.5",",,,a","","","","","",""
"ASN00087038","1935-05","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","12",",a","3",",a","0",",a","","","","","","","","","","","","","19350501",",,a","","","","","10.2",",,a,01,","","","","","24.1",",,,a","","","","","",""
"ASN00087038","1935-06","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","13",",a","7",",a","0",",a","","","","","","","","","","","","","19350625",",,a","","","","","7.1",",,a,25,","","","","","35.5",",,,a","","","","","",""
"ASN00087038","1935-07","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","9",",a","4",",a","0",",a","","","","","","","","","","","","","19350730",",,a","","","","","7.1",",,a,30,","","","","","25.7",",,,a","","","","","",""
"ASN00087038","1935-08","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","11",",a","3",",a","0",",a","","","","","","","","","","","","","19350828",",,a","","","","","6.4",",,a,28,","","","","","22.8",",,,a","","","","","",""
"ASN00087038","1935-09","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","13",",a","8",",a","0",",a","","","","","","","","","","","","","19350921",",,a","","","","","11.2",",,a,21,","","","","","48.6",",,,a","","","","","",""
"ASN00087038","1935-10","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","14",",a","6",",a","0",",a","","","","","","","","","","","","","19351010",",,a","","","","","20.6",",,a,10,","","","","","48.7",",,,a","","","","","",""
"ASN00087038","1935-11","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","10",",a","5",",a","0",",a","","","","","","","","","","","","","19351116",",,a","","","","","5.8",",,a,16,","","","","","26.9",",,,a","","","","","",""
"ASN00087038","1935-12","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","7",",a","3",",a","0",",a","","","","","","","","","","","","","19351225",",,a","","","","","9.4",",,a,25,","","","","","23.7",",,,a","","","","","",""
"ASN00087038","1936-01","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","5","2,a","1","2,a","0","2,a","","","","","","","","","","","","","19360104",",2,a","","","","","6.1","2,,a,04,","","","","","16.6",",a,,a","","","","","",""
"ASN00087038","1936-02","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","6",",a","2",",a","0",",a","","","","","","","","","","","","","19360209",",,a","","","","","3.8",",,a,09,","","","","","10.2",",,,a","","","","","",""
"ASN00087038","1936-03","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","3",",a","1",",a","0",",a","","","","","","","","","","","","","19360319",",,a","","","","","3.8",",,a,19,","","","","","5.3",",,,a","","","","","",""
"ASN00087038","1936-04","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","12",",a","6",",a","1",",a","","","","","","","","","","","","","19360408",",,a","","","","","32.8",",,a,08,","","","","","77.5",",,,a","","","","","",""
"ASN00087038","1936-05","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","7",",a","1",",a","0",",a","","","","","","","","","","","","","19360513",",,a","","","","","8.9",",,a,13,","","","","","17.5",",,,a","","","","","",""
"ASN00087038","1936-06","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","15",",a","6",",a","0",",a","","","","","","","","","","","","","19360625",",,a","","","","","14.5",",,a,25,","","","","","49.8",",,,a","","","","","",""
"ASN00087038","1936-07","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","16",",a","8",",a","1",",a","","","","","","","","","","","","","19360704",",,a","","","","","36.1",",,a,04,","","","","","82.1",",,,a","","","","","",""
"ASN00087038","1936-08","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","15",",a","3",",a","0",",a","","","","","","","","","","","","","19360827",",,a","","","","","7.4",",,a,27,","","","","","28.3",",,,a","","","","","",""
"ASN00087038","1936-09","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","11",",a","3",",a","0",",a","","","","","","","","","","","","","19360908",",,a","","","","","5.8",",,a,08,","","","","","19.4",",,,a","","","","","",""
"ASN00087038","1936-10","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","14",",a","8",",a","0",",a","","","","","","","","","","","","","19361025",",,a","","","","","6.9",",,a,25,","","","","","43.8",",,,a","","","","","",""
"ASN00087038","1936-11","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","8",",a","4",",a","1",",a","","","","","","","","","","","","","19361116",",,a","","","","","27.2",",,a,16,","","","","","42.2",",,,a","","","","","",""
"ASN00087038","1936-12","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","17",",a","10",",a","0",",a","","","","","","","","","","","","","19361217",",,a","","","","","17.8",",,a,17,","","","","","91.2",",,,a","","","","","",""
