"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AU000005010","1876-01","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","8",",E","6",",E","0",",E","","","1",",E","30",",E","22",",E","0",",E","0",",E","18760107",",,E","","","18760103",",,E","18760123",",,E","-17.8",",E,07,","","","9.8",",,E,03,","4.0",",E,23,","","","740.0",",E","40.3",",,,E","-5.54",",E","-2.96",",,,E","-8.11",",,,E"
"AU000005010","1876-02","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","16",",E","13",",E","1",",E","","","0",",E","18",",E","14",",E","0",",E","0",",E","18760213",",,E","","","18760217",",,E","18760222",",,E","-17.5",",E,13,","","","34.5",",,E,17,","14.0",",E,22,","","","559.8",",E","121.8",",,,E","-0.97",",E","2.13",",,,E","-4.07",",,,E"
"AU000005010","1876-03","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","20",",E","17",",E","2",",E","","","0",",E","11",",E","0",",E","0",",E","0",",E","18760320",",,E","","","18760303",",,E","18760329",",,E","-6.4",",E,20,","","","35.5",",,E,03,","16.7",",E,29,","","","443.5",",E","158.8",",,,E","4.03",",E","7.37",",,,E","0.68",",,,E"
"AU000005010","1876-04","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","8",",E","6",",E","1",",E","","","0",",E","2",",E","0",",E","1",",E","0",",E","18760414",",,E","","","18760417",",,E","18760422",",,E","-1.0",",E,14,","","","54.0",",,E,17,","23.6",",E,22,","","","244.6",",E","87.8",",,,E","10.18",",E","14.50",",,,E","5.86",",,,E"
"AU000005010","1876-05","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","13",",E","9",",E","0",",E","","","0",",E","1",",E","0",",E","1",",E","0",",E","18760520",",,E","","","18760514",",,E","18760531",",,E","-0.5",",E,20,","","","18.0",",,E,14,","22.2",",E,31,","","","289.5",",E","80.3",",,,E","8.99",",E","12.64",",,,E","5.35",",,,E"
"AU000005010","1876-06","48.05","14.1331","383.0","KREMSMUENSTER, AU","12.5","E","12.5",",E","5",",E","5",",E","0",",E","","","0",",E","0",",E","0",",E","16",",E","0",",E","18760603",",,E","","","18760626",",,E","18760608",",,E","6.4",",E,03,","","","8.0",",,E,26,","26.8",",E,08,","","","53.1",",E","24.8",",,,E","16.98",",E","21.00",",,,E","12.96",",,,E"
"AU000005010","1876-07","48.05","14.1331","383.0","KREMSMUENSTER, AU","28.8","E","16.3",",E","12",",E","8",",E","1",",E","","","0",",E","0",",E","0",",E","19",",E","0",",E","18760722",",,E","","","18760702",",,E","18760727",",,E","9.2",",E,22,","","","26.8",",,E,02,","27.0",",E,27,","38.8","E","38.8",",E","86.5",",,,E","17.61",",E","22.03",",,,E","13.18",",,,E"
"AU000005010","1876-08","48.05","14.1331","383.0","KREMSMUENSTER, AU","59.4","E","30.6",",E","9",",E","8",",E","1",",E","","","0",",E","0",",E","0",",E","23",",E","0",",E","18760827",",,E","","","18760825",",,E","18760822","+,,E","8.2",",E,27,","","","42.5",",,E,25,","28.2",",E,22,+","76.2","E","37.4",",E","121.5",",,,E","18.11",",E","22.89",",,,E","13.33",",,,E"
"AU000005010","1876-09","48.05","14.1331","383.0","KREMSMUENSTER, AU","59.4","E","0.0",",E","20",",E","17",",E","0",",E","","","0",",E","0",",E","0",",E","2",",E","0",",E","18760923",",,E","","","18760908",",,E","18760906",",,E","1.6",",E,23,","","","25.0",",,E,08,","23.8",",E,06,","230.5","E","154.3",",E","164.9",",,,E","13.19",",E","16.59",",,,E","9.79",",,,E"
"AU000005010","1876-10","48.05","14.1331","383.0","KREMSMUENSTER, AU","59.4","E","0.0",",E","4",",E","3",",E","0",",E","","","0",",E","0",",E","0",",E","0",",E","0",",E","18761031",",,E","","","18761031",",,E","18761011",",,E","1.3",",E,31,","","","15.9",",,E,31,","20.2",",E,11,","480.3","E","249.8",",E","29.0",",,,E","10.27",",E","13.56",",,,E","6.99",",,,E"
