"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AUM00011231","1952-06","46.65","14.333","452.0","KLAGENFURT CIV MIL, AU","","","","","","","","","","","","","0","4,S","0","4,S","0","5,S","20","5,S","0","5,S","19520605",",4,S","","","","","19520618",",5,S","6.1","4,S,05,","","","","","31.1","5,S,18,","","","","","","","17.80","6,S","24.64","5,,,S","10.96","4,,,S"
"AUM00011231","1952-08","46.65","14.333","452.0","KLAGENFURT CIV MIL, AU","","","","","","","","","","","","","0","4,S","0","4,S","","","","","","","19520827","+,4,S","","","","","","","10.0","4,S,27,+","","","","","","","","","","","","","","","","","12.78","4,,,S"
"AUM00011231","1953-05","46.65","14.333","452.0","KLAGENFURT CIV MIL, AU","","","","","","","","","","","","","0","3,S","5","3,S","","","","","","","19530511",",3,S","","","","","","","-3.9","3,S,11,","","","","","","","","","","","","","","","","","6.73","3,,,S"
"AUM00011231","1953-07","46.65","14.333","452.0","KLAGENFURT CIV MIL, AU","","","","","","","","","","","","","","","","","0","4,S","25","4,S","0","4,S","","","","","","","19530727","+,4,S","","","","","","","30.0","4,S,27,+","","","","","","","","","25.13","4,,,S","",""
"AUM00011231","1953-11","46.65","14.333","452.0","KLAGENFURT CIV MIL, AU","","","","","","","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","","","19531107",",5,S","","","","","","","10.0","5,S,07,","","","","","","","","","4.22","5,,,S","",""
"AUM00011231","1954-04","46.65","14.333","452.0","KLAGENFURT CIV MIL, AU","","","","","","","","","","","","","0","5,S","8","5,S","","","","","","","19540416","+,5,S","","","","","","","-2.8","5,S,16,+","","","","","","","","","","","","","","","","","2.45","5,,,S"
"AUM00011231","1954-05","46.65","14.333","452.0","KLAGENFURT CIV MIL, AU","","","0.0","5,S","","","","","","","","","0","5,S","0","5,S","0","5,S","7","5,S","0","5,S","19540524","+,5,S","","","","","19540527",",5,S","2.8","5,S,24,+","","","","","25.0","5,S,27,","","","152.5","5,S","","","12.47","5,S","17.78","5,,,S","7.16","5,,,S"
"AUM00011231","1954-06","46.65","14.333","452.0","KLAGENFURT CIV MIL, AU","","","","","","","","","","","","","","","","","0","4,S","19","4,S","0","4,S","","","","","","","19540622",",4,S","","","","","","","28.9","4,S,22,","","","","","","","","","23.12","4,,,S","",""
"AUM00011231","1956-03","46.65","14.333","452.0","KLAGENFURT CIV MIL, AU","","","0.0","5,S","","","","","","","","","0","5,S","24","5,S","2","5,S","0","5,S","0","5,S","19560309",",5,S","","","","","19560331",",5,S","-11.1","5,S,09,","","","","","17.2","5,S,31,","","","422.8","5,S","","","2.07","5,S","7.60","5,,,S","-3.46","5,,,S"
"AUM00011231","1956-04","46.65","14.333","452.0","KLAGENFURT CIV MIL, AU","","","0.0","5,S","","","","","","","","","0","2,S","11","2,S","0","4,S","0","4,S","0","4,S","19560409",",2,S","","","","","19560412",",4,S","-7.2","2,S,09,","","","","","20.0","4,S,12,","","","283.9","4,S","","","6.96","5,S","12.56","4,,,S","1.37","2,,,S"
