"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BA000041150","1945-09","26.267","50.65","2.0","BAHRAIN INT. AIRPORT, BA","","","","","","","","","0","5,I","0","5,I","","","","","","","19450924",",5,I","","","","","23.3","5,I,24,","","","","","","","","","","","","","27.32","5,,,I"
"BA000041150","1945-10","26.267","50.65","2.0","BAHRAIN INT. AIRPORT, BA","","","","","","","","","0","3,I","0","3,I","","","","","","","19451020",",3,I","","","","","21.7","3,I,20,","","","","","","","","","","","","","23.58","3,,,I"
"BA000041150","1983-02","26.267","50.65","2.0","BAHRAIN INT. AIRPORT, BA","","","","","","","","","0","5,I","0","5,I","","","","","","","19830203",",5,I","","","","","8.4","5,I,03,","","","","","","","","","","","","","13.08","5,,,I"
"BA000041150","1983-04","26.267","50.65","2.0","BAHRAIN INT. AIRPORT, BA","","","","","","","","","0","5,I","0","5,I","","","","","","","19830417",",5,I","","","","","15.8","5,I,17,","","","","","","","","","","","","","20.39","5,,,I"
"BA000041150","1983-05","26.267","50.65","2.0","BAHRAIN INT. AIRPORT, BA","","","","","","","","","0","4,I","0","4,I","","","","","","","19830504","+,4,I","","","","","22.4","4,I,04,+","","","","","","","","","","","","","26.31","4,,,I"
"BA000041150","1983-08","26.267","50.65","2.0","BAHRAIN INT. AIRPORT, BA","","","","","","","","","0","5,I","0","5,I","","","","","","","19830830",",5,I","","","","","26.5","5,I,30,","","","","","","","","","","","","","30.65","5,,,I"
"BA000041150","1984-01","26.267","50.65","2.0","BAHRAIN INT. AIRPORT, BA","","","","","","","","","0","3,I","0","3,I","0","5,I","8","5,I","0","5,I","19840119",",3,I","","","19840116",",5,I","10.4","3,I,19,","","","24.5","5,I,16,","","","","","16.74","7,I","20.15","5,,,I","13.34","3,,,I"
"BA000041150","1984-06","26.267","50.65","2.0","BAHRAIN INT. AIRPORT, BA","","","","","","","","","0","2,I","0","2,I","","","","","","","19840604",",2,I","","","","","24.0","2,I,04,","","","","","","","","","","","","","27.79","2,,,I"
"BA000041150","1984-07","26.267","50.65","2.0","BAHRAIN INT. AIRPORT, BA","","","","","","","","","0","5,I","0","5,I","","","","","","","19840703",",5,I","","","","","27.0","5,I,03,","","","","","","","","","","","","","29.82","5,,,I"
"BA000041150","1984-09","26.267","50.65","2.0","BAHRAIN INT. AIRPORT, BA","","","","","","","","","0","5,I","0","5,I","","","","","","","19840915",",5,I","","","","","25.4","5,I,15,","","","","","","","","","","","","","27.51","5,,,I"
