"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"BC000068234","1982-07","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","29",",Q","0",",Q","19820729",",,Q","31.1",",Q,29,","25.84",",,,Q"
"BC000068234","1982-08","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","2",",Q","19820831",",,Q","32.8",",Q,31,","29.23",",,,Q"
"BC000068234","1982-09","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","16",",Q","19820921",",,Q","36.0",",Q,21,","32.13",",,,Q"
"BC000068234","1982-10","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","18",",Q","19821009","+,,Q","36.3",",Q,09,+","31.83",",,,Q"
"BC000068234","1982-11","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","17",",Q","19821110","+,,Q","36.0",",Q,10,+","32.56",",,,Q"
"BC000068234","1982-12","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","23",",Q","19821219",",,Q","36.5",",Q,19,","33.45",",,,Q"
"BC000068234","1983-01","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","13",",Q","19830111",",,Q","36.5",",Q,11,","31.35",",,,Q"
"BC000068234","1983-02","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","28",",Q","13",",Q","19830227",",,Q","36.8",",Q,27,","32.12",",,,Q"
"BC000068234","1983-03","-24.6","24.667","1189.0","JWANENG, BC","0","2,Q","29","2,Q","16","2,Q","19830306",",2,Q","35.2","2,Q,06,","31.77","2,,,Q"
"BC000068234","1983-05","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","0",",Q","19830518",",,Q","32.1",",Q,18,","29.87",",,,Q"
"BC000068234","1983-06","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","0",",Q","19830618",",,Q","30.2",",Q,18,","28.21",",,,Q"
"BC000068234","1983-07","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","0",",Q","19830717",",,Q","30.5",",Q,17,","27.31",",,,Q"
"BC000068234","1983-08","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","0",",Q","19830830","+,,Q","32.0",",Q,30,+","27.71",",,,Q"
