"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BC012192590","1921-10","-17.817","25.15","1002.0","KASANE, BC","","","3",",I","1",",I","0",",I","","","","","","","","","","","","","19211030",",,I","","","","","2.8",",,I,30,","","","","","6.3",",,,I","","","","","",""
"BC012192590","1921-11","-17.817","25.15","1002.0","KASANE, BC","","","10",",I","9",",I","0",",I","","","","","","","","","","","","","19211101",",,I","","","","","19.1",",,I,01,","","","","","95.3",",,,I","","","","","",""
"BC012192590","1921-12","-17.817","25.15","1002.0","KASANE, BC","","","12",",I","10",",I","2",",I","","","","","","","","","","","","","19211225",",,I","","","","","34.3",",,I,25,","","","","","133.3",",,,I","","","","","",""
"BC012192590","1922-01","-17.817","25.15","1002.0","KASANE, BC","","","8",",Q","5",",Q","0",",Q","","","","","","","","","","","","","19220118",",,Q","","","","","21.8",",,Q,18,","","","","","56.4",",,,Q","","","","","",""
"BC012192590","1922-02","-17.817","25.15","1002.0","KASANE, BC","","","10",",Q","9",",Q","4",",Q","","","","","","","","","","","","","19220204",",,Q","","","","","50.6",",,Q,04,","","","","","194.7",",,,Q","","","","","",""
"BC012192590","1922-03","-17.817","25.15","1002.0","KASANE, BC","","","3",",Q","1",",Q","0",",Q","","","","","","","","","","","","","19220306",",,Q","","","","","20.8",",,Q,06,","","","","","23.6",",,,Q","","","","","",""
"BC012192590","1922-04","-17.817","25.15","1002.0","KASANE, BC","","","0",",Q","0",",Q","0",",Q","","","","","","","","","","","","","19220430","+,,Q","","","","","0.0",",,Q,30,+","","","","","0.0",",,,Q","","","","","",""
"BC012192590","1922-05","-17.817","25.15","1002.0","KASANE, BC","","","1",",Q","1",",Q","0",",Q","","","","","","","","","","","","","19220512",",,Q","","","","","2.8",",,Q,12,","","","","","2.8",",,,Q","","","","","",""
"BC012192590","1922-06","-17.817","25.15","1002.0","KASANE, BC","","","0",",Q","0",",Q","0",",Q","","","","","","","","","","","","","19220630","+,,Q","","","","","0.0",",,Q,30,+","","","","","0.0",",,,Q","","","","","",""
"BC012192590","1922-07","-17.817","25.15","1002.0","KASANE, BC","","","0",",Q","0",",Q","0",",Q","","","","","","","","","","","","","19220731","+,,Q","","","","","0.0",",,Q,31,+","","","","","0.0",",,,Q","","","","","",""
"BC012192590","1922-08","-17.817","25.15","1002.0","KASANE, BC","","","0",",Q","0",",Q","0",",Q","","","","","","","","","","","","","19220831","+,,Q","","","","","0.0",",,Q,31,+","","","","","0.0",",,,Q","","","","","",""
"BC012192590","1922-09","-17.817","25.15","1002.0","KASANE, BC","","","0",",Q","0",",Q","0",",Q","","","","","","","","","","","","","19220930","+,,Q","","","","","0.0",",,Q,30,+","","","","","0.0",",,,Q","","","","","",""
"BC012192590","1922-10","-17.817","25.15","1002.0","KASANE, BC","","","4",",Q","4",",Q","0",",Q","","","","","","","","","","","","","19221011",",,Q","","","","","16.8",",,Q,11,","","","","","35.3",",,,Q","","","","","",""
"BC012192590","1922-11","-17.817","25.15","1002.0","KASANE, BC","","","7",",Q","7",",Q","0",",Q","","","","","","","","","","","","","19221125",",,Q","","","","","14.2",",,Q,25,","","","","","43.8",",,,Q","","","","","",""
"BC012192590","1922-12","-17.817","25.15","1002.0","KASANE, BC","","","5",",Q","4",",Q","1",",Q","","","","","","","","","","","","","19221227",",,Q","","","","","33.5",",,Q,27,","","","","","60.0",",,,Q","","","","","",""
"BC012192590","1923-01","-17.817","25.15","1002.0","KASANE, BC","","","17",",Q","13",",Q","4",",Q","","","","","","","","","","","","","19230125",",,Q","","","","","44.5",",,Q,25,","","","","","220.5",",,,Q","","","","","",""
"BC012192590","1923-02","-17.817","25.15","1002.0","KASANE, BC","","","13",",Q","11",",Q","3",",Q","","","","","","","","","","","","","19230209",",,Q","","","","","65.8",",,Q,09,","","","","","226.8",",,,Q","","","","","",""
"BC012192590","1923-03","-17.817","25.15","1002.0","KASANE, BC","","","15",",Q","11",",Q","2",",Q","","","","","","","","","","","","","19230301",",,Q","","","","","45.2",",,Q,01,","","","","","157.9",",,,Q","","","","","",""
"BC012192590","1923-04","-17.817","25.15","1002.0","KASANE, BC","","","2",",Q","1",",Q","0",",Q","","","","","","","","","","","","","19230413",",,Q","","","","","2.8",",,Q,13,","","","","","4.1",",,,Q","","","","","",""
"BC012192590","1923-05","-17.817","25.15","1002.0","KASANE, BC","","","0",",Q","0",",Q","0",",Q","","","","","","","","","","","","","19230531","+,,Q","","","","","0.0",",,Q,31,+","","","","","0.0",",,,Q","","","","","",""
"BC012192590","1923-06","-17.817","25.15","1002.0","KASANE, BC","","","0",",Q","0",",Q","0",",Q","","","","","","","","","","","","","19230630","+,,Q","","","","","0.0",",,Q,30,+","","","","","0.0",",,,Q","","","","","",""
"BC012192590","1923-07","-17.817","25.15","1002.0","KASANE, BC","","","0",",Q","0",",Q","0",",Q","","","","","","","","","","","","","19230731","+,,Q","","","","","0.0",",,Q,31,+","","","","","0.0",",,,Q","","","","","",""
"BC012192590","1923-08","-17.817","25.15","1002.0","KASANE, BC","","","0",",Q","0",",Q","0",",Q","","","","","","","","","","","","","19230831","+,,Q","","","","","0.0",",,Q,31,+","","","","","0.0",",,,Q","","","","","",""
"BC012192590","1923-09","-17.817","25.15","1002.0","KASANE, BC","","","1",",Q","1",",Q","0",",Q","","","","","","","","","","","","","19230918",",,Q","","","","","12.2",",,Q,18,","","","","","12.2",",,,Q","","","","","",""
"BC012192590","1923-10","-17.817","25.15","1002.0","KASANE, BC","","","3",",Q","3",",Q","0",",Q","","","","","","","","","","","","","19231028",",,Q","","","","","18.3",",,Q,28,","","","","","28.0",",,,Q","","","","","",""
"BC012192590","1923-11","-17.817","25.15","1002.0","KASANE, BC","","","4",",Q","4",",Q","0",",Q","","","","","","","","","","","","","19231125",",,Q","","","","","17.8",",,Q,25,","","","","","52.6",",,,Q","","","","","",""
