"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BE000006447","1833-01","50.8","4.35","104.0","UCCLE, BE","0.0","I","0.0","5,I","","","","","","","","","0","3,I","26","3,I","10","3,I","0","3,I","0","3,I","18330124",",3,I","","","","","18330129",",3,I","-10.3","3,I,24,","","","","","5.8","3,I,29,","","","532.0","3,I","","","-2.10","5,I","1.13","3,,,I","-5.34","3,,,I"
"BE000006447","1833-02","50.8","4.35","104.0","UCCLE, BE","0.0","I","0.0",",I","","","","","","","","","0",",I","5",",I","0",",I","0",",I","0",",I","18330202",",,I","","","","","18330226",",,I","-3.9",",I,02,","","","","","13.3",",I,26,","","","349.5",",I","","","5.85",",I","8.98",",,,I","2.73",",,,I"
"BE000006447","1833-03","50.8","4.35","104.0","UCCLE, BE","0.0","I","0.0","2,I","","","","","","","","","0","1,I","20","1,I","1","1,I","0","1,I","0","1,I","18330313",",1,I","","","","","18330331",",1,I","-6.0","1,I,13,","","","","","12.8","1,I,31,","","","441.6","1,I","","","3.04","2,I","6.78","1,,,I","-0.71","1,,,I"
"BE000006447","1833-04","50.8","4.35","104.0","UCCLE, BE","0.0","I","0.0",",I","","","","","","","","","0",",I","1",",I","0",",I","0",",I","0",",I","18330419",",,I","","","","","18330423",",,I","-0.4",",I,19,","","","","","17.5",",I,23,","","","287.8",",I","","","8.74",",I","13.62",",,,I","3.86",",,,I"
"BE000006447","1833-05","50.8","4.35","104.0","UCCLE, BE","6.7","I","6.7",",I","","","","","","","","","0",",I","0",",I","0",",I","23",",I","0",",I","18330501",",,I","","","","","18330517",",,I","2.7",",I,01,","","","","","28.2",",I,17,","","","79.4",",I","","","15.99",",I","22.42",",,,I","9.56",",,,I"
"BE000006447","1833-06","50.8","4.35","104.0","UCCLE, BE","13.9","I","7.2",",I","","","","","","","","","0",",I","0",",I","0",",I","24",",I","0",",I","18330601",",,I","","","","","18330628",",,I","7.4",",I,01,","","","","","27.6",",I,28,","","","39.9",",I","","","17.24",",I","23.48",",,,I","11.01",",,,I"
"BE000006447","1833-07","50.8","4.35","104.0","UCCLE, BE","17.1","I","3.2",",I","","","","","","","","","0",",I","0",",I","0",",I","24",",I","0",",I","18330704","+,,I","","","","","18330707",",,I","8.1",",I,04,+","","","","","27.9",",I,07,","48.5","I","48.5",",I","","","16.87",",I","22.59",",,,I","11.15",",,,I"
"BE000006447","1833-08","50.8","4.35","104.0","UCCLE, BE","17.1","I","0.0",",I","","","","","","","","","0",",I","0",",I","0",",I","10",",I","0",",I","18330827",",,I","","","","","18330829",",,I","4.7",",I,27,","","","","","23.7",",I,29,","163.0","I","114.5",",I","","","14.64",",I","20.23",",,,I","9.05",",,,I"
"BE000006447","1833-09","50.8","4.35","104.0","UCCLE, BE","17.1","I","0.0",",I","","","","","","","","","0",",I","0",",I","0",",I","2",",I","0",",I","18330913","+,,I","","","","","18330924",",,I","5.3",",I,13,+","","","","","27.0",",I,24,","317.4","I","154.4",",I","","","13.19",",I","17.94",",,,I","8.43",",,,I"
"BE000006447","1833-10","50.8","4.35","104.0","UCCLE, BE","17.1","I","0.0",",I","","","","","","","","","0",",I","0",",I","0",",I","0",",I","0",",I","18331011",",,I","","","","","18331027",",,I","0.9",",I,11,","","","","","17.5",",I,27,","570.7","I","253.3",",I","","","10.16",",I","14.72",",,,I","5.61",",,,I"
