"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"BF1BI000002","2021-11","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","11","2,N","9","2,N","0","2,N","","","","","20211105",",2,N","","","24.9","2,,N,05,","115.8","2,,,N","",""
"BF1BI000002","2021-12","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","6","2,N","1","2,N","0","2,N","","","","","20211220",",2,N","","","15.2","2,,N,20,","19.3","2,,,N","",""
"BF1BI000002","2022-01","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","15",",N","14",",N","0",",N","","","","","20220110",",,N","","","23.6",",,N,10,","154.9",",,,N","",""
"BF1BI000002","2022-02","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","4",",N","4",",N","0",",N","0","4,N","20220228","+,4,N","20220213",",,N","0","4,,N,28,+","15.2",",,N,13,","32.2",",,,N","0","4,,,N"
"BF1BI000002","2022-03","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","5",",N","3",",N","0",",N","0","5,N","20220331","+,5,N","20220325","+,,N","0","5,,N,31,+","7.6",",,N,25,+","24.1",",,,N","0","5,,,N"
"BF1BI000002","2022-04","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","8","1,N","7","1,N","1","1,N","","","","","20220416",",1,N","","","27.9","1,,N,16,","87.2","1,,,N","",""
"BF1BI000002","2022-05","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","12","1,N","11","1,N","0","1,N","","","","","20220502",",1,N","","","18.5","1,,N,02,","75.8","1,,,N","",""
"BF1BI000002","2022-06","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","18","1,N","16","1,N","3","1,N","","","","","20220604",",1,N","","","160.0","1,,N,04,","359.4","1,,,N","",""
"BF1BI000002","2022-07","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","15","1,N","13","1,N","1","1,N","","","","","20220706",",1,N","","","25.4","1,,N,06,","100.0","1,,,N","",""
"BF1BI000002","2022-08","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","10",",N","9",",N","3",",N","","","","","20220828",",,N","","","35.6",",,N,28,","122.4",",,,N","",""
"BF1BI000002","2022-09","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","13",",N","13",",N","2",",N","","","","","20220928",",,N","","","106.7",",,N,28,","292.6",",,,N","",""
"BF1BI000002","2023-02","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","6","1,N","4","1,N","0","1,N","","","","","20230206",",1,N","","","15.0","1,,N,06,","37.9","1,,,N","",""
"BF1BI000002","2023-03","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","4","3,N","3","3,N","0","3,N","","","","","20230320",",3,N","","","8.9","3,,N,20,","18.0","3,,,N","",""
"BF1BI000002","2023-04","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","10","1,N","8","1,N","2","1,N","","","","","20230411",",1,N","","","39.1","1,,N,11,","129.8","1,,,N","",""
"BF1BI000002","2023-05","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","8","1,N","8","1,N","0","1,N","","","","","20230526",",1,N","","","12.4","1,,N,26,","52.4","1,,,N","",""
"BF1BI000002","2023-06","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","15","1,N","14","1,N","1","1,N","","","","","20230630",",1,N","","","30.5","1,,N,30,","129.7","1,,,N","",""
"BF1BI000002","2023-07","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","14","1,N","13","1,N","3","1,N","","","","","20230705",",1,N","","","35.6","1,,N,05,","193.8","1,,,N","",""
"BF1BI000002","2023-08","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","11","3,N","10","3,N","0","3,N","","","","","20230816",",3,N","","","18.8","3,,N,16,","63.8","3,,,N","",""
"BF1BI000002","2023-09","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","16","3,N","16","3,N","0","3,N","","","","","20230929",",3,N","","","17.0","3,,N,29,","123.5","3,,,N","",""
"BF1BI000002","2023-10","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","9","3,N","9","3,N","0","3,N","","","","","20231014",",3,N","","","11.4","3,,N,14,","52.8","3,,,N","",""
"BF1BI000002","2023-11","25.72593","-79.29518","7.9","ALICE TOWN 0.3 SSE, BI BF","8","1,N","5","1,N","1","1,N","","","","","20231116",",1,N","","","55.9","1,,N,16,","91.2","1,,,N","",""
