"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"BF1CE000009","2022-08","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","7","3,N","7","3,N","0","3,N","","","","","20220829",",3,N","","","14.5","3,,N,29,","53.7","3,,,N","",""
"BF1CE000009","2022-09","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","7","2,N","4","2,N","2","2,N","","","","","20220930",",2,N","","","61.0","2,,N,30,","118.4","2,,,N","",""
"BF1CE000009","2022-10","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","10","5,N","7","5,N","2","5,N","","","","","20221001",",5,N","","","82.0","5,,N,01,","170.2",",a,,N","",""
"BF1CE000009","2022-11","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","","","","","","","","","","","","","","","","","132.2",",a,,N","",""
"BF1CE000009","2022-12","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","14","1,N","8","1,N","1","1,N","","","","","20221221",",1,N","","","27.9","1,,N,21,","81.5","1,,,N","",""
"BF1CE000009","2023-01","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","9",",N","4",",N","0",",N","","","","","20230129","+,,N","","","3.6",",,N,29,+","16.7",",,,N","",""
"BF1CE000009","2023-03","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","2",",N","2",",N","0",",N","0","2,N","20230331","+,2,N","20230329",",,N","0","2,,N,31,+","5.1",",,N,29,","8.9",",,,N","0","2,,,N"
"BF1CE000009","2023-04","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","5","1,N","5","1,N","4","1,N","","","","","20230413",",1,N","","","54.6","1,,N,13,","153.5","1,,,N","",""
"BF1CE000009","2023-05","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","8",",N","6",",N","1",",N","","","","","20230525",",,N","","","45.7",",,N,25,","88.5",",,,N","",""
"BF1CE000009","2023-10","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","7","1,N","4","1,N","3","1,N","","","","","20231021",",1,N","","","78.0","1,,N,21,","225.1","1,,,N","",""
"BF1CE000009","2023-11","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","7","5,N","6","5,N","2","5,N","","","","","20231116",",5,N","","","68.6","5,,N,16,","161.0","5,,,N","",""
"BF1CE000009","2024-02","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","4",",N","4",",N","1",",N","0","4,N","20240229","+,4,N","20240206",",,N","0","4,,N,29,+","25.4",",,N,06,","53.1",",,,N","0","4,,,N"
"BF1CE000009","2024-03","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","6",",N","5",",N","3",",N","","","","","20240324",",,N","","","180.6",",,N,24,","300.6",",,,N","",""
"BF1CE000009","2024-04","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","1",",N","1",",N","0",",N","0","1,N","20240430","+,1,N","20240427",",,N","0","1,,N,30,+","2.5",",,N,27,","2.5",",,,N","0","1,,,N"
"BF1CE000009","2024-05","25.082992","-76.138534","24.4","SAVANNAH SOUND 0.5 SW, CE BF","2",",N","2",",N","0",",N","0","2,N","20240531","+,2,N","20240522",",,N","0","2,,N,31,+","13.5",",,N,22,","22.9",",,,N","0","2,,,N"
