"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"BF1CO000004","2021-11","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","","","","","","","","","","","","","","","","","153.4","4,a,,N","",""
"BF1CO000004","2022-01","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","16","3,N","8","3,N","0","3,N","","","","","20220108",",3,N","","","18.5","3,,N,08,","73.7","3,,,N","",""
"BF1CO000004","2022-02","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","12","3,N","4","3,N","0","3,N","","","","","20220212",",3,N","","","23.4","3,,N,12,","59.7","3,,,N","",""
"BF1CO000004","2022-03","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","7",",N","4",",N","0",",N","","","","","20220325",",,N","","","11.2",",,N,25,","35.9",",,,N","",""
"BF1CO000004","2022-04","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","11",",N","6",",N","2",",N","","","","","20220416",",,N","","","36.1",",,N,16,","107.4",",,,N","",""
"BF1CO000004","2022-05","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","13",",N","12",",N","3",",N","","","","","20220531",",,N","","","41.9",",,N,31,","201.0",",,,N","",""
"BF1CO000004","2022-06","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","19","1,N","16","1,N","5","1,N","","","","","20220604",",1,N","","","53.6","1,,N,04,","303.0","1,,,N","",""
"BF1CO000004","2022-07","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","8",",N","4",",N","0",",N","","","","","20220715",",,N","","","9.7",",,N,15,","31.1",",,,N","",""
"BF1CO000004","2022-08","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","14",",N","6",",N","0",",N","","","","","20220813",",,N","","","4.8",",,N,13,","30.2",",,,N","",""
"BF1CO000004","2022-09","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","20",",N","13",",N","4",",N","","","","","20220929",",,N","","","87.9",",,N,29,","300.2",",,,N","",""
"BF1CO000004","2022-10","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","17","2,N","17","2,N","1","2,N","","","","","20221014",",2,N","","","90.9","2,,N,14,","237.0","2,,,N","",""
"BF1CO000004","2022-11","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","16",",N","14",",N","2",",N","","","","","20221109",",,N","","","68.1",",,N,09,","237.5",",,,N","",""
"BF1CO000004","2022-12","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","10","1,N","6","1,N","0","1,N","","","","","20221230","+,1,N","","","13.5","1,,N,30,+","57.7","1,,,N","",""
"BF1CO000004","2023-01","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","2",",N","0",",N","0",",N","","","","","20230125",",,N","","","1.8",",,N,25,","2.6",",,,N","",""
"BF1CO000004","2023-02","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","5",",N","5",",N","1",",N","","","","","20230206",",,N","","","30.0",",,N,06,","49.9",",,,N","",""
"BF1CO000004","2023-03","26.3155234","-77.0967789","6.7","CHEROKEE 5.7 NW, CO BF","9",",N","3",",N","2",",N","","","","","20230319",",,N","","","37.8",",,N,19,","88.1",",,,N","",""
