"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"BF1EG000001","2018-02","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","4","2,N","0","2,N","0","2,N","","","","","20180228",",2,N","","","1.3","2,,N,28,","3.1","2,,,N","",""
"BF1EG000001","2018-03","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","5",",N","3",",N","1",",N","0","5,N","20180331","+,5,N","20180311",",,N","0","5,,N,31,+","36.8",",,N,11,","58.2",",,,N","0","5,,,N"
"BF1EG000001","2018-04","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","10",",N","6",",N","3",",N","","","","","20180425",",,N","","","40.1",",,N,25,","131.4",",,,N","",""
"BF1EG000001","2018-05","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","15",",N","10",",N","4",",N","","","","","20180519",",,N","","","101.9",",,N,19,","270.2",",,,N","",""
"BF1EG000001","2018-06","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","17",",N","13",",N","2",",N","","","","","20180619",",,N","","","34.0",",,N,19,","174.9",",,,N","",""
"BF1EG000001","2018-07","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","11",",N","8",",N","2",",N","","","","","20180723",",,N","","","52.8",",,N,23,","139.9",",,,N","",""
"BF1EG000001","2018-08","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","13",",N","6",",N","2",",N","","","","","20180828",",,N","","","36.8",",,N,28,","105.6",",,,N","",""
"BF1EG000001","2018-09","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","19",",N","9",",N","0",",N","","","","","20180907",",,N","","","22.9",",,N,07,","146.2",",,,N","",""
"BF1EG000001","2018-10","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","14",",N","8",",N","1",",N","","","","","20181026",",,N","","","30.0",",,N,26,","66.2",",,,N","",""
"BF1EG000001","2018-11","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","13","1,N","10","1,N","0","1,N","","","","","20181103",",1,N","","","24.9","1,,N,03,","102.1","1,,,N","",""
"BF1EG000001","2018-12","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","8",",N","5",",N","0",",N","","","","","20181221",",,N","","","19.8",",,N,21,","46.5",",,,N","",""
"BF1EG000001","2019-01","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","13",",N","7",",N","2",",N","","","","","20190125",",,N","","","47.0",",,N,25,","162.4",",,,N","",""
"BF1EG000001","2019-02","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","9",",N","4",",N","0",",N","","","","","20190214",",,N","","","19.1",",,N,14,","33.0",",,,N","",""
"BF1EG000001","2019-03","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","11","1,N","6","1,N","1","1,N","","","","","20190320",",1,N","","","31.0","1,,N,20,","79.2","1,,,N","",""
"BF1EG000001","2019-04","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","8",",N","4",",N","0",",N","","","","","20190420","+,,N","","","21.6",",,N,20,+","69.7",",,,N","",""
"BF1EG000001","2019-05","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","11","1,N","10","1,N","1","1,N","","","","","20190509",",1,N","","","37.6","1,,N,09,","138.3","1,,,N","",""
"BF1EG000001","2019-06","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","15",",N","12",",N","4",",N","","","","","20190615",",,N","","","53.3",",,N,15,","225.8",",,,N","",""
"BF1EG000001","2019-07","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","20",",N","14",",N","0",",N","","","","","20190725",",,N","","","24.9",",,N,25,","121.7",",,,N","",""
"BF1EG000001","2019-08","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","25",",N","19",",N","1",",N","","","","","20190824",",,N","","","54.9",",,N,24,","221.2",",,,N","",""
"BF1EG000001","2023-04","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","16",",N","8",",N","1",",N","","","","","20230426",",,N","","","71.1",",,N,26,","169.0",",,,N","",""
"BF1EG000001","2023-05","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","15",",N","9",",N","2",",N","","","","","20230524",",,N","","","26.4",",,N,24,","113.5",",,,N","",""
"BF1EG000001","2023-06","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","18",",N","17",",N","3",",N","","","","","20230619",",,N","","","46.7",",,N,19,","225.2",",,,N","",""
"BF1EG000001","2023-07","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","9",",N","5",",N","1",",N","","","","","20230727",",,N","","","25.4",",,N,27,","43.8",",,,N","",""
"BF1EG000001","2023-08","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","12",",N","9",",N","2",",N","","","","","20230829",",,N","","","46.2",",,N,29,","124.2",",,,N","",""
"BF1EG000001","2023-09","26.61","-78.35","6.4","FREE TOWN PARK 0.6 ESE, EG BF","12",",N","8",",N","3",",N","","","","","20230920",",,N","","","40.9",",,N,20,","162.1",",,,N","",""
