"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"BF1EX000009","2022-01","23.49016667","-75.763","4.6","GEORGE TOWN 2.7 SE, EX BF","5","3,N","3","3,N","0","3,N","","","","","20220117",",3,N","","","8.9","3,,N,17,","16.0","3,,,N","",""
"BF1EX000009","2022-02","23.49016667","-75.763","4.6","GEORGE TOWN 2.7 SE, EX BF","5",",N","3",",N","0",",N","0","5,N","20220228","+,5,N","20220212",",,N","0","5,,N,28,+","10.2",",,N,12,","21.1",",,,N","0","5,,,N"
"BF1EX000009","2022-03","23.49016667","-75.763","4.6","GEORGE TOWN 2.7 SE, EX BF","5","1,N","3","1,N","0","1,N","","","","","20220313",",1,N","","","10.2","1,,N,13,","23.0","1,,,N","",""
"BF1EX000009","2022-04","23.49016667","-75.763","4.6","GEORGE TOWN 2.7 SE, EX BF","9",",N","6",",N","1",",N","","","","","20220417",",,N","","","37.8",",,N,17,","58.8",",,,N","",""
"BF1EX000009","2022-05","23.49016667","-75.763","4.6","GEORGE TOWN 2.7 SE, EX BF","10",",N","9",",N","2",",N","","","","","20220513",",,N","","","79.2",",,N,13,","185.3",",,,N","",""
"BF1EX000009","2022-06","23.49016667","-75.763","4.6","GEORGE TOWN 2.7 SE, EX BF","8",",N","7",",N","4",",N","","","","","20220628",",,N","","","113.0",",,N,28,","302.2",",,,N","",""
"BF1EX000009","2022-09","23.49016667","-75.763","4.6","GEORGE TOWN 2.7 SE, EX BF","6",",N","5",",N","1",",N","","","","","20220930",",,N","","","80.3",",,N,30,","125.5",",,,N","",""
"BF1EX000009","2023-01","23.49016667","-75.763","4.6","GEORGE TOWN 2.7 SE, EX BF","6",",N","4",",N","0",",N","","","","","20230110",",,N","","","11.4",",,N,10,","29.9",",,,N","",""
"BF1EX000009","2023-02","23.49016667","-75.763","4.6","GEORGE TOWN 2.7 SE, EX BF","2",",N","1",",N","0",",N","0","3,N","20230228","+,3,N","20230213",",,N","0","3,,N,28,+","24.4",",,N,13,","25.4",",,,N","0","3,,,N"
"BF1EX000009","2023-03","23.49016667","-75.763","4.6","GEORGE TOWN 2.7 SE, EX BF","3","1,N","3","1,N","0","1,N","0","4,N","20230331","+,4,N","20230315",",1,N","0","4,,N,31,+","24.9","1,,N,15,","45.5","1,,,N","0","4,,,N"
