"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"BF1FP000001","2016-05","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","8","5,N","7","5,N","2","5,N","","","","","20160519",",5,N","","","36.1","5,,N,19,","109.4","5,,,N","",""
"BF1FP000001","2016-06","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","19","1,N","13","1,N","2","1,N","","","","","20160619",",1,N","","","35.1","1,,N,19,","145.0","1,,,N","",""
"BF1FP000001","2016-07","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","10","4,N","8","4,N","1","4,N","","","","","20160701",",4,N","","","33.0","4,,N,01,","118.5","4,,,N","",""
"BF1FP000001","2016-08","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","17","5,N","12","5,N","0","5,N","","","","","20160825",",5,N","","","24.4","5,,N,25,","163.5","5,,,N","",""
"BF1FP000001","2016-12","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","7","4,N","3","4,N","0","4,N","","","","","20161207",",4,N","","","9.1","4,,N,07,","26.3","4,,,N","",""
"BF1FP000001","2017-04","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","5","2,N","4","2,N","1","2,N","","","","","20170424",",2,N","","","83.1","2,,N,24,","100.3","2,,,N","",""
"BF1FP000001","2017-05","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","10",",N","4",",N","1",",N","","","","","20170526",",,N","","","25.7",",,N,26,","73.2",",,,N","",""
"BF1FP000001","2017-06","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","12","3,N","8","3,N","3","3,N","","","","","20170607",",3,N","","","66.3","3,,N,07,","205.1","3,,,N","",""
"BF1FP000001","2017-07","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","9","1,N","6","1,N","0","1,N","","","","","20170719",",1,N","","","24.9","1,,N,19,","63.1","1,,,N","",""
"BF1FP000001","2017-08","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","14","1,N","13","1,N","4","1,N","","","","","20170802",",1,N","","","56.9","1,,N,02,","286.6","1,,,N","",""
"BF1FP000001","2017-09","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","10","3,N","7","3,N","0","3,N","","","","","20170902",",3,N","","","24.9","3,,N,02,","90.3","3,,,N","",""
"BF1FP000001","2017-10","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","13",",N","7",",N","1",",N","","","","","20171026",",,N","","","70.9",",,N,26,","153.4",",,,N","",""
"BF1FP000001","2017-11","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","4",",N","1",",N","0",",N","","","","","20171122",",,N","","","8.9",",,N,22,","11.4",",,,N","",""
"BF1FP000001","2017-12","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","2",",N","1",",N","0",",N","0","3,N","20171231","+,3,N","20171210",",,N","0","3,,N,31,+","17.5",",,N,10,","18.5",",,,N","0","3,,,N"
"BF1FP000001","2018-01","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","9",",N","4",",N","1",",N","","","","","20180111",",,N","","","87.1",",,N,11,","120.7",",,,N","",""
"BF1FP000001","2018-02","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","6","1,N","0","1,N","0","1,N","","","","","20180210",",1,N","","","1.5","1,,N,10,","4.1","1,,,N","",""
"BF1FP000001","2018-03","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","4",",N","2",",N","0",",N","0","5,N","20180331","+,5,N","20180311",",,N","0","5,,N,31,+","8.9",",,N,11,","17.5",",,,N","0","5,,,N"
"BF1FP000001","2018-04","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","9","1,N","7","1,N","2","1,N","","","","","20180424",",1,N","","","27.9","1,,N,24,","105.8","1,,,N","",""
"BF1FP000001","2018-05","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","17",",N","11",",N","2",",N","","","","","20180528",",,N","","","46.5",",,N,28,","201.9",",,,N","",""
"BF1FP000001","2018-06","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","17",",N","12",",N","4",",N","","","","","20180623",",,N","","","87.4",",,N,23,","286.4",",,,N","",""
"BF1FP000001","2018-07","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","14",",N","10",",N","4",",N","","","","","20180708",",,N","","","55.9",",,N,08,","250.2",",,,N","",""
"BF1FP000001","2018-08","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","12",",N","6",",N","1",",N","","","","","20180806",",,N","","","46.5",",,N,06,","85.0",",,,N","",""
"BF1FP000001","2018-09","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","18",",N","13",",N","0",",N","","","","","20180904",",,N","","","24.9",",,N,04,","119.1",",,,N","",""
"BF1FP000001","2018-10","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","13",",N","6",",N","1",",N","","","","","20181012",",,N","","","32.0",",,N,12,","87.1",",,,N","",""
"BF1FP000001","2018-11","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","13",",N","7",",N","0",",N","","","","","20181104",",,N","","","18.8",",,N,04,","73.7",",,,N","",""
"BF1FP000001","2019-01","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","11",",N","5",",N","2",",N","","","","","20190125",",,N","","","86.4",",,N,25,","161.8",",,,N","",""
"BF1FP000001","2019-02","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","8",",N","5",",N","2",",N","","","","","20190202",",,N","","","43.7",",,N,02,","102.6",",,,N","",""
"BF1FP000001","2019-03","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","10","1,N","4","1,N","1","1,N","","","","","20190320",",1,N","","","28.2","1,,N,20,","48.2","1,,,N","",""
"BF1FP000001","2019-04","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","5","3,N","2","3,N","1","3,N","","","","","20190420",",3,N","","","43.4","3,,N,20,","49.0","3,,,N","",""
"BF1FP000001","2019-05","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","12",",N","10",",N","0",",N","","","","","20190508",",,N","","","20.8",",,N,08,","97.4",",,,N","",""
"BF1FP000001","2019-06","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","12","1,N","9","1,N","4","1,N","","","","","20190618",",1,N","","","65.3","1,,N,18,","245.9","1,,,N","",""
"BF1FP000001","2019-07","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","11","1,N","8","1,N","1","1,N","","","","","20190723",",1,N","","","35.3","1,,N,23,","94.7","1,,,N","",""
"BF1FP000001","2019-08","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","21",",N","14",",N","1",",N","","","","","20190802",",,N","","","86.1",",,N,02,","234.1",",,,N","",""
"BF1FP000001","2019-10","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","18",",N","13",",N","3",",N","","","","","20191008",",,N","","","79.5",",,N,08,","303.8",",,,N","",""
"BF1FP000001","2019-11","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","10",",N","4",",N","0",",N","","","","","20191109","+,,N","","","8.9",",,N,09,+","30.9",",,,N","",""
"BF1FP000001","2019-12","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","12",",N","9",",N","2",",N","","","","","20191223",",,N","","","46.7",",,N,23,","119.9",",,,N","",""
"BF1FP000001","2020-01","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","7",",N","3",",N","0",",N","","","","","20200130",",,N","","","16.5",",,N,30,","31.3",",,,N","",""
"BF1FP000001","2020-02","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","7",",N","6",",N","0",",N","","","","","20200227",",,N","","","17.5",",,N,27,","61.5",",,,N","",""
"BF1FP000001","2020-03","26.54805556","-78.70277778","2.1","FREEPORT LUCAYA 7.4 WNW, FP BF","6",",N","3",",N","0",",N","0","5,N","20200331","+,5,N","20200307",",,N","0","5,,N,31,+","5.1",",,N,07,","12.6",",,,N","0","5,,,N"
