"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"BF1LI000006","2021-11","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","18","1,N","9","1,N","1","1,N","","","","","20211105",",1,N","","","29.2","1,,N,05,","120.8","1,,,N","",""
"BF1LI000006","2021-12","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","11","1,N","6","1,N","0","1,N","","","","","20211215",",1,N","","","14.5","1,,N,15,","41.3","1,,,N","",""
"BF1LI000006","2022-01","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","9",",N","5",",N","2",",N","","","","","20220117",",,N","","","31.2",",,N,17,","97.4",",,,N","",""
"BF1LI000006","2022-02","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","11","1,N","3","1,N","0","1,N","","","","","20220210",",1,N","","","14.0","1,,N,10,","31.0","1,,,N","",""
"BF1LI000006","2022-03","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","9","3,N","2","3,N","0","3,N","","","","","20220326",",3,N","","","11.4","3,,N,26,","27.2","3,,,N","",""
"BF1LI000006","2022-04","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","10","1,N","5","1,N","1","1,N","","","","","20220417",",1,N","","","59.9","1,,N,17,","97.1","1,,,N","",""
"BF1LI000006","2022-05","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","15","4,N","8","4,N","0","4,N","","","","","20220501",",4,N","","","24.9","4,,N,01,","87.2","4,,,N","",""
"BF1LI000006","2022-06","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","16","3,N","7","3,N","1","3,N","","","","","20220626",",3,N","","","39.4","3,,N,26,","92.0","3,,,N","",""
"BF1LI000006","2022-07","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","11","4,N","5","4,N","0","4,N","","","","","20220718","+,4,N","","","12.7","4,,N,18,+","52.4","4,,,N","",""
"BF1LI000006","2022-09","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","16","1,N","12","1,N","1","1,N","","","","","20220926",",1,N","","","40.6","1,,N,26,","103.5","1,,,N","",""
"BF1LI000006","2022-10","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","20",",N","6",",N","2",",N","","","","","20221014",",,N","","","59.7",",,N,14,","164.7",",,,N","",""
"BF1LI000006","2022-11","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","20",",N","9",",N","0",",N","","","","","20221114",",,N","","","20.3",",,N,14,","100.8",",,,N","",""
"BF1LI000006","2022-12","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","7",",N","4",",N","0",",N","","","","","20221226",",,N","","","9.1",",,N,26,","22.7",",,,N","",""
"BF1LI000006","2023-01","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","5",",N","5",",N","1",",N","0","5,N","20230131","+,5,N","20230106",",,N","0","5,,N,31,+","30.7",",,N,06,","80.5",",,,N","0","5,,,N"
"BF1LI000006","2023-02","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","5","1,N","3","1,N","2","1,N","","","","","20230211",",1,N","","","33.3","1,,N,11,","67.3","1,,,N","",""
"BF1LI000006","2023-03","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","4",",N","3",",N","0",",N","0","4,N","20230331","+,4,N","20230323",",,N","0","4,,N,31,+","7.4",",,N,23,","19.1",",,,N","0","4,,,N"
"BF1LI000006","2023-04","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","10","1,N","9","1,N","3","1,N","","","","","20230413",",1,N","","","39.6","1,,N,13,","186.5","1,,,N","",""
"BF1LI000006","2023-05","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","9",",N","9",",N","3",",N","","","","","20230520",",,N","","","52.6",",,N,20,","153.2",",,,N","",""
"BF1LI000006","2023-06","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","9",",N","9",",N","4",",N","","","","","20230609",",,N","","","124.5",",,N,09,","311.8",",,,N","",""
"BF1LI000006","2023-07","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","5",",N","5",",N","0",",N","0","5,N","20230731","+,5,N","20230715",",,N","0","5,,N,31,+","21.1",",,N,15,","56.4",",,,N","0","5,,,N"
"BF1LI000006","2023-08","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","7",",N","6",",N","1",",N","","","","","20230808",",,N","","","27.4",",,N,08,","95.6",",,,N","",""
"BF1LI000006","2023-09","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","7",",N","6",",N","3",",N","","","","","20230909",",,N","","","46.5",",,N,09,","163.1",",,,N","",""
"BF1LI000006","2023-10","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","8",",N","7",",N","2",",N","","","","","20231010",",,N","","","99.1",",,N,10,","239.8",",,,N","",""
"BF1LI000006","2023-11","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","4",",N","4",",N","3",",N","0","4,N","20231130","+,4,N","20231106",",,N","0","4,,N,30,+","64.8",",,N,06,","155.4",",,,N","0","4,,,N"
"BF1LI000006","2023-12","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","2",",N","2",",N","2",",N","0","2,N","20231231","+,2,N","20231218",",,N","0","2,,N,31,+","78.2",",,N,18,","103.6",",,,N","0","2,,,N"
"BF1LI000006","2024-01","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","3",",N","1",",N","0",",N","0","3,N","20240131","+,3,N","20240103",",,N","0","3,,N,31,+","2.5",",,N,03,","4.6",",,,N","0","3,,,N"
"BF1LI000006","2024-02","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","4","1,N","3","1,N","1","1,N","0","5,N","20240229","+,5,N","20240205",",1,N","0","5,,N,29,+","36.6","1,,N,05,","49.3","1,,,N","0","5,,,N"
"BF1LI000006","2024-03","23.1160664","-75.0463642","6.1","GALLOWAY LANDING 0.3 S, LI BF","1",",N","1",",N","1",",N","0","1,N","20240331","+,1,N","20240324",",,N","0","1,,N,31,+","44.7",",,N,24,","44.7",",,,N","0","1,,,N"
