"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"BF1NP000005","2017-04","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","16.5","4,a,,N"
"BF1NP000005","2017-07","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","88.5","4,a,,N"
"BF1NP000005","2017-10","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","143.6","1,a,,N"
"BF1NP000005","2017-11","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","57.7","4,a,,N"
"BF1NP000005","2017-12","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","17.3","4,a,,N"
"BF1NP000005","2018-01","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","194.8","3,a,,N"
"BF1NP000005","2018-02","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","16.0",",a,,N"
"BF1NP000005","2018-03","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","190.2","3,a,,N"
"BF1NP000005","2018-05","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","166.7","5,a,,N"
"BF1NP000005","2018-06","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","236.1","2,a,,N"
"BF1NP000005","2018-07","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","234.9","5,a,,N"
"BF1NP000005","2018-09","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","172.3","4,a,,N"
"BF1NP000005","2018-10","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","29.8","2,a,,N"
"BF1NP000005","2018-11","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","19.5",",a,,N"
"BF1NP000005","2019-01","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","65.8","1,a,,N"
"BF1NP000005","2019-02","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","32.5","1,a,,N"
"BF1NP000005","2019-05","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","53.3","2,a,,N"
"BF1NP000005","2019-10","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","115.2","3,a,,N"
"BF1NP000005","2020-09","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","258.7","4,a,,N"
"BF1NP000005","2022-02","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","15.3","3,a,,N"
"BF1NP000005","2022-05","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","252.8","3,a,,N"
"BF1NP000005","2022-06","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","375.2","4,a,,N"
"BF1NP000005","2022-07","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","165.5","4,a,,N"
"BF1NP000005","2022-11","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","80.9","5,a,,N"
"BF1NP000005","2023-01","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","42.9","4,a,,N"
"BF1NP000005","2023-03","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","69.1","2,a,,N"
"BF1NP000005","2023-07","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","240.8","4,a,,N"
"BF1NP000005","2023-09","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","96.3","4,a,,N"
"BF1NP000005","2024-04","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","2.3","3,a,,N"
"BF1NP000005","2024-05","25.01317","-77.3764","10.4","NASSAU 8.2 SSW, NP BF","33.3","5,a,,N"
