"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"BF1NP000019","2022-05","25.04","-77.311","4.3","NASSAU 5.1 SSE, NP BF","14",",N","10",",N","3",",N","","","","","20220508",",,N","","","90.2",",,N,08,","305.7",",,,N","",""
"BF1NP000019","2022-06","25.04","-77.311","4.3","NASSAU 5.1 SSE, NP BF","21",",N","16",",N","5",",N","","","","","20220607",",,N","","","82.6",",,N,07,","334.8",",,,N","",""
"BF1NP000019","2022-07","25.04","-77.311","4.3","NASSAU 5.1 SSE, NP BF","14","1,N","11","1,N","3","1,N","","","","","20220716",",1,N","","","81.3","1,,N,16,","187.5","1,,,N","",""
"BF1NP000019","2022-08","25.04","-77.311","4.3","NASSAU 5.1 SSE, NP BF","10",",N","7",",N","0",",N","","","","","20220830",",,N","","","15.0",",,N,30,","41.6",",,,N","",""
"BF1NP000019","2022-09","25.04","-77.311","4.3","NASSAU 5.1 SSE, NP BF","11","1,N","8","1,N","2","1,N","","","","","20220928",",1,N","","","31.8","1,,N,28,","121.4","1,,,N","",""
"BF1NP000019","2022-11","25.04","-77.311","4.3","NASSAU 5.1 SSE, NP BF","","","","","","","","","","","","","","","","","65.4","4,a,,N","",""
"BF1NP000019","2022-12","25.04","-77.311","4.3","NASSAU 5.1 SSE, NP BF","","","","","","","","","","","","","","","","","49.0","4,a,,N","",""
"BF1NP000019","2023-01","25.04","-77.311","4.3","NASSAU 5.1 SSE, NP BF","3","2,N","2","2,N","1","2,N","","","","","20230126",",2,N","","","35.6","2,,N,26,","72.5",",a,,N","",""
"BF1NP000019","2023-02","25.04","-77.311","4.3","NASSAU 5.1 SSE, NP BF","1","1,N","1","1,N","1","1,N","0","4,N","20230228","+,4,N","20230205",",1,N","0","4,,N,28,+","35.6","1,,N,05,","35.6","1,,,N","0","4,,,N"
"BF1NP000019","2023-03","25.04","-77.311","4.3","NASSAU 5.1 SSE, NP BF","5",",N","4",",N","2",",N","","","","","20230320",",,N","","","68.6",",,N,20,","108.8",",,,N","",""
"BF1NP000019","2023-04","25.04","-77.311","4.3","NASSAU 5.1 SSE, NP BF","3",",N","3",",N","2",",N","0","4,N","20230430","+,4,N","20230412",",,N","0","4,,N,30,+","45.7",",,N,12,","76.2",",,,N","0","4,,,N"
