"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BF1NP000023","2022-06","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","17","2,N","10","2,N","2","2,N","20220607",",2,N","125.7","2,,N,07,","266.3","2,,,N"
"BF1NP000023","2022-07","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","21",",N","12",",N","2",",N","20220716",",,N","79.0",",,N,16,","215.4",",,,N"
"BF1NP000023","2022-09","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","19","1,N","13","1,N","3","1,N","20220926",",1,N","55.4","1,,N,26,","231.8","1,,,N"
"BF1NP000023","2023-04","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","11","3,N","9","3,N","2","3,N","20230411",",3,N","60.2","3,,N,11,","209.8","3,,,N"
"BF1NP000023","2023-05","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","9",",N","7",",N","2",",N","20230525",",,N","50.8",",,N,25,","158.6",",,,N"
"BF1NP000023","2023-06","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","20","3,N","13","3,N","4","3,N","20230622",",3,N","93.5","3,,N,22,","361.4","3,,,N"
"BF1NP000023","2023-07","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","13","3,N","10","3,N","4","3,N","20230728",",3,N","123.4","3,,N,28,","292.9","3,,,N"
"BF1NP000023","2023-08","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","","","","","","","","","","","138.8","2,a,,N"
"BF1NP000023","2023-09","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","10","1,N","8","1,N","1","1,N","20230923",",1,N","63.0","1,,N,23,","120.2","1,,,N"
"BF1NP000023","2023-10","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","13","2,N","9","2,N","1","2,N","20231020",",2,N","25.4","2,,N,20,","117.1","2,,,N"
"BF1NP000023","2023-11","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","10","1,N","7","1,N","2","1,N","20231118",",1,N","76.5","1,,N,18,","163.4","1,,,N"
"BF1NP000023","2023-12","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","9","1,N","4","1,N","1","1,N","20231217",",1,N","75.2","1,,N,17,","132.2","1,,,N"
"BF1NP000023","2024-05","25.073948","-77.404662","6.7","NASSAU 6.7 W, NP BF","7",",N","3",",N","1",",N","20240526",",,N","51.6",",,N,26,","66.4",",,,N"
