"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"BF1SS000003","2017-07","24.11831","-74.46383","9.4","COCKBURN TOWN 9.9 NE, SS BF","0",",N","0",",N","0",",N","0",",N","20170731","+,,N","20170731","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"BF1SS000003","2017-09","24.11831","-74.46383","9.4","COCKBURN TOWN 9.9 NE, SS BF","9","3,N","8","3,N","2","3,N","","","","","20170929",",3,N","","","29.7","3,,N,29,","161.6","3,,,N","",""
"BF1SS000003","2017-10","24.11831","-74.46383","9.4","COCKBURN TOWN 9.9 NE, SS BF","9",",N","8",",N","1",",N","","","","","20171020",",,N","","","78.2",",,N,20,","165.1",",,,N","",""
"BF1SS000003","2017-11","24.11831","-74.46383","9.4","COCKBURN TOWN 9.9 NE, SS BF","14",",N","12",",N","2",",N","","","","","20171110",",,N","","","30.5",",,N,10,","167.0",",,,N","",""
"BF1SS000003","2017-12","24.11831","-74.46383","9.4","COCKBURN TOWN 9.9 NE, SS BF","6","2,N","2","2,N","0","2,N","","","","","20171210",",2,N","","","11.7","2,,N,10,","23.4","2,,,N","",""
"BF1SS000003","2018-01","24.11831","-74.46383","9.4","COCKBURN TOWN 9.9 NE, SS BF","16",",N","12",",N","3",",N","","","","","20180112",",,N","","","177.8",",,N,12,","356.3",",,,N","",""
"BF1SS000003","2018-02","24.11831","-74.46383","9.4","COCKBURN TOWN 9.9 NE, SS BF","8",",N","1",",N","0",",N","","","","","20180224",",,N","","","2.8",",,N,24,","11.5",",,,N","",""
"BF1SS000003","2018-03","24.11831","-74.46383","9.4","COCKBURN TOWN 9.9 NE, SS BF","4",",N","1",",N","0",",N","0","3,N","20180331","+,3,N","20180327",",,N","0","3,,N,31,+","12.2",",,N,27,","15.6",",,,N","0","3,,,N"
"BF1SS000003","2018-04","24.11831","-74.46383","9.4","COCKBURN TOWN 9.9 NE, SS BF","10",",N","3",",N","2",",N","","","","","20180425",",,N","","","66.0",",,N,25,","118.0",",,,N","",""
"BF1SS000003","2018-05","24.11831","-74.46383","9.4","COCKBURN TOWN 9.9 NE, SS BF","14",",N","9",",N","3",",N","","","","","20180509",",,N","","","47.5",",,N,09,","170.3",",,,N","",""
