"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BFW00012716","1955-02","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","9",",X","3",",X","0",",X","0",",X","0",",X","","","","","0","2,X","25","2,X","0","2,X","","","19550228","+,,X","19550228","+,,X","","","19550218",",,X","19550208",",2,X","","","0",",,X,28,+","0",",,X,28,+","11.4",",,X,18,","26.7","2,X,08,","","","","","23.1",",,,X","0",",,,X","","","24.25","2,,,X","",""
"BFW00012716","1955-03","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","2",",X","0",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19550331","+,,X","19550331","+,,X","","","19550330","+,,X","","","","","0",",,X,31,+","0",",,X,31,+","0.8",",,X,30,+","","","","","","","1.6",",,,X","0",",,,X","","","","","",""
"BFW00012716","1955-04","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","","","","","","","0",",X","0",",X","","","","","","","","","","","","","19550430","+,,X","19550430","+,,X","2","","","","","","","","0",",,X,30,+","0",",,X,30,+","","","","","","","","","","","0",",,,X","","","","","",""
"BFW00012716","1955-05","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","220.3",",X","7",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","19550507","+,,X","19550531","+,,X","19550531","+,,X","3","","19550518",",,X","19550530","+,,X","17.8",",X,07,+","0",",,X,31,+","0",",,X,31,+","20.8",",,X,18,","30.6",",X,30,+","","","0.0",",X","30.0",",,,X","0",",,,X","25.44",",X","28.89",",,,X","21.99",",,,X"
"BFW00012716","1955-06","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","267.8",",X","11",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","1",",X","19550606","+,,X","19550630","+,,X","19550630","+,,X","5","","19550601",",,X","19550613",",,X","22.2",",X,06,+","0",",,X,30,+","0",",,X,30,+","33.0",",,X,01,","32.2",",X,13,","","","0.0",",X","76.7",",,,X","0",",,,X","27.26",",X","30.06",",,,X","24.46",",,,X"
"BFW00012716","1955-07","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","288.4",",X","14",",X","6",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","3",",X","19550705",",,X","19550731","+,,X","19550731","+,,X","5","","19550717",",,X","19550729",",,X","22.2",",X,05,","0",",,X,31,+","0",",,X,31,+","58.4",",,X,17,","32.8",",X,29,","0.0","X","0.0",",X","144.2",",,,X","0",",,,X","27.64",",X","30.82",",,,X","24.46",",,,X"
"BFW00012716","1955-08","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","307.3",",X","12",",X","9",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","5",",X","19550827","+,,X","19550831","+,,X","19550831","+,,X","5","","19550829",",,X","19550813",",,X","23.3",",X,27,+","0",",,X,31,+","0",",,X,31,+","41.1",",,X,29,","33.9",",X,13,","0.0","X","0.0",",X","170.9",",,,X","0",",,,X","28.25",",X","30.85",",,,X","25.64",",,,X"
"BFW00012716","1955-09","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","278.1",",X","18",",X","11",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","19550904",",,X","19550930","+,,X","19550930","+,,X","5","","19550904",",,X","19550910","+,,X","22.2",",X,04,","0",",,X,30,+","0",",,X,30,+","104.4",",,X,04,","31.7",",X,10,+","0.0","X","0.0",",X","230.0",",,,X","0",",,,X","27.60",",X","30.30",",,,X","24.90",",,,X"
"BFW00012716","1955-10","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","251.3",",X","15",",X","8",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","19551017",",,X","19551031","+,,X","19551031","+,,X","4","","19551001",",,X","19551002",",,X","20.6",",X,17,","0",",,X,31,+","0",",,X,31,+","31.2",",,X,01,","31.1",",X,02,","0.0","X","0.0",",X","133.2",",,,X","0",",,,X","26.44",",X","29.18",",,,X","23.70",",,,X"
"BFW00012716","1955-11","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","186.6",",X","7",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","19551107",",,X","19551130","+,,X","19551130","+,,X","","","19551101",",,X","19551126","+,,X","18.9",",X,07,","0",",,X,30,+","0",",,X,30,+","18.3",",,X,01,","28.9",",X,26,+","0.0","X","0.0",",X","21.0",",,,X","0",",,,X","24.55",",X","27.39",",,,X","21.71",",,,X"
"BFW00012716","1955-12","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","11",",X","2",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19551231","+,,X","19551231","+,,X","","","19551214",",,X","","","","","0",",,X,31,+","0",",,X,31,+","16.3",",,X,14,","","","","","","","32.2",",,,X","0",",,,X","","","","","",""
