"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085195","2002-02","-16.267","-62.467","520.0","SAN JAVIER, BL","","","","","","","","","0","3,S","24","3,S","0","3,S","","","20020225",",3,S","","","31.3","3,S,25,","","","","","","","27.69","3,,,S","",""
"BLM00085195","2002-09","-16.267","-62.467","520.0","SAN JAVIER, BL","","","156.3","3,S","0","3,S","0","3,S","0","3,S","25","3,S","7","3,S","20020908",",3,S","20020927",",3,S","13.0","3,S,08,","34.4","3,S,27,","","","0.5","3,S","24.10","3,S","29.75","3,,,S","18.46","3,,,S"
"BLM00085195","2002-11","-16.267","-62.467","520.0","SAN JAVIER, BL","","","","","0","5,S","0","5,S","","","","","","","20021104",",5,S","","","14.8","5,S,04,","","","","","","","","","","","21.22","5,,,S"
"BLM00085195","2003-01","-16.267","-62.467","520.0","SAN JAVIER, BL","","","180.5","5,S","0","5,S","0","5,S","0","4,S","26","4,S","0","4,S","20030124",",5,S","20030131",",4,S","17.4","5,S,24,","31.7","4,S,31,","0.0","S","0.0","4,S","25.28","5,S","28.91","4,,,S","21.65","5,,,S"
"BLM00085195","2003-07","-16.267","-62.467","520.0","SAN JAVIER, BL","","","","","0","5,S","0","5,S","0","4,S","24","4,S","0","4,S","20030717",",5,S","20030720",",4,S","9.0","5,S,17,","30.6","4,S,20,","","","","","20.23","6,S","26.67","4,,,S","13.78","5,,,S"
"BLM00085195","2004-02","-16.267","-62.467","520.0","SAN JAVIER, BL","","","153.0","5,S","0","5,S","0","5,S","0","5,S","24","5,S","4","5,S","20040223",",5,S","20040227",",5,S","16.0","5,S,23,","34.3","5,S,27,","","","0.0","5,S","24.71","5,S","29.21","5,,,S","20.21","5,,,S"
"BLM00085195","2004-10","-16.267","-62.467","520.0","SAN JAVIER, BL","","","","","","","","","0","5,S","26","5,S","9","5,S","","","20041007",",5,S","","","36.1","5,S,07,","","","","","","","30.51","5,,,S","",""
"BLM00085195","2005-02","-16.267","-62.467","520.0","SAN JAVIER, BL","","","","","0","5,S","0","5,S","","","","","","","20050201",",5,S","","","14.8","5,S,01,","","","","","","","","","","","20.87","5,,,S"
"BLM00085195","2005-03","-16.267","-62.467","520.0","SAN JAVIER, BL","","","","","","","","","0","5,S","26","5,S","2","5,S","","","20050306",",5,S","","","33.6","5,S,06,","","","","","","","29.98","5,,,S","",""
"BLM00085195","2005-04","-16.267","-62.467","520.0","SAN JAVIER, BL","","","","","","","","","0","5,S","20","5,S","1","5,S","","","20050409",",5,S","","","32.6","5,S,09,","","","","","","","27.06","5,,,S","",""
