"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085244","1984-08","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","4","5,S","3","5,S","1","5,S","","","","","","","","","","","","","19840824",",5,S","","","","","78.0","5,,S,24,","","","","","111.5","5,,,S","","","","","",""
"BLM00085244","1984-09","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","3","2,S","3","2,S","1","2,S","","","","","","","","","","","","","19840926",",2,S","","","","","50.0","2,,S,26,","","","","","66.8","2,,,S","","","","","",""
"BLM00085244","1984-10","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","8","3,S","7","3,S","1","3,S","","","","","","","","","","","","","19841023",",3,S","","","","","39.1","3,,S,23,","","","","","107.9","3,,,S","","","","","",""
"BLM00085244","1984-11","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","9","4,S","7","4,S","1","4,S","","","","","","","","","","","","","19841118",",4,S","","","","","77.0","4,,S,18,","","","","","159.9","4,,,S","","","","","",""
"BLM00085244","1984-12","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","11","1,S","10","1,S","8","1,S","","","","","","","","","","","","","19841201",",1,S","","","","","87.9","1,,S,01,","","","","","478.1","1,,,S","","","","","",""
"BLM00085244","1985-02","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","6",",S","2",",S","0",",S","","","","","","","","","","","","","19850204",",,S","","","","","4.1",",,S,04,","","","","","11.4",",,,S","","","","","",""
"BLM00085244","1985-04","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","8","2,S","6","2,S","2","2,S","","","","","","","","","","","","","19850407",",2,S","","","","","82.0","2,,S,07,","","","","","171.7","2,,,S","","","","","",""
"BLM00085244","1985-05","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","3",",S","1",",S","0",",S","","","","","","","","","","","","","19850520",",,S","","","","","9.9",",,S,20,","","","","","12.2",",,,S","","","","","",""
"BLM00085244","1985-07","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","5","3,S","4","3,S","2","3,S","","","","","","","","","","","","","19850701",",3,S","","","","","31.0","3,,S,01,","","","","","76.5","3,,,S","","","","","",""
"BLM00085244","1985-08","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","3",",S","2",",S","0",",S","","","","","","","","","","","","","19850801",",,S","","","","","10.9",",,S,01,","","","","","15.9",",,,S","","","","","",""
"BLM00085244","1985-10","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","3","2,S","3","2,S","0","2,S","","","","","","","","","","","","","19851026",",2,S","","","","","9.9","2,,S,26,","","","","","17.0","2,,,S","","","","","",""
"BLM00085244","1985-11","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","2","2,S","2","2,S","1","2,S","","","","","","","","","","","","","19851125",",2,S","","","","","39.9","2,,S,25,","","","","","46.0","2,,,S","","","","","",""
"BLM00085244","1986-01","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","8","5,S","5","5,S","2","5,S","","","","","","","","","","","","","19860129",",5,S","","","","","199.9","5,,S,29,","","","","","323.5","5,,,S","","","","","",""
"BLM00085244","1986-02","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","7","2,S","5","2,S","2","2,S","","","","","","","","","","","","","19860222",",2,S","","","","","42.2","2,,S,22,","","","","","99.5","2,,,S","","","","","",""
"BLM00085244","1986-03","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","12","5,S","7","5,S","3","5,S","","","","","","","","","","","","","19860312",",5,S","","","","","32.0","5,,S,12,","","","","","139.5","5,,,S","","","","","",""
"BLM00085244","1986-07","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","5","4,S","3","4,S","1","4,S","","","","","","","","","","","","","19860717",",4,S","","","","","29.0","4,,S,17,","","","","","61.0","4,,,S","","","","","",""
"BLM00085244","1986-08","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","3","5,S","2","5,S","1","5,S","","","","","","","","","","","","","19860811",",5,S","","","","","27.9","5,,S,11,","","","","","33.5","5,,,S","","","","","",""
"BLM00085244","1987-06","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","3","3,S","3","3,S","1","3,S","","","","","","","","","","","","","19870606",",3,S","","","","","158.0","3,,S,06,","","","","","170.0","3,,,S","","","","","",""
"BLM00085244","1987-07","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","1","2,S","1","2,S","1","2,S","","","","","","","","","","","","","19870728",",2,S","","","","","137.9","2,,S,28,","","","","","137.9","2,,,S","","","","","",""
"BLM00085244","1987-08","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","3",",S","2",",S","1",",S","","","","","","","","","","","","","19870806",",,S","","","","","45.0",",,S,06,","","","","","64.4",",,,S","","","","","",""
"BLM00085244","1987-09","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","3","4,S","0","4,S","0","4,S","","","","","","","","","","","","","19870908","+,4,S","","","","","2.0","4,,S,08,+","","","","","5.0","4,,,S","","","","","",""
"BLM00085244","1987-10","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","12","1,S","7","1,S","1","1,S","","","","","","","","","","","","","19871009",",1,S","","","","","54.1","1,,S,09,","","","","","132.9","1,,,S","","","","","",""
"BLM00085244","1987-11","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","4","4,S","4","4,S","1","4,S","","","","","","","","","","","","","19871125",",4,S","","","","","53.1","4,,S,25,","","","","","77.0","4,,,S","","","","","",""
"BLM00085244","1987-12","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","16","1,S","11","1,S","5","1,S","","","","","0","2,S","29","2,S","8","2,S","","","19871201",",1,S","19871222","+,2,S","","","119.1","1,,S,01,","33.5","2,S,22,+","","","376.7","1,,,S","","","30.40","2,,,S","",""
"BLM00085244","1988-02","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","5",",S","4",",S","0",",S","","","","","0","5,S","24","5,S","18","5,S","","","19880218",",,S","19880227","+,5,S","","","20.1",",,S,18,","36.0","5,S,27,+","","","66.3",",,,S","","","32.95","5,,,S","",""
"BLM00085244","1988-03","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","16",",S","10",",S","0",",S","","","","","","","","","","","","","19880327",",,S","","","","","24.9",",,S,27,","","","","","129.7",",,,S","","","","","",""
