"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085245","1958-12","-17.812","-63.171","417.9","EL TROMPILLO, BL","","","","","21","4,S","15","4,S","5","4,S","","","","","","","","","","","","","19581224",",4,S","","","","","87.1","4,,S,24,","","","","","","","391.9","4,,,S","","","","","",""
"BLM00085245","1959-07","-17.812","-63.171","417.9","EL TROMPILLO, BL","","","","","","","","","","","0","5,S","0","5,S","","","","","","","19590717",",5,S","","","","","11.7","5,S,17,","","","","","","","","","","","","","","","18.18","5,,,S"
"BLM00085245","1959-09","-17.812","-63.171","417.9","EL TROMPILLO, BL","","","","","","","","","","","0","5,S","0","5,S","","","","","","","19590901",",5,S","","","","","11.1","5,S,01,","","","","","","","","","","","","","","","17.27","5,,,S"
"BLM00085245","1976-10","-17.812","-63.171","417.9","EL TROMPILLO, BL","","","","","8","2,S","7","2,S","0","2,S","","","","","","","","","","","","","19761009",",2,S","","","","","20.1","2,,S,09,","","","","","","","106.2","2,,,S","","","","","",""
"BLM00085245","1976-11","-17.812","-63.171","417.9","EL TROMPILLO, BL","","","","","6","3,S","6","3,S","1","3,S","","","","","","","","","","","","","19761102",",3,S","","","","","29.0","3,,S,02,","","","","","","","62.2","3,,,S","","","","","",""
"BLM00085245","1976-12","-17.812","-63.171","417.9","EL TROMPILLO, BL","","","","","11","4,S","9","4,S","5","4,S","","","","","","","","","","","","","19761223",",4,S","","","","","427.0","4,,S,23,","","","","","","","773.7","4,,,S","","","","","",""
"BLM00085245","1977-01","-17.812","-63.171","417.9","EL TROMPILLO, BL","","","","","15","3,S","13","3,S","4","3,S","","","","","","","","","","","","","19770124",",3,S","","","","","157.0","3,,S,24,","","","","","","","340.7","3,,,S","","","","","",""
"BLM00085245","1977-02","-17.812","-63.171","417.9","EL TROMPILLO, BL","","","","","10","2,S","6","2,S","1","2,S","","","","","","","","","","","","","19770207",",2,S","","","","","31.0","2,,S,07,","","","","","","","83.4","2,,,S","","","","","",""
"BLM00085245","1977-03","-17.812","-63.171","417.9","EL TROMPILLO, BL","","","","","7","4,S","6","4,S","1","4,S","","","","","","","","","","","","","19770325",",4,S","","","","","300.0","4,,S,25,","","","","","","","385.9","4,,,S","","","","","",""
"BLM00085245","1977-06","-17.812","-63.171","417.9","EL TROMPILLO, BL","","","","","2","3,S","1","3,S","0","3,S","","","","","","","","","","","","","19770622",",3,S","","","","","6.1","3,,S,22,","","","","","","","8.1","3,,,S","","","","","",""
