"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BMM00048112","1960-01","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","0","3,S","0","3,S","0","5,S","26","5,S","5","5,S","19600105",",3,S","19600128","+,5,S","17.8","3,S,05,","32.2","5,S,28,+","","","","","26.29","6,S","30.08","5,,,S","22.49","3,,,S"
"BMM00048112","1960-04","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","","","","","0","5,S","25","5,S","20","5,S","","","19600427","+,5,S","","","32.8","5,S,27,+","","","","","","","32.27","5,,,S","",""
"BMM00048112","1960-10","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","","","","","0","5,S","26","5,S","0","5,S","","","19601031","+,5,S","","","31.1","5,S,31,+","","","","","","","28.89","5,,,S","",""
"BMM00048112","1960-11","9.967","98.583","47.0","VICTORIA POINT, BM","","","191.4","5,S","0","4,S","0","4,S","0","4,S","26","4,S","0","4,S","19601129","+,4,S","19601130","+,4,S","22.2","4,S,29,+","31.1","4,S,30,+","","","0.0","4,S","25.98","5,S","28.94","4,,,S","23.03","4,,,S"
"BMM00048112","1960-12","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","0","5,S","0","5,S","0","3,S","28","3,S","0","3,S","19601215",",5,S","19601229","+,3,S","21.1","5,S,15,","31.1","3,S,29,+","","","","","26.20","6,S","29.53","3,,,S","22.87","5,,,S"
"BMM00048112","2010-09","9.967","98.583","47.0","VICTORIA POINT, BM","","","167.6","5,S","0","2,S","0","2,S","0","4,S","26","4,S","14","4,S","20100919",",2,S","20100909",",4,S","16.5","2,S,19,","34.5","4,S,09,","","","0.0","4,S","25.03","5,S","31.92","4,,,S","18.15","2,,,S"
"BMM00048112","2010-10","9.967","98.583","47.0","VICTORIA POINT, BM","","","148.4","1,S","0","1,S","0","1,S","0",",S","31",",S","6",",S","20101031",",1,S","20101022",",,S","14.6","1,S,31,","33.5",",S,22,","","","0.0",",S","23.33","1,S","30.14",",,,S","16.51","1,,,S"
"BMM00048112","2010-12","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","0","5,S","0","5,S","0","2,S","29","2,S","3","2,S","20101208",",5,S","20101213",",2,S","15.2","5,S,08,","33.5","2,S,13,","","","","","24.86","6,S","30.31","2,,,S","19.41","5,,,S"
"BMM00048112","2011-01","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","0","5,S","0","5,S","0","4,S","27","4,S","2","4,S","20110121",",5,S","20110114","+,4,S","18.5","5,S,21,","32.2","4,S,14,+","","","","","25.80","6,S","30.46","4,,,S","21.14","5,,,S"
"BMM00048112","2011-02","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","","","","","0","5,S","23","5,S","19","5,S","","","20110217",",5,S","","","35.7","5,S,17,","","","","","","","33.89","5,,,S","",""
"BMM00048112","2011-07","9.967","98.583","47.0","VICTORIA POINT, BM","","","222.4","4,S","0","4,S","0","4,S","0","2,S","29","2,S","10","2,S","20110723","+,4,S","20110707",",2,S","21.0","4,S,23,+","34.1","2,S,07,","0.0","S","0.0","2,S","26.47","4,S","30.00","2,,,S","22.93","4,,,S"
"BMM00048112","2011-08","9.967","98.583","47.0","VICTORIA POINT, BM","","","232.6","4,S","0","1,S","0","1,S","0","3,S","28","3,S","16","3,S","20110828","+,1,S","20110808",",3,S","20.0","1,S,28,+","34.2","3,S,08,","0.0","S","0.0","3,S","26.98","4,S","31.69","3,,,S","22.27","1,,,S"
"BMM00048112","2011-09","9.967","98.583","47.0","VICTORIA POINT, BM","","","198.1",",S","0",",S","0",",S","0",",S","30",",S","6",",S","20110930","+,,S","20110907","+,,S","19.0",",S,30,+","33.0",",S,07,+","0.0","S","0.0",",S","24.94",",S","29.65",",,,S","20.22",",,,S"
"BMM00048112","2011-10","9.967","98.583","47.0","VICTORIA POINT, BM","","","193.6","3,S","0","2,S","0","2,S","0","3,S","28","3,S","12","3,S","20111027","+,2,S","20111017",",3,S","19.0","2,S,27,+","33.5","3,S,17,","0.0","S","0.0","3,S","25.24","3,S","30.68","3,,,S","19.80","2,,,S"
"BMM00048112","2011-11","9.967","98.583","47.0","VICTORIA POINT, BM","","","214.6","1,S","0",",S","0",",S","0","1,S","29","1,S","14","1,S","20111112",",,S","20111126",",1,S","18.5",",S,12,","34.5","1,S,26,","0.0","S","0.0","1,S","25.73","1,S","31.79","1,,,S","19.68",",,,S"
"BMM00048112","2011-12","9.967","98.583","47.0","VICTORIA POINT, BM","","","159.7","4,S","0","4,S","0","4,S","0","4,S","27","4,S","1","4,S","20111213",",4,S","20111201",",4,S","16.5","4,S,13,","32.3","4,S,01,","0.0","S","0.0","4,S","24.25","4,S","29.89","4,,,S","18.61","4,,,S"
"BMM00048112","2012-01","9.967","98.583","47.0","VICTORIA POINT, BM","159.7","S","159.7","5,S","0","5,S","0","5,S","0","2,S","29","2,S","6","2,S","20120103",",5,S","20120124","+,2,S","16.6","5,S,03,","33.1","2,S,24,+","0.0","S","0.0","2,S","24.51","5,S","30.72","2,,,S","18.31","5,,,S"
"BMM00048112","2012-02","9.967","98.583","47.0","VICTORIA POINT, BM","360.5","S","200.8","3,S","0","2,S","0","2,S","0","2,S","27","2,S","24","2,S","20120222",",2,S","20120227",",2,S","17.0","2,S,22,","36.5","2,S,27,","0.0","S","0.0","2,S","26.08","3,S","33.53","2,,,S","18.62","2,,,S"
"BMM00048112","2012-05","9.967","98.583","47.0","VICTORIA POINT, BM","","","168.7","4,S","0","4,S","0","4,S","0","4,S","27","4,S","11","4,S","20120516",",4,S","20120501",",4,S","13.5","4,S,16,","36.0","4,S,01,","","","0.0","4,S","24.58","4,S","31.33","4,,,S","17.83","4,,,S"
"BMM00048112","2012-06","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","0","4,S","0","4,S","","","","","","","20120606",",4,S","","","17.5","4,S,06,","","","","","","","","","","","20.33","4,,,S"
"BMM00048112","2012-09","9.967","98.583","47.0","VICTORIA POINT, BM","","","196.6","3,S","0","1,S","0","1,S","0","3,S","27","3,S","4","3,S","20120915",",1,S","20120904","+,3,S","18.1","1,S,15,","33.2","3,S,04,+","","","0.0","3,S","25.63","3,S","29.30","3,,,S","21.97","1,,,S"
"BMM00048112","2012-10","9.967","98.583","47.0","VICTORIA POINT, BM","","","216.9","4,S","0","1,S","0","1,S","0","4,S","27","4,S","14","4,S","20121023",",1,S","20121030",",4,S","19.0","1,S,23,","34.2","4,S,30,","","","0.0","4,S","26.34","4,S","31.59","4,,,S","21.09","1,,,S"
"BMM00048112","2012-11","9.967","98.583","47.0","VICTORIA POINT, BM","","","194.5","4,S","0","3,S","0","3,S","0","4,S","26","4,S","16","4,S","20121104",",3,S","20121116",",4,S","19.0","3,S,04,","33.5","4,S,16,","","","0.0","4,S","25.81","4,S","31.55","4,,,S","20.07","3,,,S"
"BMM00048112","2012-12","9.967","98.583","47.0","VICTORIA POINT, BM","","","188.7","5,S","0","3,S","0","3,S","0","3,S","28","3,S","5","3,S","20121209","+,3,S","20121229",",3,S","19.0","3,S,09,+","32.7","3,S,29,","","","0.0","3,S","25.62","5,S","31.06","3,,,S","20.17","3,,,S"
"BMM00048112","2013-01","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","0","4,S","0","4,S","","","","","","","20130115","+,4,S","","","18.0","4,S,15,+","","","","","","","","","","","19.62","4,,,S"
"BMM00048112","2013-02","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","0","4,S","0","4,S","","","","","","","20130209",",4,S","","","19.1","4,S,09,","","","","","","","","","","","21.63","4,,,S"
"BMM00048112","2013-03","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","","","","","0","5,S","26","5,S","25","5,S","","","20130323",",5,S","","","38.2","5,S,23,","","","","","","","35.87","5,,,S","",""
"BMM00048112","2013-05","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","0","3,S","0","3,S","","","","","","","20130528","+,3,S","","","22.5","3,S,28,+","","","","","","","","","","","23.98","3,,,S"
"BMM00048112","2013-06","9.967","98.583","47.0","VICTORIA POINT, BM","","","","","0","2,S","0","2,S","","","","","","","20130617",",2,S","","","21.6","2,S,17,","","","","","","","","","","","23.25","2,,,S"
