"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BN000005306","1945-01","11.13","2.93","290.0","KANDI, BN","","","","","0","5,I","0","5,I","0","5,I","","","","","","","","","","","","","19450131","+,5,I","","","","","0.0","5,,I,31,+","","","","","","","0.0","5,,,I","","","","","",""
"BN000005306","1945-02","11.13","2.93","290.0","KANDI, BN","","","228.6",",I","0",",I","0",",I","0",",I","0",",I","0",",I","0",",I","28",",I","22",",I","19450205",",,I","19450228","+,,I","19450227",",,I","14.6",",I,05,","0.0",",,I,28,+","39.7",",I,27,","","","0.0",",I","0.0",",,,I","26.50",",I","34.92",",,,I","18.08",",,,I"
"BN000005306","1945-03","11.13","2.93","290.0","KANDI, BN","","","346.0","1,I","0","1,I","0","1,I","0","1,I","0","1,I","0","1,I","0","1,I","30","1,I","30","1,I","19450303",",1,I","19450331","+,1,I","19450330",",1,I","15.9","1,I,03,","0.0","1,,I,31,+","40.5","1,I,30,","","","0.0","1,I","0.0","1,,,I","29.87","1,I","37.84","1,,,I","21.89","1,,,I"
"BN000005306","1945-04","11.13","2.93","290.0","KANDI, BN","","","","","1","5,I","1","5,I","0","5,I","","","","","","","","","","","","","19450417",",5,I","","","","","3.2","5,,I,17,","","","","","","","3.4","5,,,I","","","","","",""
"BN000005306","1945-05","11.13","2.93","290.0","KANDI, BN","","","378.8",",I","11",",I","6",",I","0",",I","0",",I","0",",I","0",",I","31",",I","28",",I","19450526","+,,I","19450525",",,I","19450521",",,I","20.8",",I,26,+","23.0",",,I,25,","40.2",",I,21,","","","0.0",",I","81.1",",,,I","30.55",",I","36.51",",,,I","24.59",",,,I"
"BN000005306","1945-06","11.13","2.93","290.0","KANDI, BN","","","296.0",",I","9",",I","7",",I","0",",I","0",",I","0",",I","0",",I","30",",I","23",",I","19450621",",,I","19450623",",,I","19450604",",,I","20.3",",I,21,","22.5",",,I,23,","37.1",",I,04,","","","0.0",",I","107.3",",,,I","28.20",",I","33.57",",,,I","22.83",",,,I"
"BN000005306","1945-07","11.13","2.93","290.0","KANDI, BN","","","213.7","5,I","12","5,I","7","5,I","2","5,I","0","5,I","0","5,I","0","5,I","26","5,I","8","5,I","19450701",",5,I","19450730",",5,I","19450713","+,5,I","19.5","5,I,01,","55.7","5,,I,30,","33.6","5,I,13,+","0.0","I","0.0","5,I","148.4","5,,,I","26.55","5,I","30.96","5,,,I","22.14","5,,,I"
"BN000005306","1945-08","11.13","2.93","290.0","KANDI, BN","","","212.0",",I","22",",I","19",",I","5",",I","0",",I","0",",I","0",",I","31",",I","0",",I","19450820",",,I","19450815",",,I","19450827",",,I","20.0",",I,20,","74.0",",,I,15,","31.3",",I,27,","0.0","I","0.0",",I","446.7",",,,I","25.17",",I","28.71",",,,I","21.63",",,,I"
"BN000005306","1945-09","11.13","2.93","290.0","KANDI, BN","","","243.9",",I","12",",I","10",",I","2",",I","0",",I","0",",I","0",",I","30",",I","9",",I","19450912",",,I","19450919",",,I","19450925",",,I","19.2",",I,12,","91.9",",,I,19,","33.5",",I,25,","0.0","I","0.0",",I","214.5",",,,I","26.46",",I","31.22",",,,I","21.70",",,,I"
"BN000005306","1945-10","11.13","2.93","290.0","KANDI, BN","","","279.3",",I","9",",I","6",",I","1",",I","0",",I","0",",I","0",",I","31",",I","27",",I","19451030","+,,I","19451007",",,I","19451025",",,I","17.6",",I,30,+","45.0",",,I,07,","36.3",",I,25,","0.0","I","0.0",",I","85.0",",,,I","27.34",",I","33.61",",,,I","21.07",",,,I"
