"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BNM00065338","1973-09","7.167","2.067","167.0","BOHICON, BN","","","","","12","5,S","10","5,S","3","5,S","","","","","","","","","","","","","19730913",",5,S","","","","","53.1","5,,S,13,","","","","","","","198.1","5,,,S","","","","","",""
"BNM00065338","1974-08","7.167","2.067","167.0","BOHICON, BN","","","","","8","5,S","7","5,S","0","5,S","","","","","0","5,S","26","5,S","0","5,S","","","19740831",",5,S","19740830","+,5,S","","","16.0","5,,S,31,","32.0","5,S,30,+","","","","","59.5","5,,,S","","","30.12","5,,,S","",""
"BNM00065338","1975-07","7.167","2.067","167.0","BOHICON, BN","","","","","","","","","","","","","","","0","3,S","28","3,S","0","3,S","","","","","19750710","+,3,S","","","","","32.0","3,S,10,+","","","","","","","","","29.21","3,,,S","",""
"BNM00065338","1975-09","7.167","2.067","167.0","BOHICON, BN","","","168.7","5,S","","","","","","","0","4,S","0","4,S","0","4,S","26","4,S","3","4,S","19750914",",4,S","","","19750921","+,4,S","19.0","4,S,14,","","","33.0","4,S,21,+","","","0.0","4,S","","","25.06","5,S","29.54","4,,,S","20.58","4,,,S"
"BNM00065338","1975-10","7.167","2.067","167.0","BOHICON, BN","","","240.2","3,S","","","","","","","0","2,S","0","2,S","0","3,S","28","3,S","15","3,S","19751027","+,2,S","","","19751017","+,3,S","20.0","2,S,27,+","","","34.0","3,S,17,+","","","0.0","3,S","","","26.88","3,S","32.18","3,,,S","21.59","2,,,S"
"BNM00065338","1975-11","7.167","2.067","167.0","BOHICON, BN","","","","","","","","","","","0","3,S","0","3,S","","","","","","","19751118","+,3,S","","","","","21.0","3,S,18,+","","","","","","","","","","","","","","","22.52","3,,,S"
"BNM00065338","1975-12","7.167","2.067","167.0","BOHICON, BN","","","","","","","","","","","0","2,S","0","2,S","","","","","","","19751212",",2,S","","","","","18.0","2,S,12,","","","","","","","","","","","","","","","21.72","2,,,S"
"BNM00065338","1976-01","7.167","2.067","167.0","BOHICON, BN","","","","","","","","","","","0","3,S","0","3,S","0","4,S","27","4,S","27","4,S","19760122",",3,S","","","19760131",",4,S","16.0","3,S,22,","","","38.0","4,S,31,","","","","","","","27.88","6,S","34.44","4,,,S","21.32","3,,,S"
"BNM00065338","1976-02","7.167","2.067","167.0","BOHICON, BN","","","","","","","","","","","0","5,S","0","5,S","","","","","","","19760209",",5,S","","","","","20.0","5,S,09,","","","","","","","","","","","","","","","23.00","5,,,S"
"BNM00065338","1976-04","7.167","2.067","167.0","BOHICON, BN","","","","","","","","","","","","","","","0","5,S","25","5,S","16","5,S","","","","","19760407","+,5,S","","","","","36.0","5,S,07,+","","","","","","","","","32.60","5,,,S","",""
"BNM00065338","1976-06","7.167","2.067","167.0","BOHICON, BN","","","","","","","","","","","0","4,S","0","4,S","","","","","","","19760616",",4,S","","","","","19.0","4,S,16,","","","","","","","","","","","","","","","22.00","4,,,S"
"BNM00065338","1976-09","7.167","2.067","167.0","BOHICON, BN","","","","","","","","","","","","","","","0","3,S","27","3,S","16","3,S","","","","","19760927","+,3,S","","","","","34.0","3,S,27,+","","","","","","","","","31.96","3,,,S","",""
"BNM00065338","1976-11","7.167","2.067","167.0","BOHICON, BN","","","239.3","4,S","5","1,S","2","1,S","0","1,S","0","3,S","0","3,S","0","1,S","29","1,S","21","1,S","19761130","+,3,S","19761109",",1,S","19761126","+,1,S","20.0","3,S,30,+","6.1","1,,S,09,","35.0","1,S,26,+","","","0.0","1,S","11.6","1,,,S","27.58","4,S","33.28","1,,,S","21.89","3,,,S"
"BNM00065338","1976-12","7.167","2.067","167.0","BOHICON, BN","","","","","1","5,S","1","5,S","1","5,S","0","5,S","0","5,S","","","","","","","19761203","+,5,S","19761221",",5,S","","","19.0","5,S,03,+","70.1","5,,S,21,","","","","","","","70.1","5,,,S","","","","","21.81","5,,,S"
"BNM00065338","1977-01","7.167","2.067","167.0","BOHICON, BN","","","","","","","","","","","","","","","0","4,S","27","4,S","26","4,S","","","","","19770122",",4,S","","","","","37.0","4,S,22,","","","","","","","","","34.52","4,,,S","",""
"BNM00065338","1977-02","7.167","2.067","167.0","BOHICON, BN","","","","","2","3,S","1","3,S","0","3,S","0","4,S","0","4,S","0","3,S","25","3,S","25","3,S","19770208","+,4,S","19770204",",3,S","19770225","+,3,S","22.0","4,S,08,+","5.1","3,,S,04,","38.0","3,S,25,+","","","","","7.1","3,,,S","29.89","6,S","36.08","3,,,S","23.71","4,,,S"
"BNM00065338","1977-03","7.167","2.067","167.0","BOHICON, BN","","","327.5","4,S","2","3,S","1","3,S","0","3,S","0","3,S","0","3,S","0","4,S","27","4,S","25","4,S","19770326",",3,S","19770331",",3,S","19770326",",4,S","22.0","3,S,26,","5.1","3,,S,31,","39.0","4,S,26,","","","0.0","4,S","6.1","3,,,S","30.44","4,S","36.63","4,,,S","24.25","3,,,S"
"BNM00065338","1977-04","7.167","2.067","167.0","BOHICON, BN","","","289.8","4,S","9","1,S","7","1,S","1","1,S","0","3,S","0","3,S","0","1,S","29","1,S","26","1,S","19770420",",3,S","19770420",",1,S","19770411","+,1,S","20.0","3,S,20,","36.1","1,,S,20,","38.0","1,S,11,+","","","0.0","1,S","80.2","1,,,S","29.55","4,S","35.17","1,,,S","23.93","3,,,S"
"BNM00065338","1977-06","7.167","2.067","167.0","BOHICON, BN","","","","","9","4,S","8","4,S","2","4,S","0","5,S","0","5,S","0","3,S","27","3,S","7","3,S","19770621",",5,S","19770620",",4,S","19770608","+,3,S","20.0","5,S,21,","59.9","4,,S,20,","34.0","3,S,08,+","","","","","152.9","4,,,S","26.79","7,S","31.30","3,,,S","22.28","5,,,S"
