"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BOM00026745","1955-01","54.483","26.9","183.0","VILEYKA, BO","14",",I","4",",I","0",",I","","","","","19550112",",,I","","","6.2",",,I,12,","28.1",",,,I"
"BOM00026745","1955-02","54.483","26.9","183.0","VILEYKA, BO","12",",I","6",",I","0",",I","","","","","19550222",",,I","","","8.9",",,I,22,","37.7",",,,I"
"BOM00026745","1955-03","54.483","26.9","183.0","VILEYKA, BO","11",",I","4",",I","0",",I","","","","","19550327",",,I","","","7.8",",,I,27,","25.0",",,,I"
"BOM00026745","1955-04","54.483","26.9","183.0","VILEYKA, BO","15",",I","8",",I","0",",I","","","","","19550420",",,I","","","7.1",",,I,20,","44.9",",,,I"
"BOM00026745","1955-05","54.483","26.9","183.0","VILEYKA, BO","17",",I","10",",I","1",",I","","","","","19550520",",,I","","","25.6",",,I,20,","81.2",",,,I"
"BOM00026745","1955-06","54.483","26.9","183.0","VILEYKA, BO","9",",I","2",",I","0",",I","","","","","19550611",",,I","","","16.3",",,I,11,","26.3",",,,I"
"BOM00026745","1955-07","54.483","26.9","183.0","VILEYKA, BO","12",",I","9",",I","0",",I","","","","","19550710",",,I","","","13.4",",,I,10,","75.9",",,,I"
"BOM00026745","1955-08","54.483","26.9","183.0","VILEYKA, BO","5",",I","4",",I","0",",I","","","","","19550821",",,I","","","10.6",",,I,21,","32.9",",,,I"
"BOM00026745","1955-09","54.483","26.9","183.0","VILEYKA, BO","14",",I","8",",I","0",",I","","","","","19550919",",,I","","","11.1",",,I,19,","57.7",",,,I"
"BOM00026745","1955-10","54.483","26.9","183.0","VILEYKA, BO","8",",I","5",",I","0",",I","","","","","19551025",",,I","","","8.9",",,I,25,","29.0",",,,I"
"BOM00026745","1955-11","54.483","26.9","183.0","VILEYKA, BO","13",",I","3",",I","0",",I","","","","","19551111",",,I","","","8.7",",,I,11,","23.5",",,,I"
"BOM00026745","1955-12","54.483","26.9","183.0","VILEYKA, BO","21",",I","9",",I","0",",I","","","","","19551206",",,I","","","8.9",",,I,06,","55.4",",,,I"
"BOM00026745","1956-02","54.483","26.9","183.0","VILEYKA, BO","12",",I","5",",I","0",",I","","","","","19560213",",,I","","","8.3",",,I,13,","28.9",",,,I"
"BOM00026745","1956-03","54.483","26.9","183.0","VILEYKA, BO","9",",I","3",",I","0",",I","","","","","19560307",",,I","","","4.7",",,I,07,","17.3",",,,I"
"BOM00026745","1956-04","54.483","26.9","183.0","VILEYKA, BO","17",",I","9",",I","0",",I","","","","","19560407",",,I","","","8.1",",,I,07,","56.5",",,,I"
"BOM00026745","1956-05","54.483","26.9","183.0","VILEYKA, BO","11",",I","4",",I","0",",I","","","","","19560518",",,I","","","10.0",",,I,18,","30.5",",,,I"
"BOM00026745","1956-06","54.483","26.9","183.0","VILEYKA, BO","15",",I","10",",I","0",",I","","","","","19560611",",,I","","","10.7",",,I,11,","65.3",",,,I"
"BOM00026745","1956-07","54.483","26.9","183.0","VILEYKA, BO","14",",I","7",",I","0",",I","","","","","19560706",",,I","","","12.1",",,I,06,","44.0",",,,I"
