"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BOM00026950","1959-07","52.6","28.9","141.0","OKTYABR, BO","5",",I","4",",I","0",",I","19590728",",,I","15.5",",,I,28,","37.9",",,,I"
"BOM00026950","1959-08","52.6","28.9","141.0","OKTYABR, BO","13",",I","7",",I","1",",I","19590802",",,I","25.7",",,I,02,","63.2",",,,I"
"BOM00026950","1959-09","52.6","28.9","141.0","OKTYABR, BO","13","1,I","5","1,I","0","1,I","19590928",",1,I","10.7","1,,I,28,","32.4","1,,,I"
"BOM00026950","1959-10","52.6","28.9","141.0","OKTYABR, BO","9","3,I","4","3,I","0","3,I","19591023",",3,I","9.2","3,,I,23,","26.0","3,,,I"
"BOM00026950","1960-01","52.6","28.9","141.0","OKTYABR, BO","11","1,I","4","1,I","0","1,I","19600114",",1,I","5.6","1,,I,14,","24.7","1,,,I"
"BOM00026950","1960-02","52.6","28.9","141.0","OKTYABR, BO","10",",I","2",",I","0",",I","19600214",",,I","4.4",",,I,14,","17.7",",,,I"
"BOM00026950","1960-03","52.6","28.9","141.0","OKTYABR, BO","2","1,I","1","1,I","0","1,I","19600318",",1,I","2.7","1,,I,18,","3.1","1,,,I"
"BOM00026950","1960-04","52.6","28.9","141.0","OKTYABR, BO","8","2,I","4","2,I","0","2,I","19600426",",2,I","16.1","2,,I,26,","34.0","2,,,I"
"BOM00026950","1960-05","52.6","28.9","141.0","OKTYABR, BO","11",",I","6",",I","0",",I","19600525",",,I","24.3",",,I,25,","65.8",",,,I"
"BOM00026950","1960-06","52.6","28.9","141.0","OKTYABR, BO","11",",I","7",",I","0",",I","19600626",",,I","11.5",",,I,26,","53.9",",,,I"
"BOM00026950","1960-07","52.6","28.9","141.0","OKTYABR, BO","12","1,I","7","1,I","1","1,I","19600722",",1,I","27.1","1,,I,22,","65.4","1,,,I"
