"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BOM00033027","1936-01","52.217","27.867","137.0","ZHITCKOVICHI, BO","","","13",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19360111",",,I","","","","","","","11.8",",,I,11,","","","","","","","51.7",",,,I","","","","","",""
"BOM00033027","1936-02","52.217","27.867","137.0","ZHITCKOVICHI, BO","","","10",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19360206",",,I","","","","","","","6.7",",,I,06,","","","","","","","22.0",",,,I","","","","","",""
"BOM00033027","1936-03","52.217","27.867","137.0","ZHITCKOVICHI, BO","","","6",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19360315",",,I","","","","","","","6.3",",,I,15,","","","","","","","10.3",",,,I","","","","","",""
"BOM00033027","1936-04","52.217","27.867","137.0","ZHITCKOVICHI, BO","","","10",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19360418",",,I","","","","","","","14.2",",,I,18,","","","","","","","48.5",",,,I","","","","","",""
"BOM00033027","1936-05","52.217","27.867","137.0","ZHITCKOVICHI, BO","","","3",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19360529",",,I","","","","","","","9.9",",,I,29,","","","","","","","12.8",",,,I","","","","","",""
"BOM00033027","1936-06","52.217","27.867","137.0","ZHITCKOVICHI, BO","","","13",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19360602",",,I","","","","","","","9.0",",,I,02,","","","","","","","49.4",",,,I","","","","","",""
"BOM00033027","1936-07","52.217","27.867","137.0","ZHITCKOVICHI, BO","","","12",",I","9",",I","1",",I","","","","","","","","","","","","","","","","","19360711",",,I","","","","","","","34.9",",,I,11,","","","","","","","122.0",",,,I","","","","","",""
"BOM00033027","1936-08","52.217","27.867","137.0","ZHITCKOVICHI, BO","","","14",",I","11",",I","0",",I","","","","","","","","","","","","","","","","","19360826",",,I","","","","","","","16.2",",,I,26,","","","","","","","88.1",",,,I","","","","","",""
"BOM00033027","1936-09","52.217","27.867","137.0","ZHITCKOVICHI, BO","","","11",",I","5",",I","1",",I","","","","","","","","","","","","","","","","","19360927",",,I","","","","","","","29.0",",,I,27,","","","","","","","60.5",",,,I","","","","","",""
"BOM00033027","1936-10","52.217","27.867","137.0","ZHITCKOVICHI, BO","","","14",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19361016",",,I","","","","","","","6.6",",,I,16,","","","","","","","32.7",",,,I","","","","","",""
"BOM00033027","1936-11","52.217","27.867","137.0","ZHITCKOVICHI, BO","","","11",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19361103",",,I","","","","","","","8.6",",,I,03,","","","","","","","30.2",",,,I","","","","","",""
