"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BOM00033105","1957-08","51.783","28.333","141.0","LELOIOV, BO","14.8","4,S","","","","","","","","","0","3,S","0","3,S","0","4,S","17","4,S","0","4,S","19570829","+,3,S","","","","","19570812",",4,S","6.1","3,S,29,+","","","","","28.9","4,S,12,","49.7","4,S","","","17.05","4,S","22.70","4,,,S","11.40","3,,,S"
"BOM00033105","1957-10","51.783","28.333","141.0","LELOIOV, BO","","","","","","","","","","","","","","","0","4,S","0","4,S","0","4,S","","","","","","","19571019",",4,S","","","","","","","20.0","4,S,19,","","","","","","","12.31","4,,,S","",""
"BOM00033105","1959-07","51.783","28.333","141.0","LELOIOV, BO","","","4",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19590725",",,I","","","","","","","13.1",",,I,25,","","","","","26.9",",,,I","","","","","",""
"BOM00033105","1959-08","51.783","28.333","141.0","LELOIOV, BO","","","7","3,I","5","3,I","1","3,I","","","","","","","","","","","","","","","","","19590801",",3,I","","","","","","","47.2","3,,I,01,","","","","","71.9","3,,,I","","","","","",""
"BOM00033105","1959-09","51.783","28.333","141.0","LELOIOV, BO","","","12",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19590920",",,I","","","","","","","6.9",",,I,20,","","","","","35.0",",,,I","","","","","",""
"BOM00033105","1959-10","51.783","28.333","141.0","LELOIOV, BO","","","7",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19591031","+,,I","","","","","","","5.2",",,I,31,+","","","","","19.8",",,,I","","","","","",""
"BOM00033105","1959-11","51.783","28.333","141.0","LELOIOV, BO","","","14","2,I","9","2,I","0","2,I","","","","","","","","","","","","","","","","","19591111",",2,I","","","","","","","16.7","2,,I,11,","","","","","61.2","2,,,I","","","","","",""
"BOM00033105","1959-12","51.783","28.333","141.0","LELOIOV, BO","","","12","1,I","2","1,I","0","1,I","","","","","","","","","","","","","","","","","19591229",",1,I","","","","","","","13.7","1,,I,29,","","","","","38.0","1,,,I","","","","","",""
"BOM00033105","1960-01","51.783","28.333","141.0","LELOIOV, BO","","","13",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19600114",",,I","","","","","","","11.0",",,I,14,","","","","","34.7",",,,I","","","","","",""
"BOM00033105","1960-02","51.783","28.333","141.0","LELOIOV, BO","","","9",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19600225","+,,I","","","","","","","1.6",",,I,25,+","","","","","7.8",",,,I","","","","","",""
"BOM00033105","1960-03","51.783","28.333","141.0","LELOIOV, BO","","","3",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19600328","+,,I","","","","","","","2.3",",,I,28,+","","","","","5.0",",,,I","","","","","",""
"BOM00033105","1960-04","51.783","28.333","141.0","LELOIOV, BO","","","5",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19600426",",,I","","","","","","","11.9",",,I,26,","","","","","22.1",",,,I","","","","","",""
"BOM00033105","1960-05","51.783","28.333","141.0","LELOIOV, BO","","","15",",I","9",",I","0",",I","","","","","","","","","","","","","","","","","19600524",",,I","","","","","","","24.5",",,I,24,","","","","","90.7",",,,I","","","","","",""
"BOM00033105","1960-06","51.783","28.333","141.0","LELOIOV, BO","","","9","1,I","5","1,I","0","1,I","","","","","","","","","","","","","","","","","19600612",",1,I","","","","","","","20.0","1,,I,12,","","","","","52.5","1,,,I","","","","","",""
"BOM00033105","1960-07","51.783","28.333","141.0","LELOIOV, BO","","","8",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19600711",",,I","","","","","","","11.4",",,I,11,","","","","","32.6",",,,I","","","","","",""
"BOM00033105","1960-08","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19600816",",,I","","","","","","","22.1",",,I,16,","","","","","67.5",",,,I","","","","","",""
"BOM00033105","1960-09","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19600907",",,I","","","","","","","3.1",",,I,07,","","","","","16.6",",,,I","","","","","",""
"BOM00033105","1960-10","51.783","28.333","141.0","LELOIOV, BO","","","16",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","19601022",",,I","","","","","","","8.6",",,I,22,","","","","","53.9",",,,I","","","","","",""
"BOM00033105","1960-11","51.783","28.333","141.0","LELOIOV, BO","","","16",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19601117",",,I","","","","","","","15.8",",,I,17,","","","","","74.9",",,,I","","","","","",""
"BOM00033105","1960-12","51.783","28.333","141.0","LELOIOV, BO","","","18",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19601224",",,I","","","","","","","12.0",",,I,24,","","","","","52.2",",,,I","","","","","",""
"BOM00033105","1961-01","51.783","28.333","141.0","LELOIOV, BO","","","8","1,I","3","1,I","0","1,I","","","","","","","","","","","","","","","","","19610113",",1,I","","","","","","","3.7","1,,I,13,","","","","","16.2","1,,,I","","","","","",""
