"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR000352000","1968-06","-3.2","-52.2","112.0","ALTAMIRA, BR","9","4,I","6","4,I","0","4,I","","","","","","","","","","","","","19680611",",4,I","","","","","10.0","4,,I,11,","","","43.4","4,,,I","","","",""
"BR000352000","1968-07","-3.2","-52.2","112.0","ALTAMIRA, BR","7",",I","4",",I","0",",I","","","","","","","","","","","","","19680708","+,,I","","","","","12.0",",,I,08,+","","","35.6",",,,I","","","",""
"BR000352000","1968-08","-3.2","-52.2","112.0","ALTAMIRA, BR","5",",I","1",",I","0",",I","","","","","","","","","","","","","19680816",",,I","","","","","3.6",",,I,16,","","","11.4",",,,I","","","",""
"BR000352000","1968-09","-3.2","-52.2","112.0","ALTAMIRA, BR","7",",I","2",",I","0",",I","","","","","","","","","","","","","19680914",",,I","","","","","15.0",",,I,14,","","","24.8",",,,I","","","",""
"BR000352000","1968-10","-3.2","-52.2","112.0","ALTAMIRA, BR","4",",I","2",",I","0",",I","","","","","","","","","","","","","19681029",",,I","","","","","13.0",",,I,29,","","","26.4",",,,I","","","",""
"BR000352000","1968-11","-3.2","-52.2","112.0","ALTAMIRA, BR","10",",I","7",",I","2",",I","","","","","","","","","","","","","19681126",",,I","","","","","54.0",",,I,26,","","","124.3",",,,I","","","",""
"BR000352000","1968-12","-3.2","-52.2","112.0","ALTAMIRA, BR","16",",I","13",",I","4",",I","","","","","","","","","","","","","19681216",",,I","","","","","62.0",",,I,16,","","","257.9",",,,I","","","",""
"BR000352000","1969-01","-3.2","-52.2","112.0","ALTAMIRA, BR","13",",I","11",",I","5",",I","","","","","","","","","","","","","19690121",",,I","","","","","77.6",",,I,21,","","","283.2",",,,I","","","",""
"BR000352000","1969-02","-3.2","-52.2","112.0","ALTAMIRA, BR","19",",I","17",",I","2",",I","","","","","","","","","","","","","19690222",",,I","","","","","37.4",",,I,22,","","","213.4",",,,I","","","",""
"BR000352000","1969-03","-3.2","-52.2","112.0","ALTAMIRA, BR","20",",I","18",",I","4",",I","","","","","","","","","","","","","19690322",",,I","","","","","37.6",",,I,22,","","","284.8",",,,I","","","",""
"BR000352000","1969-04","-3.2","-52.2","112.0","ALTAMIRA, BR","17",",I","15",",I","3",",I","","","","","","","","","","","","","19690406",",,I","","","","","37.6",",,I,06,","","","230.1",",,,I","","","",""
"BR000352000","1969-05","-3.2","-52.2","112.0","ALTAMIRA, BR","24",",I","21",",I","6",",I","","","","","","","","","","","","","19690516",",,I","","","","","49.6",",,I,16,","","","334.3",",,,I","","","",""
"BR000352000","1969-06","-3.2","-52.2","112.0","ALTAMIRA, BR","10",",I","6",",I","1",",I","","","","","","","","","","","","","19690621",",,I","","","","","27.4",",,I,21,","","","68.6",",,,I","","","",""
"BR000352000","1969-07","-3.2","-52.2","112.0","ALTAMIRA, BR","11",",I","9",",I","1",",I","","","","","","","","","","","","","19690710",",,I","","","","","26.8",",,I,10,","","","101.2",",,,I","","","",""
"BR000352000","1969-08","-3.2","-52.2","112.0","ALTAMIRA, BR","4",",I","4",",I","0",",I","","","","","","","","","","","","","19690806",",,I","","","","","18.2",",,I,06,","","","46.7",",,,I","","","",""
"BR000352000","1969-09","-3.2","-52.2","112.0","ALTAMIRA, BR","6",",I","1",",I","1",",I","","","","","","","","","","","","","19690922",",,I","","","","","27.8",",,I,22,","","","35.2",",,,I","","","",""
"BR000352000","1969-10","-3.2","-52.2","112.0","ALTAMIRA, BR","3",",I","1",",I","0",",I","","","","","","","","","","","","","19691021",",,I","","","","","15.8",",,I,21,","","","18.0",",,,I","","","",""
"BR000352000","1969-11","-3.2","-52.2","112.0","ALTAMIRA, BR","2",",I","1",",I","0",",I","","","","","","","","","","","","","19691111",",,I","","","","","2.6",",,I,11,","","","4.9",",,,I","","","",""
"BR000352000","1969-12","-3.2","-52.2","112.0","ALTAMIRA, BR","8",",I","8",",I","2",",I","","","","","","","","","","","","","19691230",",,I","","","","","35.2",",,I,30,","","","108.4",",,,I","","","",""
"BR000352000","1970-01","-3.2","-52.2","112.0","ALTAMIRA, BR","15",",I","12",",I","3",",I","","","","","","","","","","","","","19700127",",,I","","","","","130.2",",,I,27,","","","302.2",",,,I","","","",""
"BR000352000","1970-02","-3.2","-52.2","112.0","ALTAMIRA, BR","23",",I","20",",I","4",",I","","","","","","","","","","","","","19700225",",,I","","","","","76.8",",,I,25,","","","416.3",",,,I","","","",""
"BR000352000","1970-03","-3.2","-52.2","112.0","ALTAMIRA, BR","25",",I","18",",I","5",",I","","","","","","","","","","","","","19700322",",,I","","","","","49.2",",,I,22,","","","338.7",",,,I","","","",""
"BR000352000","1970-04","-3.2","-52.2","112.0","ALTAMIRA, BR","26",",I","22",",I","5",",I","","","","","","","","","","","","","19700416",",,I","","","","","43.4",",,I,16,","","","311.5",",,,I","","","",""
"BR000352000","1970-05","-3.2","-52.2","112.0","ALTAMIRA, BR","15",",I","13",",I","2",",I","","","","","","","","","","","","","19700506",",,I","","","","","50.1",",,I,06,","","","188.7",",,,I","","","",""
"BR000352000","1970-06","-3.2","-52.2","112.0","ALTAMIRA, BR","20",",I","16",",I","1",",I","","","","","","","","","","","","","19700607",",,I","","","","","26.2",",,I,07,","","","160.2",",,,I","","","",""
"BR000352000","1970-07","-3.2","-52.2","112.0","ALTAMIRA, BR","7",",I","5",",I","0",",I","","","","","","","","","","","","","19700723",",,I","","","","","21.8",",,I,23,","","","68.8",",,,I","","","",""
"BR000352000","1970-08","-3.2","-52.2","112.0","ALTAMIRA, BR","7",",I","6",",I","0",",I","","","","","","","","","","","","","19700819",",,I","","","","","19.8",",,I,19,","","","63.0",",,,I","","","",""
"BR000352000","1970-09","-3.2","-52.2","112.0","ALTAMIRA, BR","7",",I","5",",I","0",",I","","","","","","","","","","","","","19700917",",,I","","","","","7.4",",,I,17,","","","27.9",",,,I","","","",""
"BR000352000","1970-10","-3.2","-52.2","112.0","ALTAMIRA, BR","2",",I","0",",I","0",",I","","","","","","","","","","","","","19701023",",,I","","","","","2.4",",,I,23,","","","4.0",",,,I","","","",""
"BR000352000","1970-11","-3.2","-52.2","112.0","ALTAMIRA, BR","15",",I","10",",I","2",",I","","","","","","","","","","","","","19701105",",,I","","","","","75.4",",,I,05,","","","269.5",",,,I","","","",""
"BR000352000","1970-12","-3.2","-52.2","112.0","ALTAMIRA, BR","17",",I","11",",I","2",",I","","","","","","","","","","","","","19701228",",,I","","","","","32.8",",,I,28,","","","141.2",",,,I","","","",""
"BR000352000","1971-01","-3.2","-52.2","112.0","ALTAMIRA, BR","21",",I","16",",I","4",",I","","","","","","","","","","","","","19710122",",,I","","","","","131.4",",,I,22,","","","388.5",",,,I","","","",""
"BR000352000","1971-02","-3.2","-52.2","112.0","ALTAMIRA, BR","20",",I","18",",I","4",",I","","","","","","","","","","","","","19710210","+,,I","","","","","36.8",",,I,10,+","","","285.3",",,,I","","","",""
"BR000352000","1971-03","-3.2","-52.2","112.0","ALTAMIRA, BR","23",",I","20",",I","6",",I","","","","","","","","","","","","","19710317",",,I","","","","","107.4",",,I,17,","","","460.5",",,,I","","","",""
"BR000352000","1971-04","-3.2","-52.2","112.0","ALTAMIRA, BR","21",",I","18",",I","7",",I","","","","","","","","","","","","","19710409",",,I","","","","","144.2",",,I,09,","","","629.8",",,,I","","","",""
"BR000352000","1971-05","-3.2","-52.2","112.0","ALTAMIRA, BR","21",",I","16",",I","3",",I","","","","","","","","","","","","","19710530",",,I","","","","","84.4",",,I,30,","","","291.6",",,,I","","","",""
