,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,HN01,HN01_ATTRIBUTES,HN02,HN02_ATTRIBUTES,HN03,HN03_ATTRIBUTES,HX01,HX01_ATTRIBUTES,HX02,HX02_ATTRIBUTES,HX03,HX03_ATTRIBUTES,LN01,LN01_ATTRIBUTES,LN02,LN02_ATTRIBUTES,LN03,LN03_ATTRIBUTES,LX01,LX01_ATTRIBUTES,LX02,LX02_ATTRIBUTES,LX03,LX03_ATTRIBUTES,MN01,MN01_ATTRIBUTES,MN02,MN02_ATTRIBUTES,MN03,MN03_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MX01,MX01_ATTRIBUTES,MX02,MX02_ATTRIBUTES,MX03,MX03_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,HN04,HN04_ATTRIBUTES,HN05,HN05_ATTRIBUTES,HX04,HX04_ATTRIBUTES,HX05,HX05_ATTRIBUTES,LN04,LN04_ATTRIBUTES,LN05,LN05_ATTRIBUTES,LX04,LX04_ATTRIBUTES,LX05,LX05_ATTRIBUTES,MN04,MN04_ATTRIBUTES,MN05,MN05_ATTRIBUTES,MX04,MX04_ATTRIBUTES,MX05,MX05_ATTRIBUTES,HN06,HN06_ATTRIBUTES,HX06,HX06_ATTRIBUTES,LN06,LN06_ATTRIBUTES,LX06,LX06_ATTRIBUTES,MN06,MN06_ATTRIBUTES,MX06,MX06_ATTRIBUTES,HN07,HN07_ATTRIBUTES,HN08,HN08_ATTRIBUTES,HX07,HX07_ATTRIBUTES,HX08,HX08_ATTRIBUTES,LN07,LN07_ATTRIBUTES,LN08,LN08_ATTRIBUTES,LX07,LX07_ATTRIBUTES,LX08,LX08_ATTRIBUTES,MN07,MN07_ATTRIBUTES,MN08,MN08_ATTRIBUTES,MX07,MX07_ATTRIBUTES,MX08,MX08_ATTRIBUTES
0,US1TXVC0015,2010-03,28.8446667,-97.163211,56.7,"VICTORIA 11.0 W, TX US",6.0,",N",5.0,",N",0.0,",N",,,,,20100321.0,",,N",,,24.1,",,N,21,",47.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,US1TXVC0017,2010-04,28.8537,-96.9903,33.2,"VICTORIA 2.1 NNW, TX US",6.0,",N",2.0,",N",1.0,",N",,,,,20100417.0,",,N",,,32.8,",,N,17,",42.3,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,US1TXVC0020,2010-07,28.778986,-96.831036,18.3,"VICTORIA 9.7 ESE, TX US",17.0,"3,N",12.0,"3,N",5.0,"3,N",,,,,20100702.0,",3,N",,,66.5,"3,,N,02,",258.4,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,US1TXVC0021,2010-07,28.659784,-97.118868,32.3,"VICTORIA 14.0 SW, TX US",16.0,",N",12.0,",N",5.0,",N",,,,,20100709.0,",,N",,,56.1,",,N,09,",246.1,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,US1TXVC0022,2011-02,28.8421,-97.18231667,49.4,"VICTORIA 12.1 W, TX US",6.0,"1,N",1.0,"1,N",0.0,"1,N",,,,,20110209.0,",1,N",,,2.8,"1,,N,09,",8.4,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,US1TXVC0023,2011-05,28.822097,-97.012872,25.6,"VICTORIA 1.8 W, TX US",4.0,"5,N",2.0,"5,N",1.0,"5,N",,,,,20110513.0,",5,N",,,35.1,"5,,N,13,",39.1,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,US1TXVC0024,2012-02,28.88111111,-96.82333333,20.1,"INEZ 1.8 WNW, TX US",,,,,,,,,,,,,,,,,90.8,"4,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,US1TXVC0025,2012-08,28.748411,-97.113392,29.3,"VICTORIA 9.5 WSW, TX US",6.0,",N",5.0,",N",0.0,",N",,,,,20120823.0,",,N",,,12.7,",,N,23,",29.2,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,US1TXVC0026,2013-05,28.8644,-97.0254,30.2,"VICTORIA 3.8 NW, TX US",10.0,"1,N",3.0,"1,N",1.0,"1,N",,,,,20130526.0,",1,N",,,41.7,"1,,N,26,",54.3,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,US1TXVC0027,2012-10,28.927868,-97.100785,40.2,"NURSERY 0.4 NNW, TX US",5.0,"2,N",2.0,"2,N",0.0,"2,N",,,,,20121023.0,",2,N",,,6.6,"2,,N,23,",14.8,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
